"Residential and non-residential floor space within localities, by region by region, type of property, observations and every fifth year",,,,,,,,,,,
,,,,,,,,,,,
region,type of property,Residential floor space in 1000 sq.m 2000,Residential floor space in 1000 sq.m 2005,Residential floor space in 1000 sq.m 2010,Residential floor space in 1000 sq.m 2015,Residential floor space in 1000 sq.m 2020,Non-residential floor space in 1000 sq.m 2000,Non-residential floor space in 1000 sq.m 2005,Non-residential floor space in 1000 sq.m 2010,Non-residential floor space in 1000 sq.m 2015,Non-residential floor space in 1000 sq.m 2020
2309 Krokom,industrial buildings,..,..,..,..,..,89,101,96,90,100
2309 Krokom,total,323,314,330,384,405,129,140,135,136,143
2313 Strömsund,one- or two dwelling buildings,241,233,234,249,252,..,..,..,..,..
2313 Strömsund,multi-dwelling and commercial buildings,126,116,113,112,113,66,75,77,79,79
2313 Strömsund,industrial buildings,..,..,..,..,..,96,121,129,130,131
2313 Strömsund,total,367,349,347,361,365,162,197,206,209,210
2321 Åre,one- or two dwelling buildings,145,156,175,304,354,..,..,..,..,..
2321 Åre,multi-dwelling and commercial buildings,126,138,175,278,334,95,111,127,175,171
2321 Åre,industrial buildings,..,..,..,2,3,16,15,27,33,34
2321 Åre,total,271,294,350,584,691,111,126,155,208,205
2326 Berg,one- or two dwelling buildings,99,89,91,125,118,..,..,..,..,..
2326 Berg,multi-dwelling and commercial buildings,30,29,27,30,29,28,29,29,36,32
2326 Berg,industrial buildings,..,..,..,..,..,30,34,35,42,40
2326 Berg,total,129,118,118,155,146,58,63,64,77,72
2361 Härjedalen,one- or two dwelling buildings,250,255,263,292,338,..,..,..,..,..
2361 Härjedalen,multi-dwelling and commercial buildings,80,78,78,76,79,65,70,76,76,92
2361 Härjedalen,industrial buildings,..,..,..,..,..,116,119,120,128,130
2361 Härjedalen,total,330,333,341,367,416,181,189,197,204,222
2380 Östersund,one- or two dwelling buildings,857,878,892,1031,1120,..,..,..,..,..
2380 Östersund,multi-dwelling and commercial buildings,1375,1346,1371,1407,1488,580,644,832,828,853
2380 Östersund,industrial buildings,..,..,..,..,..,454,466,500,481,551
2380 Östersund,total,2232,2225,2264,2438,2608,1034,1111,1332,1309,1404
2401 Nordmaling,one- or two dwelling buildings,139,142,143,151,153,..,..,..,..,..
2401 Nordmaling,multi-dwelling and commercial buildings,54,52,51,54,56,25,24,23,20,23
2401 Nordmaling,industrial buildings,..,..,..,..,..,31,65,64,112,114
2401 Nordmaling,total,193,194,194,205,209,55,88,88,132,137
2403 Bjurholm,one- or two dwelling buildings,39,40,40,40,40,..,..,..,..,..
2403 Bjurholm,multi-dwelling and commercial buildings,9,9,10,9,10,6,6,6,5,6
2403 Bjurholm,industrial buildings,..,..,..,..,..,21,21,21,22,22
2403 Bjurholm,total,48,49,50,49,50,28,27,26,27,28
2404 Vindeln,one- or two dwelling buildings,138,139,141,132,118,..,..,..,..,..
2404 Vindeln,multi-dwelling and commercial buildings,36,35,35,33,35,30,39,40,24,23
2404 Vindeln,industrial buildings,..,..,..,..,..,19,19,19,20,20
2404 Vindeln,total,174,174,176,166,154,49,58,59,45,43
2409 Robertsfors,one- or two dwelling buildings,116,117,118,122,124,..,..,..,..,..
2409 Robertsfors,multi-dwelling and commercial buildings,39,38,43,40,41,21,22,25,26,24
2409 Robertsfors,industrial buildings,..,..,..,..,..,71,76,74,73,55
2409 Robertsfors,total,156,155,161,162,165,92,97,98,98,79
2417 Norsjö,one- or two dwelling buildings,87,86,84,83,85,..,..,..,..,..
2417 Norsjö,multi-dwelling and commercial buildings,35,35,36,36,36,20,21,21,21,22
2417 Norsjö,industrial buildings,..,..,..,..,..,28,37,42,45,47
2417 Norsjö,total,121,121,120,120,121,49,57,63,67,69
2418 Malå,one- or two dwelling buildings,69,69,68,69,69,..,..,..,..,..
2418 Malå,multi-dwelling and commercial buildings,29,29,28,28,29,13,11,15,17,16
2418 Malå,industrial buildings,..,..,..,..,..,30,70,84,83,88
2418 Malå,total,98,98,96,97,98,44,81,99,100,105
2421 Storuman,one- or two dwelling buildings,126,128,131,165,184,..,..,..,..,..
2421 Storuman,multi-dwelling and commercial buildings,60,63,58,66,67,49,63,61,68,68
2421 Storuman,industrial buildings,..,..,..,1,6,56,58,50,56,71
2421 Storuman,total,186,191,189,232,257,105,121,111,124,139
2422 Sorsele,one- or two dwelling buildings,51,44,44,45,46,..,..,..,..,..
2422 Sorsele,multi-dwelling and commercial buildings,20,20,20,17,17,12,14,13,14,14
2422 Sorsele,industrial buildings,..,..,..,..,..,19,17,17,19,19
2422 Sorsele,total,71,64,64,62,63,32,31,30,32,33
2425 Dorotea,one- or two dwelling buildings,45,45,45,43,43,..,..,..,..,..
2425 Dorotea,multi-dwelling and commercial buildings,32,32,32,30,31,16,17,18,19,20
2425 Dorotea,industrial buildings,..,..,..,..,..,39,43,47,45,45
2425 Dorotea,total,78,76,76,73,73,55,60,65,64,65
2460 Vännäs,one- or two dwelling buildings,172,175,179,187,194,..,..,..,..,..
2460 Vännäs,multi-dwelling and commercial buildings,96,89,88,93,104,34,29,29,38,38
2460 Vännäs,industrial buildings,..,..,..,..,..,24,26,27,36,42
2460 Vännäs,total,268,264,267,281,298,58,55,56,74,80
2462 Vilhelmina,one- or two dwelling buildings,98,99,100,100,100,..,..,..,..,..
2462 Vilhelmina,multi-dwelling and commercial buildings,77,76,74,74,74,41,41,41,47,44
2462 Vilhelmina,industrial buildings,..,..,..,..,..,59,71,69,60,70
2462 Vilhelmina,total,175,174,174,174,174,100,112,109,107,114
2463 Åsele,one- or two dwelling buildings,85,85,84,69,69,..,..,..,..,..
2463 Åsele,multi-dwelling and commercial buildings,70,39,31,25,25,27,25,22,11,11
2463 Åsele,industrial buildings,..,..,..,..,..,43,47,50,9,9
2463 Åsele,total,155,124,115,94,94,70,72,72,20,21
2480 Umeå,one- or two dwelling buildings,1714,1784,1921,2121,2245,..,..,..,..,..
2480 Umeå,multi-dwelling and commercial buildings,2181,2331,2430,2538,2751,896,925,964,1086,1255
2480 Umeå,industrial buildings,..,..,..,1,2,1027,1035,1081,1063,1216
2480 Umeå,total,3894,4115,4351,4660,4999,1923,1959,2045,2149,2471
2481 Lycksele,one- or two dwelling buildings,234,224,234,233,234,..,..,..,..,..
2481 Lycksele,multi-dwelling and commercial buildings,207,202,193,195,196,108,106,113,112,115
2481 Lycksele,industrial buildings,..,..,..,..,..,134,140,164,136,180
2481 Lycksele,total,441,426,427,427,430,242,245,277,249,295
2482 Skellefteå,one- or two dwelling buildings,1549,1577,1596,1662,1717,..,..,..,..,..
2482 Skellefteå,multi-dwelling and commercial buildings,1071,1047,1057,1057,1094,526,540,545,505,533
2482 Skellefteå,industrial buildings,..,..,..,..,..,835,858,864,721,819
2482 Skellefteå,total,2620,2623,2652,2719,2811,1361,1398,1409,1226,1352
2505 Arvidsjaur,one- or two dwelling buildings,172,170,170,156,158,..,..,..,..,..
2505 Arvidsjaur,multi-dwelling and commercial buildings,75,76,80,81,82,51,64,66,61,62
2505 Arvidsjaur,industrial buildings,..,..,..,..,..,45,43,44,38,39
2505 Arvidsjaur,total,247,246,250,237,240,96,107,111,99,101
2506 Arjeplog,one- or two dwelling buildings,78,68,68,69,70,..,..,..,..,..
2506 Arjeplog,multi-dwelling and commercial buildings,26,25,26,26,26,21,19,19,23,24
2506 Arjeplog,industrial buildings,..,..,..,..,..,26,24,23,41,42
2506 Arjeplog,total,105,93,94,95,96,47,43,42,64,66
2510 Jokkmokk,one- or two dwelling buildings,140,130,131,132,134,..,..,..,..,..
2510 Jokkmokk,multi-dwelling and commercial buildings,52,49,47,43,44,35,31,35,33,35
2510 Jokkmokk,industrial buildings,..,..,..,..,..,43,40,65,55,65
2510 Jokkmokk,total,191,179,179,175,179,77,71,100,88,100
2513 Överkalix,one- or two dwelling buildings,72,72,62,68,68,..,..,..,..,..
2513 Överkalix,multi-dwelling and commercial buildings,33,32,29,29,29,20,19,22,25,25
2513 Överkalix,industrial buildings,..,..,..,..,..,5,5,3,42,42
2513 Överkalix,total,105,104,91,96,97,25,24,25,67,67
2514 Kalix,one- or two dwelling buildings,491,495,496,468,469,..,..,..,..,..
2514 Kalix,multi-dwelling and commercial buildings,180,186,183,175,182,102,104,114,121,118
2514 Kalix,industrial buildings,..,..,..,..,..,210,281,294,201,198
2514 Kalix,total,671,681,679,643,651,312,385,408,323,316
2518 Övertorneå,one- or two dwelling buildings,106,109,96,97,110,..,..,..,..,..
2518 Övertorneå,multi-dwelling and commercial buildings,42,39,38,38,39,27,28,26,26,27
2518 Övertorneå,industrial buildings,..,..,..,..,..,36,37,36,31,31
2518 Övertorneå,total,147,148,133,135,149,63,65,62,57,58
2521 Pajala,one- or two dwelling buildings,123,117,119,125,126,..,..,..,..,..
2521 Pajala,multi-dwelling and commercial buildings,43,39,37,46,47,28,28,24,27,27
2521 Pajala,industrial buildings,..,..,..,..,..,31,34,35,32,33
2521 Pajala,total,167,156,156,171,173,59,62,59,59,60
2523 Gällivare,one- or two dwelling buildings,435,452,439,434,423,..,..,..,..,..
2523 Gällivare,multi-dwelling and commercial buildings,307,296,293,298,310,151,144,155,192,177
2523 Gällivare,industrial buildings,..,..,..,..,..,156,159,159,186,205
2523 Gällivare,total,742,747,732,732,732,307,303,315,378,382
2560 Älvsbyn,one- or two dwelling buildings,211,211,212,216,220,..,..,..,..,..
2560 Älvsbyn,multi-dwelling and commercial buildings,85,86,85,84,88,40,41,39,48,50
2560 Älvsbyn,industrial buildings,..,..,..,..,..,108,105,116,121,128
2560 Älvsbyn,total,295,297,297,300,308,147,146,155,169,178
2580 Luleå,one- or two dwelling buildings,1311,1348,1405,1524,1591,..,..,..,..,..
2580 Luleå,multi-dwelling and commercial buildings,1427,1444,1513,1533,1614,779,804,837,936,996
2580 Luleå,industrial buildings,..,..,..,..,..,831,908,961,989,1015
2580 Luleå,total,2738,2792,2918,3057,3205,1610,1711,1799,1925,2011
2581 Piteå,one- or two dwelling buildings,1025,1047,1053,1092,1126,..,..,..,..,..
2581 Piteå,multi-dwelling and commercial buildings,469,488,515,514,537,257,272,297,307,339
2581 Piteå,industrial buildings,..,..,..,..,..,498,518,525,541,571
2581 Piteå,total,1493,1535,1569,1607,1664,755,790,822,847,910
2582 Boden,one- or two dwelling buildings,642,642,650,664,685,..,..,..,..,..
2582 Boden,multi-dwelling and commercial buildings,489,462,459,455,450,164,182,200,252,244
2582 Boden,industrial buildings,..,..,..,..,..,127,128,132,187,181
2582 Boden,total,1131,1105,1109,1119,1136,290,311,332,439,425
2583 Haparanda,one- or two dwelling buildings,202,205,208,214,220,..,..,..,..,..
2583 Haparanda,multi-dwelling and commercial buildings,143,143,155,157,157,61,67,131,134,140
2583 Haparanda,industrial buildings,..,..,..,..,..,90,96,106,102,110
2583 Haparanda,total,344,348,363,371,377,151,163,237,235,250
2584 Kiruna,one- or two dwelling buildings,513,511,525,515,537,..,..,..,..,..
2584 Kiruna,multi-dwelling and commercial buildings,460,419,389,413,413,221,249,247,243,249
2584 Kiruna,industrial buildings,..,..,..,..,..,116,122,141,136,128
2584 Kiruna,total,973,930,914,928,950,337,371,389,378,377
