"region","type of property","variable","value","year"
"0780 Växjö","multi-dwelling and commercial buildings","residential","1240",2000
"0780 Växjö","industrial buildings","residential",NA,2000
"0780 Växjö","total","residential","2841",2000
"0781 Ljungby","one- or two dwelling buildings","residential","569",2000
"0781 Ljungby","multi-dwelling and commercial buildings","residential","293",2000
"0781 Ljungby","industrial buildings","residential",NA,2000
"0781 Ljungby","total","residential","862",2000
"0821 Högsby","one- or two dwelling buildings","residential","191",2000
"0821 Högsby","multi-dwelling and commercial buildings","residential","32",2000
"0821 Högsby","industrial buildings","residential",NA,2000
"0821 Högsby","total","residential","224",2000
"0834 Torsås","one- or two dwelling buildings","residential","154",2000
"0834 Torsås","multi-dwelling and commercial buildings","residential","39",2000
"0834 Torsås","industrial buildings","residential",NA,2000
"0834 Torsås","total","residential","193",2000
"0840 Mörbylånga","one- or two dwelling buildings","residential","405",2000
"0840 Mörbylånga","multi-dwelling and commercial buildings","residential","57",2000
"0840 Mörbylånga","industrial buildings","residential",NA,2000
"0840 Mörbylånga","total","residential","462",2000
"0860 Hultsfred","one- or two dwelling buildings","residential","471",2000
"0860 Hultsfred","multi-dwelling and commercial buildings","residential","160",2000
"0860 Hultsfred","industrial buildings","residential",NA,2000
"0860 Hultsfred","total","residential","630",2000
"0861 Mönsterås","one- or two dwelling buildings","residential","341",2000
"0861 Mönsterås","multi-dwelling and commercial buildings","residential","109",2000
"0861 Mönsterås","industrial buildings","residential",NA,2000
"0861 Mönsterås","total","residential","451",2000
"0862 Emmaboda","one- or two dwelling buildings","residential","281",2000
"0862 Emmaboda","multi-dwelling and commercial buildings","residential","88",2000
"0862 Emmaboda","industrial buildings","residential",NA,2000
"0862 Emmaboda","total","residential","369",2000
"0880 Kalmar","one- or two dwelling buildings","residential","1175",2000
"0880 Kalmar","multi-dwelling and commercial buildings","residential","1109",2000
"0880 Kalmar","industrial buildings","residential",NA,2000
"0880 Kalmar","total","residential","2284",2000
"0881 Nybro","one- or two dwelling buildings","residential","486",2000
"0881 Nybro","multi-dwelling and commercial buildings","residential","256",2000
"0881 Nybro","industrial buildings","residential",NA,2000
"0881 Nybro","total","residential","742",2000
"0882 Oskarshamn","one- or two dwelling buildings","residential","615",2000
"0882 Oskarshamn","multi-dwelling and commercial buildings","residential","408",2000
"0882 Oskarshamn","industrial buildings","residential",NA,2000
"0882 Oskarshamn","total","residential","1024",2000
"0883 Västervik","one- or two dwelling buildings","residential","762",2000
"0883 Västervik","multi-dwelling and commercial buildings","residential","585",2000
"0883 Västervik","industrial buildings","residential",NA,2000
"0883 Västervik","total","residential","1347",2000
"0884 Vimmerby","one- or two dwelling buildings","residential","354",2000
"0884 Vimmerby","multi-dwelling and commercial buildings","residential","168",2000
"0884 Vimmerby","industrial buildings","residential",NA,2000
"0884 Vimmerby","total","residential","521",2000
"0885 Borgholm","one- or two dwelling buildings","residential","188",2000
"0885 Borgholm","multi-dwelling and commercial buildings","residential","79",2000
"0885 Borgholm","industrial buildings","residential",NA,2000
"0885 Borgholm","total","residential","267",2000
"0980 Gotland","one- or two dwelling buildings","residential","844",2000
"0980 Gotland","multi-dwelling and commercial buildings","residential","571",2000
"0980 Gotland","industrial buildings","residential",NA,2000
"0980 Gotland","total","residential","1414",2000
"1060 Olofström","one- or two dwelling buildings","residential","333",2000
"1060 Olofström","multi-dwelling and commercial buildings","residential","160",2000
"1060 Olofström","industrial buildings","residential",NA,2000
"1060 Olofström","total","residential","493",2000
"1080 Karlskrona","one- or two dwelling buildings","residential","1206",2000
"1080 Karlskrona","multi-dwelling and commercial buildings","residential","947",2000
"1080 Karlskrona","industrial buildings","residential",NA,2000
"1080 Karlskrona","total","residential","2153",2000
"1081 Ronneby","one- or two dwelling buildings","residential","657",2000
"1081 Ronneby","multi-dwelling and commercial buildings","residential","313",2000
"1081 Ronneby","industrial buildings","residential",NA,2000
"1081 Ronneby","total","residential","970",2000
"1082 Karlshamn","one- or two dwelling buildings","residential","753",2000
"1082 Karlshamn","multi-dwelling and commercial buildings","residential","434",2000
"1082 Karlshamn","industrial buildings","residential",NA,2000
"1082 Karlshamn","total","residential","1188",2000
"1083 Sölvesborg","one- or two dwelling buildings","residential","457",2000
"1083 Sölvesborg","multi-dwelling and commercial buildings","residential","147",2000
"1083 Sölvesborg","industrial buildings","residential",NA,2000
"1083 Sölvesborg","total","residential","605",2000
"1214 Svalöv","one- or two dwelling buildings","residential","307",2000
"1214 Svalöv","multi-dwelling and commercial buildings","residential","74",2000
"1214 Svalöv","industrial buildings","residential",NA,2000
"1214 Svalöv","total","residential","381",2000
"1230 Staffanstorp","one- or two dwelling buildings","residential","620",2000
"1230 Staffanstorp","multi-dwelling and commercial buildings","residential","161",2000
"1230 Staffanstorp","industrial buildings","residential",NA,2000
"1230 Staffanstorp","total","residential","781",2000
"1231 Burlöv","one- or two dwelling buildings","residential","368",2000
"1231 Burlöv","multi-dwelling and commercial buildings","residential","261",2000
"1231 Burlöv","industrial buildings","residential",NA,2000
"1231 Burlöv","total","residential","628",2000
"1233 Vellinge","one- or two dwelling buildings","residential","1424",2000
"1233 Vellinge","multi-dwelling and commercial buildings","residential","134",2000
"1233 Vellinge","industrial buildings","residential",NA,2000
"1233 Vellinge","total","residential","1559",2000
"1256 Östra Göinge","one- or two dwelling buildings","residential","408",2000
"1256 Östra Göinge","multi-dwelling and commercial buildings","residential","124",2000
"1256 Östra Göinge","industrial buildings","residential",NA,2000
"1256 Östra Göinge","total","residential","532",2000
"1257 Örkelljunga","one- or two dwelling buildings","residential","236",2000
"1257 Örkelljunga","multi-dwelling and commercial buildings","residential","85",2000
"1257 Örkelljunga","industrial buildings","residential",NA,2000
"1257 Örkelljunga","total","residential","321",2000
"1260 Bjuv","one- or two dwelling buildings","residential","456",2000
"1260 Bjuv","multi-dwelling and commercial buildings","residential","119",2000
"1260 Bjuv","industrial buildings","residential",NA,2000
"1260 Bjuv","total","residential","575",2000
"1261 Kävlinge","one- or two dwelling buildings","residential","814",2000
"1261 Kävlinge","multi-dwelling and commercial buildings","residential","184",2000
"1261 Kävlinge","industrial buildings","residential",NA,2000
"1261 Kävlinge","total","residential","998",2000
"1262 Lomma","one- or two dwelling buildings","residential","666",2000
"1262 Lomma","multi-dwelling and commercial buildings","residential","138",2000
"1262 Lomma","industrial buildings","residential",NA,2000
"1262 Lomma","total","residential","804",2000
"1263 Svedala","one- or two dwelling buildings","residential","513",2000
"1263 Svedala","multi-dwelling and commercial buildings","residential","128",2000
"1263 Svedala","industrial buildings","residential",NA,2000
"1263 Svedala","total","residential","641",2000
"1264 Skurup","one- or two dwelling buildings","residential","389",2000
"1264 Skurup","multi-dwelling and commercial buildings","residential","79",2000
"1264 Skurup","industrial buildings","residential",NA,2000
"1264 Skurup","total","residential","469",2000
"1265 Sjöbo","one- or two dwelling buildings","residential","373",2000
"1265 Sjöbo","multi-dwelling and commercial buildings","residential","85",2000
"1265 Sjöbo","industrial buildings","residential",NA,2000
"1265 Sjöbo","total","residential","458",2000
"1266 Hörby","one- or two dwelling buildings","residential","259",2000
"1266 Hörby","multi-dwelling and commercial buildings","residential","98",2000
"1266 Hörby","industrial buildings","residential",NA,2000
"1266 Hörby","total","residential","357",2000
"1267 Höör","one- or two dwelling buildings","residential","406",2000
"1267 Höör","multi-dwelling and commercial buildings","residential","91",2000
"1267 Höör","industrial buildings","residential",NA,2000
"1267 Höör","total","residential","497",2000
"1270 Tomelilla","one- or two dwelling buildings","residential","306",2000
"1270 Tomelilla","multi-dwelling and commercial buildings","residential","112",2000
"1270 Tomelilla","industrial buildings","residential",NA,2000
"1270 Tomelilla","total","residential","418",2000
"1272 Bromölla","one- or two dwelling buildings","residential","362",2000
"1272 Bromölla","multi-dwelling and commercial buildings","residential","91",2000
"1272 Bromölla","industrial buildings","residential",NA,2000
"1272 Bromölla","total","residential","453",2000
"1273 Osby","one- or two dwelling buildings","residential","353",2000
"1273 Osby","multi-dwelling and commercial buildings","residential","120",2000
"1273 Osby","industrial buildings","residential",NA,2000
"1273 Osby","total","residential","473",2000
"1275 Perstorp","one- or two dwelling buildings","residential","152",2000
"1275 Perstorp","multi-dwelling and commercial buildings","residential","111",2000
"1275 Perstorp","industrial buildings","residential",NA,2000
"1275 Perstorp","total","residential","262",2000
"1276 Klippan","one- or two dwelling buildings","residential","386",2000
"1276 Klippan","multi-dwelling and commercial buildings","residential","193",2000
"1276 Klippan","industrial buildings","residential",NA,2000
"1276 Klippan","total","residential","579",2000
"1277 Åstorp","one- or two dwelling buildings","residential","410",2000
"1277 Åstorp","multi-dwelling and commercial buildings","residential","139",2000
"1277 Åstorp","industrial buildings","residential",NA,2000
"1277 Åstorp","total","residential","549",2000
"1278 Båstad","one- or two dwelling buildings","residential","596",2000
"1278 Båstad","multi-dwelling and commercial buildings","residential","92",2000
"1278 Båstad","industrial buildings","residential",NA,2000
"1278 Båstad","total","residential","689",2000
"1280 Malmö","one- or two dwelling buildings","residential","2941",2000
"1280 Malmö","multi-dwelling and commercial buildings","residential","7820",2000
"1280 Malmö","industrial buildings","residential",NA,2000
"1280 Malmö","total","residential","10761",2000
"1281 Lund","one- or two dwelling buildings","residential","1785",2000
"1281 Lund","multi-dwelling and commercial buildings","residential","2173",2000
"1281 Lund","industrial buildings","residential",NA,2000
"1281 Lund","total","residential","3958",2000
"1282 Landskrona","one- or two dwelling buildings","residential","665",2000
"1282 Landskrona","multi-dwelling and commercial buildings","residential","873",2000
"1282 Landskrona","industrial buildings","residential",NA,2000
"1282 Landskrona","total","residential","1538",2000
"1283 Helsingborg","one- or two dwelling buildings","residential","2168",2000
"1283 Helsingborg","multi-dwelling and commercial buildings","residential","2796",2000
"1283 Helsingborg","industrial buildings","residential",NA,2000
"1283 Helsingborg","total","residential","4965",2000
"1284 Höganäs","one- or two dwelling buildings","residential","900",2000
"1284 Höganäs","multi-dwelling and commercial buildings","residential","175",2000
"1284 Höganäs","industrial buildings","residential",NA,2000
"1284 Höganäs","total","residential","1075",2000
"1285 Eslöv","one- or two dwelling buildings","residential","622",2000
"1285 Eslöv","multi-dwelling and commercial buildings","residential","354",2000
"1285 Eslöv","industrial buildings","residential",NA,2000
"1285 Eslöv","total","residential","976",2000
"1286 Ystad","one- or two dwelling buildings","residential","580",2000
"1286 Ystad","multi-dwelling and commercial buildings","residential","419",2000
"1286 Ystad","industrial buildings","residential",NA,2000
"1286 Ystad","total","residential","999",2000
"1287 Trelleborg","one- or two dwelling buildings","residential","840",2000
"1287 Trelleborg","multi-dwelling and commercial buildings","residential","558",2000
"1287 Trelleborg","industrial buildings","residential",NA,2000
"1287 Trelleborg","total","residential","1398",2000
"1290 Kristianstad","one- or two dwelling buildings","residential","1796",2000
"1290 Kristianstad","multi-dwelling and commercial buildings","residential","1235",2000
"1290 Kristianstad","industrial buildings","residential",NA,2000
"1290 Kristianstad","total","residential","3031",2000
"1291 Simrishamn","one- or two dwelling buildings","residential","593",2000
"1291 Simrishamn","multi-dwelling and commercial buildings","residential","205",2000
"1291 Simrishamn","industrial buildings","residential",NA,2000
"1291 Simrishamn","total","residential","798",2000
"1292 Ängelholm","one- or two dwelling buildings","residential","982",2000
