"region","type of property","variable","value","year"
"1277 Åstorp","industrial buildings","residential",NA,2005
"1277 Åstorp","total","residential","564",2005
"1278 Båstad","one- or two dwelling buildings","residential","635",2005
"1278 Båstad","multi-dwelling and commercial buildings","residential","96",2005
"1278 Båstad","industrial buildings","residential",NA,2005
"1278 Båstad","total","residential","731",2005
"1280 Malmö","one- or two dwelling buildings","residential","3108",2005
"1280 Malmö","multi-dwelling and commercial buildings","residential","7985",2005
"1280 Malmö","industrial buildings","residential",NA,2005
"1280 Malmö","total","residential","11094",2005
"1281 Lund","one- or two dwelling buildings","residential","1897",2005
"1281 Lund","multi-dwelling and commercial buildings","residential","2231",2005
"1281 Lund","industrial buildings","residential",NA,2005
"1281 Lund","total","residential","4128",2005
"1282 Landskrona","one- or two dwelling buildings","residential","712",2005
"1282 Landskrona","multi-dwelling and commercial buildings","residential","883",2005
"1282 Landskrona","industrial buildings","residential",NA,2005
"1282 Landskrona","total","residential","1594",2005
"1283 Helsingborg","one- or two dwelling buildings","residential","2306",2005
"1283 Helsingborg","multi-dwelling and commercial buildings","residential","2853",2005
"1283 Helsingborg","industrial buildings","residential",NA,2005
"1283 Helsingborg","total","residential","5159",2005
"1284 Höganäs","one- or two dwelling buildings","residential","968",2005
"1284 Höganäs","multi-dwelling and commercial buildings","residential","182",2005
"1284 Höganäs","industrial buildings","residential",NA,2005
"1284 Höganäs","total","residential","1150",2005
"1285 Eslöv","one- or two dwelling buildings","residential","685",2005
"1285 Eslöv","multi-dwelling and commercial buildings","residential","361",2005
"1285 Eslöv","industrial buildings","residential",NA,2005
"1285 Eslöv","total","residential","1045",2005
"1286 Ystad","one- or two dwelling buildings","residential","625",2005
"1286 Ystad","multi-dwelling and commercial buildings","residential","430",2005
"1286 Ystad","industrial buildings","residential",NA,2005
"1286 Ystad","total","residential","1055",2005
"1287 Trelleborg","one- or two dwelling buildings","residential","906",2005
"1287 Trelleborg","multi-dwelling and commercial buildings","residential","566",2005
"1287 Trelleborg","industrial buildings","residential",NA,2005
"1287 Trelleborg","total","residential","1472",2005
"1290 Kristianstad","one- or two dwelling buildings","residential","1867",2005
"1290 Kristianstad","multi-dwelling and commercial buildings","residential","1054",2005
"1290 Kristianstad","industrial buildings","residential",NA,2005
"1290 Kristianstad","total","residential","2920",2005
"1291 Simrishamn","one- or two dwelling buildings","residential","596",2005
"1291 Simrishamn","multi-dwelling and commercial buildings","residential","206",2005
"1291 Simrishamn","industrial buildings","residential",NA,2005
"1291 Simrishamn","total","residential","802",2005
"1292 Ängelholm","one- or two dwelling buildings","residential","1038",2005
"1292 Ängelholm","multi-dwelling and commercial buildings","residential","486",2005
"1292 Ängelholm","industrial buildings","residential",NA,2005
"1292 Ängelholm","total","residential","1524",2005
"1293 Hässleholm","one- or two dwelling buildings","residential","1289",2005
"1293 Hässleholm","multi-dwelling and commercial buildings","residential","545",2005
"1293 Hässleholm","industrial buildings","residential",NA,2005
"1293 Hässleholm","total","residential","1834",2005
"1315 Hylte","one- or two dwelling buildings","residential","258",2005
"1315 Hylte","multi-dwelling and commercial buildings","residential","77",2005
"1315 Hylte","industrial buildings","residential",NA,2005
"1315 Hylte","total","residential","335",2005
"1380 Halmstad","one- or two dwelling buildings","residential","2365",2005
"1380 Halmstad","multi-dwelling and commercial buildings","residential","1360",2005
"1380 Halmstad","industrial buildings","residential",NA,2005
"1380 Halmstad","total","residential","3724",2005
"1381 Laholm","one- or two dwelling buildings","residential","701",2005
"1381 Laholm","multi-dwelling and commercial buildings","residential","120",2005
"1381 Laholm","industrial buildings","residential",NA,2005
"1381 Laholm","total","residential","821",2005
"1382 Falkenberg","one- or two dwelling buildings","residential","962",2005
"1382 Falkenberg","multi-dwelling and commercial buildings","residential","406",2005
"1382 Falkenberg","industrial buildings","residential",NA,2005
"1382 Falkenberg","total","residential","1368",2005
"1383 Varberg","one- or two dwelling buildings","residential","1039",2005
"1383 Varberg","multi-dwelling and commercial buildings","residential","736",2005
"1383 Varberg","industrial buildings","residential",NA,2005
"1383 Varberg","total","residential","1775",2005
"1384 Kungsbacka","one- or two dwelling buildings","residential","2119",2005
"1384 Kungsbacka","multi-dwelling and commercial buildings","residential","483",2005
"1384 Kungsbacka","industrial buildings","residential",NA,2005
"1384 Kungsbacka","total","residential","2602",2005
"1401 Härryda","one- or two dwelling buildings","residential","944",2005
"1401 Härryda","multi-dwelling and commercial buildings","residential","192",2005
"1401 Härryda","industrial buildings","residential",NA,2005
"1401 Härryda","total","residential","1136",2005
"1402 Partille","one- or two dwelling buildings","residential","831",2005
"1402 Partille","multi-dwelling and commercial buildings","residential","494",2005
"1402 Partille","industrial buildings","residential",NA,2005
"1402 Partille","total","residential","1325",2005
"1407 Öckerö","one- or two dwelling buildings","residential","525",2005
"1407 Öckerö","multi-dwelling and commercial buildings","residential","21",2005
"1407 Öckerö","industrial buildings","residential",NA,2005
"1407 Öckerö","total","residential","546",2005
"1415 Stenungsund","one- or two dwelling buildings","residential","530",2005
"1415 Stenungsund","multi-dwelling and commercial buildings","residential","210",2005
"1415 Stenungsund","industrial buildings","residential",NA,2005
"1415 Stenungsund","total","residential","739",2005
"1419 Tjörn","one- or two dwelling buildings","residential","418",2005
"1419 Tjörn","multi-dwelling and commercial buildings","residential","44",2005
"1419 Tjörn","industrial buildings","residential",NA,2005
"1419 Tjörn","total","residential","462",2005
"1421 Orust","one- or two dwelling buildings","residential","243",2005
"1421 Orust","multi-dwelling and commercial buildings","residential","57",2005
"1421 Orust","industrial buildings","residential",NA,2005
"1421 Orust","total","residential","301",2005
"1427 Sotenäs","one- or two dwelling buildings","residential","395",2005
"1427 Sotenäs","multi-dwelling and commercial buildings","residential","72",2005
"1427 Sotenäs","industrial buildings","residential",NA,2005
"1427 Sotenäs","total","residential","467",2005
"1430 Munkedal","one- or two dwelling buildings","residential","212",2005
"1430 Munkedal","multi-dwelling and commercial buildings","residential","63",2005
"1430 Munkedal","industrial buildings","residential",NA,2005
"1430 Munkedal","total","residential","275",2005
"1435 Tanum","one- or two dwelling buildings","residential","214",2005
"1435 Tanum","multi-dwelling and commercial buildings","residential","67",2005
"1435 Tanum","industrial buildings","residential",NA,2005
"1435 Tanum","total","residential","281",2005
"1438 Dals-Ed","one- or two dwelling buildings","residential","96",2005
"1438 Dals-Ed","multi-dwelling and commercial buildings","residential","44",2005
"1438 Dals-Ed","industrial buildings","residential",NA,2005
"1438 Dals-Ed","total","residential","140",2005
"1439 Färgelanda","one- or two dwelling buildings","residential","133",2005
"1439 Färgelanda","multi-dwelling and commercial buildings","residential","34",2005
"1439 Färgelanda","industrial buildings","residential",NA,2005
"1439 Färgelanda","total","residential","167",2005
"1440 Ale","one- or two dwelling buildings","residential","564",2005
"1440 Ale","multi-dwelling and commercial buildings","residential","281",2005
"1440 Ale","industrial buildings","residential",NA,2005
"1440 Ale","total","residential","846",2005
"1441 Lerum","one- or two dwelling buildings","residential","1172",2005
"1441 Lerum","multi-dwelling and commercial buildings","residential","195",2005
"1441 Lerum","industrial buildings","residential",NA,2005
"1441 Lerum","total","residential","1367",2005
"1442 Vårgårda","one- or two dwelling buildings","residential","148",2005
"1442 Vårgårda","multi-dwelling and commercial buildings","residential","76",2005
"1442 Vårgårda","industrial buildings","residential",NA,2005
"1442 Vårgårda","total","residential","224",2005
"1443 Bollebygd","one- or two dwelling buildings","residential","140",2005
"1443 Bollebygd","multi-dwelling and commercial buildings","residential","59",2005
"1443 Bollebygd","industrial buildings","residential",NA,2005
"1443 Bollebygd","total","residential","199",2005
"1444 Grästorp","one- or two dwelling buildings","residential","104",2005
"1444 Grästorp","multi-dwelling and commercial buildings","residential","35",2005
"1444 Grästorp","industrial buildings","residential",NA,2005
"1444 Grästorp","total","residential","139",2005
"1445 Essunga","one- or two dwelling buildings","residential","94",2005
"1445 Essunga","multi-dwelling and commercial buildings","residential","23",2005
"1445 Essunga","industrial buildings","residential",NA,2005
"1445 Essunga","total","residential","118",2005
"1446 Karlsborg","one- or two dwelling buildings","residential","192",2005
"1446 Karlsborg","multi-dwelling and commercial buildings","residential","87",2005
"1446 Karlsborg","industrial buildings","residential",NA,2005
"1446 Karlsborg","total","residential","279",2005
"1447 Gullspång","one- or two dwelling buildings","residential","142",2005
"1447 Gullspång","multi-dwelling and commercial buildings","residential","53",2005
"1447 Gullspång","industrial buildings","residential",NA,2005
"1447 Gullspång","total","residential","195",2005
"1452 Tranemo","one- or two dwelling buildings","residential","325",2005
"1452 Tranemo","multi-dwelling and commercial buildings","residential","83",2005
"1452 Tranemo","industrial buildings","residential",NA,2005
"1452 Tranemo","total","residential","409",2005
"1460 Bengtsfors","one- or two dwelling buildings","residential","254",2005
"1460 Bengtsfors","multi-dwelling and commercial buildings","residential","110",2005
"1460 Bengtsfors","industrial buildings","residential",NA,2005
"1460 Bengtsfors","total","residential","364",2005
"1461 Mellerud","one- or two dwelling buildings","residential","191",2005
"1461 Mellerud","multi-dwelling and commercial buildings","residential","77",2005
"1461 Mellerud","industrial buildings","residential",NA,2005
"1461 Mellerud","total","residential","267",2005
"1462 Lilla Edet","one- or two dwelling buildings","residential","237",2005
