"year","NUTS 3 CODE 2021","vald_clean","vald","type","LAU CODE","NUTS 3 CODE 2016","number","median_price_final","average_price_final"
2019,"EE004","kihnu vald","Kihnu vald","house",303,"EE004",NA,583.65,598.007272727273
2019,"EE004","laanenigula vald","Lääne-Nigula vald","house",441,"EE004",28,440.06,618.43
2019,"EE004","laaneranna vald","Lääneranna vald","house",430,"EE004",24,169.85,271.12
2019,"EE004","muhu vald","Muhu vald","house",478,"EE004",7,899.08,911.43
2019,"EE004","parnu linn","Pärnu linn","house",624,"EE004",138,840.05,864.47
2019,"EE004","pohjaparnumaa vald","Põhja-Pärnumaa vald","house",638,"EE004",18,180.47,247.56
2019,"EE004","ruhnu vald","Ruhnu vald","house",689,"EE004",NA,583.65,598.007272727273
2019,"EE004","saarde vald","Saarde vald","house",712,"EE004",17,300.81,309.5
2019,"EE004","saaremaa vald","Saaremaa vald","house",714,"EE004",74,583.65,597.66
2019,"EE004","tori vald","Tori vald","house",809,"EE004",71,816.33,795.06
2019,"EE004","vormsi vald","Vormsi vald","house",907,"EE004",2,756.280296824806,728.580476192186
2019,"EE008","antsla vald","Antsla vald","house",142,"EE008",14,206.07,252.09
2019,"EE008","elva vald","Elva vald","house",171,"EE008",47,452.52,554.77
2019,"EE008","jogeva vald","Jõgeva vald","house",247,"EE008",50,191.8,248.92
2019,"EE008","kambja vald","Kambja vald","house",283,"EE008",58,1203.3,1126.83
2019,"EE008","kanepi vald","Kanepi vald","house",284,"EE008",20,487.1,513.85
2019,"EE008","kastre vald","Kastre vald","house",291,"EE008",38,1220.12,978.01
2019,"EE008","luunja vald","Luunja vald","house",432,"EE008",23,1256.26,1177.53
2019,"EE008","mulgi vald","Mulgi vald","house",480,"EE008",34,142.32,220.57
2019,"EE008","mustvee vald","Mustvee vald","house",486,"EE008",31,170.83,263.75
2019,"EE008","noo vald","Nõo vald","house",528,"EE008",14,403.29,500.16
2019,"EE008","otepaa vald","Otepää vald","house",557,"EE008",27,515.84,590.6
2019,"EE008","peipsiaare vald","Peipsiääre vald","house",586,"EE008",8,224.65,342.37
2019,"EE008","pohjasakala vald","Põhja-Sakala vald","house",615,"EE008",42,153.57,237.29
2019,"EE008","poltsamaa vald","Põltsamaa vald","house",618,"EE008",38,295.73,314.06
2019,"EE008","polva vald","Põlva vald","house",622,"EE008",43,301.09,429.82
2019,"EE008","rapina vald","Räpina vald","house",708,"EE008",34,166.21,230.59
2019,"EE008","rouge vald","Rõuge vald","house",698,"EE008",19,164.84,167.58
2019,"EE008","setomaa vald","Setomaa vald","house",732,"EE008",21,145.89,254.98
2019,"EE008","tartu linn","Tartu linn","house",793,"EE008",105,813.3,936.23
2019,"EE008","tartu vald","Tartu vald","house",796,"EE008",38,764.69,848.02
2019,"EE008","torva vald","Tõrva vald","house",824,"EE008",21,246.64,297.79
2019,"EE008","valga vald","Valga vald","house",855,"EE008",49,162.38,204.41
2019,"EE008","viljandi linn","Viljandi linn","house",897,"EE008",59,473.48,553.26
2019,"EE008","viljandi vald","Viljandi vald","house",899,"EE008",66,285.89,363.61
2019,"EE008","voru linn","Võru linn","house",919,"EE008",39,427.42,410.97
2019,"EE008","voru vald","Võru vald","house",917,"EE008",30,260.83,278.01
2019,"EE009","haljala vald","Haljala vald","house",191,"EE006",26,381.31,805.48
2019,"EE009","jarva vald","Järva vald","house",255,"EE006",50,142.04,225.84
2019,"EE009","kadrina vald","Kadrina vald","house",272,"EE006",18,250.51,374.49
2019,"EE009","kehtna vald","Kehtna vald","house",293,"EE006",24,217,348.12
2019,"EE009","kohila vald","Kohila vald","house",317,"EE006",30,856.86,850.09
2019,"EE009","marjamaa vald","Märjamaa vald","house",503,"EE006",35,244.44,330.67
2019,"EE009","paide linn","Paide linn","house",567,"EE006",31,469.19,489.43
2019,"EE009","rakvere linn","Rakvere linn","house",663,"EE006",48,539.16,573.46
2019,"EE009","rakvere vald","Rakvere vald","house",661,"EE006",15,371.5,424.33
2019,"EE009","rapla vald","Rapla vald","house",668,"EE006",37,718.39,728.79
2019,"EE009","tapa vald","Tapa vald","house",792,"EE006",43,394.74,349.64
2019,"EE009","turi vald","Türi vald","house",834,"EE006",53,310.19,336.54
2019,"EE009","vaikemaarja vald","Väike-Maarja vald","house",928,"EE006",19,149.52,166.62
2019,"EE009","vinni vald","Vinni vald","house",901,"EE006",33,141.34,174.11
2019,"EE009","virunigula vald","Viru-Nigula vald","house",903,"EE006",13,256.85,418.53
2019,"EE00A","alutaguse vald","Alutaguse vald","house",130,"EE007",29,149.63,286.45
2019,"EE00A","johvi vald","Jõhvi vald","house",251,"EE007",49,335.08,451.52
