nuts,type,value,indicator,year
DE939,flat,46,nbscrapes,2019
DEE0C,flat,27,nbscrapes,2019
DE256,house,262,nbscrapes,2019
DEB18,house,361,nbscrapes,2019
DEB1B,house,349,nbscrapes,2019
DEF04,flat,20,nbscrapes,2019
DE261,house,38,nbscrapes,2019
DE25A,flat,20,nbscrapes,2019
DE938,flat,24,nbscrapes,2019
DEC02,flat,33,nbscrapes,2019
DEA31,flat,33,nbscrapes,2019
DE735,house,321,nbscrapes,2019
DEA5C,flat,178,nbscrapes,2019
DEG0B,flat,26,nbscrapes,2019
DE737,flat,15,nbscrapes,2019
DE12C,house,133,nbscrapes,2019
DE918,flat,14,nbscrapes,2019
DE227,flat,19,nbscrapes,2019
DEE09,house,271,nbscrapes,2019
DEA45,house,551,nbscrapes,2019
DEB3B,house,247,nbscrapes,2019
DE501,house,337,nbscrapes,2019
DEF08,house,372,nbscrapes,2019
DEB14,house,309,nbscrapes,2019
DEB3K,house,363,nbscrapes,2019
DE145,house,117,nbscrapes,2019
DEB23,house,343,nbscrapes,2019
DE12A,house,216,nbscrapes,2019
DEA35,flat,56,nbscrapes,2019
DE26B,flat,27,nbscrapes,2019
DE718,house,323,nbscrapes,2019
DEA1F,house,352,nbscrapes,2019
DEA34,flat,119,nbscrapes,2019
DED52,house,328,nbscrapes,2019
DE406,house,174,nbscrapes,2019
DEE0A,flat,8,nbscrapes,2019
DEB3D,flat,40,nbscrapes,2019
DEB22,flat,22,nbscrapes,2019
DE26C,house,147,nbscrapes,2019
DE278,house,114,nbscrapes,2019
DE272,flat,70,nbscrapes,2019
DE266,house,89,nbscrapes,2019
DEB15,house,177,nbscrapes,2019
DEA42,house,193,nbscrapes,2019
DE725,house,287,nbscrapes,2019
DE11B,flat,61,nbscrapes,2019
DE947,house,653,nbscrapes,2019
DEB13,house,329,nbscrapes,2019
DEC02,house,217,nbscrapes,2019
DE935,house,260,nbscrapes,2019
DE723,flat,54,nbscrapes,2019
DE246,house,171,nbscrapes,2019
DE80O,flat,43,nbscrapes,2019
DE917,flat,32,nbscrapes,2019
DEF0B,house,420,nbscrapes,2019
DE12B,flat,105,nbscrapes,2019
DEA1B,flat,121,nbscrapes,2019
DE923,house,244,nbscrapes,2019
DE724,house,256,nbscrapes,2019
DEA28,house,458,nbscrapes,2019
DEA23,house,327,nbscrapes,2019
DEG03,flat,15,nbscrapes,2019
DE936,house,186,nbscrapes,2019
DE40B,flat,8,nbscrapes,2019
DE409,flat,21,nbscrapes,2019
DEA28,flat,51,nbscrapes,2019
DE214,flat,61,nbscrapes,2019
DEF05,house,421,nbscrapes,2019
DEB38,flat,12,nbscrapes,2019
DE274,flat,24,nbscrapes,2019
DEA54,flat,50,nbscrapes,2019
DEF06,flat,35,nbscrapes,2019
DEC04,house,274,nbscrapes,2019
DE141,house,195,nbscrapes,2019
DE114,house,204,nbscrapes,2019
DE27C,house,103,nbscrapes,2019
DEB3J,house,255,nbscrapes,2019
DEB1C,house,169,nbscrapes,2019
DE948,house,174,nbscrapes,2019
DE917,house,174,nbscrapes,2019
DE40B,house,67,nbscrapes,2019
DEB17,flat,66,nbscrapes,2019
DE265,flat,44,nbscrapes,2019
DE40E,house,225,nbscrapes,2019
DEA59,house,98,nbscrapes,2019
DE134,house,274,nbscrapes,2019
DEB33,house,26,nbscrapes,2019
DEA1E,house,421,nbscrapes,2019
DEG0D,flat,8,nbscrapes,2019
DE118,house,236,nbscrapes,2019
DEE06,flat,22,nbscrapes,2019
DE931,house,275,nbscrapes,2019
DEE07,house,203,nbscrapes,2019
DEF07,house,599,nbscrapes,2019
DE275,house,83,nbscrapes,2019
DE721,house,236,nbscrapes,2019
DE933,house,376,nbscrapes,2019
DEE0E,flat,16,nbscrapes,2019
DEB3I,house,192,nbscrapes,2019
DE725,flat,16,nbscrapes,2019
DE94F,flat,11,nbscrapes,2019
DEG0K,house,56,nbscrapes,2019
DE24C,flat,18,nbscrapes,2019
DE40D,flat,13,nbscrapes,2019
DEG0G,flat,6,nbscrapes,2019
DE245,flat,41,nbscrapes,2019
DE40H,flat,27,nbscrapes,2019
