Municipality.code,year,type.of.building,variable,value
0330,1986,all,price,66791.629899958
0330,1987,all,price,75178.0228840936
0330,1988,all,price,86409.7992140595
0330,1989,all,price,102134.286076012
0330,1990,all,price,114114.847472378
0330,1991,all,price,122501.240456514
0330,1992,all,price,112916.791379496
0330,1993,all,price,99887.9308100185
0330,1994,all,price,102733.314155849
0330,1995,all,price,102583.557102494
0330,1996,all,price,103631.856275604
0330,1997,all,price,108723.594887428
0330,1998,all,price,117709.0159514
0330,1999,all,price,126694.437015373
0330,2000,all,price,138375.484371821
0330,2001,all,price,148858.475635386
0330,2002,all,price,161737.579151508
0330,2003,all,price,174616.68266763
0330,2004,all,price,189143.113369908
0330,2005,all,price,206065.656391535
0330,2006,all,price,224935.040572444
0330,2007,all,price,243954.1818735
0330,2008,all,price,253239.116977391
0330,2009,all,price,260876.724828335
0330,2010,all,price,275253.398544049
0330,2011,all,price,276151.940663805
0330,2012,all,price,274354.856424294
0330,2013,all,price,284089.062621458
0330,2014,all,price,304605.774055315
0330,2015,all,price,338450.860031776
0330,2016,all,price,367803.235476251
0330,2017,all,price,398802.938173674
0330,2018,all,price,403595.162745578
0330,2019,all,price,417223.051328101
0330,2020,all,price,441184.174187625
0330,2021,all,price,518458.795351149
0330,2022,all,price,540772.590957725
0330,2023,all,price,484164.438281414
0330,2024,all,price,479222.456656154
0331,1986,all,price,21319.4936785681
0331,1987,all,price,23996.3807747367
0331,1988,all,price,27581.4974251981
0331,1989,all,price,32600.6607358441
0331,1990,all,price,36424.7851558965
0331,1991,all,price,39101.6722520651
0331,1992,all,price,36042.3727288149
0331,1993,all,price,31883.6374057518
0331,1994,all,price,32791.8669600447
0331,1995,all,price,32744.0653933348
0331,1996,all,price,33078.6762963455
0331,1997,all,price,34703.9291807306
0331,1998,all,price,37572.0225010998
0331,1999,all,price,40440.1158214689
0331,2000,all,price,44168.637129421
0331,2001,all,price,47514.7460102915
0331,2002,all,price,51625.6797666447
0331,2003,all,price,55736.6135229979
0331,2004,all,price,60373.3643852428
0331,2005,all,price,65774.9401442899
0331,2006,all,price,71797.9361000095
0331,2007,all,price,77868.7336437585
0331,2008,all,price,80832.4300762279
0331,2009,all,price,83270.3093814861
0331,2010,all,price,87859.2586983407
0331,2011,all,price,88146.0680346414
0331,2012,all,price,87572.4493620399
0331,2013,all,price,90679.5504733194
0331,2014,all,price,97228.3635562503
0331,2015,all,price,108031.515053025
0331,2016,all,price,117400.619889615
0331,2017,all,price,127295.541853416
0331,2018,all,price,128825.191625701
0331,2019,all,price,133175.133151645
0331,2020,all,price,140823.38201307
0331,2021,all,price,165488.984572508
0331,2022,all,price,172611.416306721
0331,2023,all,price,154542.428396923
0331,2024,all,price,152964.977057929
0360,1986,all,price,23381.5326115946
0360,1987,all,price,26317.330425571
0360,1988,all,price,30249.202502036
0360,1989,all,price,35753.8234090871
0360,1990,all,price,39947.820282856
0360,1991,all,price,42883.6180968323
0360,1992,all,price,39528.4206118462
0360,1993,all,price,34967.4489937941
0360,1994,all,price,35963.5232562828
0360,1995,all,price,35911.0982827931
0360,1996,all,price,36278.0730270763
0360,1997,all,price,38060.521704858
0360,1998,all,price,41206.01936603
0360,1999,all,price,44351.517027202
0360,2000,all,price,48440.6639773731
0360,2001,all,price,52110.4112565343
0360,2002,all,price,56618.9579010967
0360,2003,all,price,61127.5045456591
0360,2004,all,price,66212.7257583188
0360,2005,all,price,72136.7463597612
0360,2006,all,price,78742.2914295173
0360,2007,all,price,85400.2614961445
0360,2008,all,price,88650.6090809144
0360,2009,all,price,91324.2820742054
0360,2010,all,price,96357.078336757
0360,2011,all,price,96671.6281075505
0360,2012,all,price,96042.5285659635
0360,2013,all,price,99450.1510478209
0360,2014,all,price,106632.370709056
0360,2015,all,price,118480.411888559
0360,2016,all,price,128755.704237476
0360,2017,all,price,139607.671177873
0360,2018,all,price,141285.269932056
0360,2019,all,price,146055.941373923
0360,2020,all,price,154443.935144842
0360,2021,all,price,181495.215035598
0360,2022,all,price,189306.534215038
0360,2023,all,price,169489.898959007
0360,2024,all,price,167759.875231333
0380,1986,all,price,64057.9999743646
0380,1987,all,price,72101.1569143498
0380,1988,all,price,82873.242113269
0380,1989,all,price,97954.1613917557
0380,1990,all,price,109444.385582583
0380,1991,all,price,117487.542522569
0380,1992,all,price,108295.363208341
0380,1993,all,price,95799.7443519719
0380,1994,all,price,98528.6726109058
0380,1995,all,price,98385.0447740893
0380,1996,all,price,99390.4394396309
0380,1997,all,price,104273.784738349
0380,1998,all,price,112891.452897484
0380,1999,all,price,121509.121056619
0380,2000,all,price,132712.089637872
0380,2001,all,price,142766.035844882
0380,2002,all,price,155118.026864435
0380,2003,all,price,167470.017883988
0380,2004,all,price,181401.914724175
0380,2005,all,price,197631.856440962
0380,2006,all,price,215728.959523899
0380,2007,all,price,233969.690507712
0380,2008,all,price,242874.614276422
0380,2009,all,price,250199.632160441
0380,2010,all,price,263987.901227869
0380,2011,all,price,264849.668056594
0380,2012,all,price,263126.134399144
0380,2013,all,price,272461.941614246
0380,2014,all,price,292138.950581875
0380,2015,all,price,324598.833951391
0380,2016,all,price,352749.883241339
0380,2017,all,price,382480.838415979
0380,2018,all,price,387076.928105122
0380,2019,all,price,400147.058116583
0380,2020,all,price,423127.506562297
0380,2021,all,price,497239.452743672
0380,2022,all,price,518639.995304694
0380,2023,all,price,464348.685927764
0380,2024,all,price,459608.968401805
0381,1986,all,price,42562.2751485163
0381,1987,all,price,47906.4173146681
0381,1988,all,price,55063.7505805074
0381,1989,all,price,65084.0171526825
0381,1990,all,price,72718.5059553904
0381,1991,all,price,78062.6481215421
0381,1992,all,price,71955.0571049132
0381,1993,all,price,63652.5504995146
0381,1994,all,price,65465.7415992022
0381,1995,all,price,65370.3104662912
0381,1996,all,price,66038.3282689818
0381,1997,all,price,69282.9860218373
0381,1998,all,price,75008.8526345088
0381,1999,all,price,80734.7192471802
0381,2000,all,price,88178.3458266283
0381,2001,all,price,94858.5235555991
0381,2002,all,price,103065.599028087
0381,2003,all,price,111272.674500574
0381,2004,all,price,120529.49217971
0381,2005,all,price,131313.207644924
0381,2006,all,price,143337.527497484
0381,2007,all,price,155457.278525518
0381,2008,all,price,161374.007361449
0381,2009,all,price,166240.99394817
0381,2010,all,price,175402.380536957
0381,2011,all,price,175974.967206737
0381,2012,all,price,174829.793867178
0381,2013,all,price,181032.81605928
0381,2014,all,price,194106.878161051
0381,2015,all,price,215674.309048917
0381,2016,all,price,234378.806630448
0381,2017,all,price,254133.04646119
0381,2018,all,price,257186.841990786
0381,2019,all,price,265871.073000142
0381,2020,all,price,281140.05064812
0381,2021,all,price,330382.503525607
0381,2022,all,price,344601.738924374
0381,2023,all,price,308528.779281569
0381,2024,all,price,305379.552619062
0382,1986,all,price,36590.2639715705
0382,1987,all,price,41184.5572014029
0382,1988,all,price,47337.628497891
0382,1989,all,price,55951.9283129743
0382,1990,all,price,62515.2043503648
0382,1991,all,price,67109.4975801973
0382,1992,all,price,61858.876772239
0382,1993,all,price,54721.3140536767
0382,1994,all,price,56280.0921203324
0382,1995,all,price,56198.0511501977
0382,1996,all,price,56772.3378313695
0382,1997,all,price,59561.7301573228
0382,1998,all,price,64484.1871945133
0382,1999,all,price,69406.6442317037
0382,2000,all,price,75805.8383654152
0382,2001,all,price,81548.7049210008
0382,2002,all,price,88604.2266694285
0382,2003,all,price,95659.7484178562
0382,2004,all,price,103617.720618223
0382,2005,all,price,112888.348048023
0382,2006,all,price,123225.507796851
0382,2007,all,price,133644.708552403
0382,2008,all,price,138731.247493273
0382,2009,all,price,142915.335945612
0382,2010,all,price,150791.267212435
0382,2011,all,price,151283.512923472
0382,2012,all,price,150299.021501398
0382,2013,all,price,155631.683316081
0382,2014,all,price,166871.293553439
0382,2015,all,price,185412.548376448
0382,2016,all,price,201492.574680861
0382,2017,all,price,218475.051473804
0382,2018,all,price,221100.361896079
0382,2019,all,price,228566.088385409
0382,2020,all,price,241692.64049678
0382,2021,all,price,284025.771023936
0382,2022,all,price,296249.872646778
0382,2023,all,price,265238.393327114
0382,2024,all,price,262531.041934705
0428,1986,all,price,18585.0624935424
0428,1987,all,price,20918.6129389952
0428,1988,all,price,24043.9037174739
0428,1989,all,price,28419.3108073442
0428,1990,all,price,31752.9542981932
0428,1991,all,price,34086.504743646
0428,1992,all,price,31419.5899621178
0428,1993,all,price,27794.2526516485
0428,1994,all,price,28585.9929846744
0428,1995,all,price,28544.3224310493
0428,1996,all,price,28836.0162506697
0428,1997,all,price,30252.8147393914
0428,1998,all,price,32753.0473621744
0428,1999,all,price,35253.2799849575
0428,2000,all,price,38503.5823871413
0428,2001,all,price,41420.5204532499
0428,2002,all,price,45004.1872100942
0428,2003,all,price,48587.8539669385
0428,2004,all,price,52629.8967021483
0428,2005,all,price,57338.668146679
0428,2006,all,price,62589.1566396553
0428,2007,all,price,67881.3157048417
0428,2008,all,price,70464.8894162898
0428,2009,all,price,72590.0871307873
0428,2010,all,price,76590.4593309572
0428,2011,all,price,76840.4825969525
0428,2012,all,price,76340.4360649619
0428,2013,all,price,79049.0214187002
0428,2014,all,price,84757.885908627
0428,2015,all,price,94175.4287791033
0428,2016,all,price,102342.855338188
0428,2017,all,price,110968.657894224
0428,2018,all,price,112302.11529428
0428,2019,all,price,116094.134763495
0428,2020,all,price,122761.421763778
0428,2021,all,price,144263.422323429
0428,2022,all,price,150472.333326761
0428,2023,all,price,134720.867810662
0428,2024,all,price,133345.73985698
0461,1986,all,price,42325.4992375422
0461,1987,all,price,47639.9116929266
0461,1988,all,price,54757.4283818031
0461,1989,all,price,64721.9517462302
0461,1990,all,price,72313.96953359
0461,1991,all,price,77628.3819889744
0461,1992,all,price,71554.7677844819
0461,1993,all,price,63298.4484084549
0461,1994,all,price,65101.552641947
0461,1995,all,price,65006.6523968551
0461,1996,all,price,65670.9539855222
0461,1997,all,price,68897.5615567897
0461,1998,all,price,74591.5749078909
0461,1999,all,price,80285.5882589921
0461,2000,all,price,87687.8055984934
0461,2001,all,price,94330.8211888867
0461,2002,all,price,102492.240319822
0461,2003,all,price,110653.659450757
0461,2004,all,price,119858.98102375
0461,2005,all,price,130582.706179611
0461,2006,all,price,142540.134183063
0461,2007,all,price,154592.462473933
0461,2008,all,price,160476.276272892
0461,2009,all,price,165316.187587468
0461,2010,all,price,174426.608957695
0461,2011,all,price,174996.01030127
0461,2012,all,price,173857.20761412
0461,2013,all,price,180025.72210603
0461,2014,all,price,193027.052593866
0461,2015,all,price,214474.502863262
0461,2016,all,price,233074.946457107
0461,2017,all,price,252719.292535337
0461,2018,all,price,255756.099658745
0461,2019,all,price,264392.019888164
0461,2020,all,price,279576.055505209
0461,2021,all,price,328544.570333144
0461,2022,all,price,342684.703465805
0461,2023,all,price,306812.419370798
0461,2024,all,price,303680.712002297
0480,1986,all,price,36923.6949590853
0480,1987,all,price,41559.853963096
0480,1988,all,price,47768.995492918
0480,1989,all,price,56461.7936346689
0480,1990,all,price,63084.8779208379
0480,1991,all,price,67721.0369248485
0480,1992,all,price,62422.5695180675
0480,1993,all,price,55219.9653287045
0480,1994,all,price,56792.9478545159
0480,1995,all,price,56710.1592810923
0480,1996,all,price,57289.6791842864
0480,1997,all,price,60104.4900160622
0480,1998,all,price,65071.8032399199
0480,1999,all,price,70039.1164637775
0480,2000,all,price,76496.6236400229
0480,2001,all,price,82291.8224134981
0480,2002,all,price,89411.6380294376
0480,2003,all,price,96531.453645377
0480,2004,all,price,104561.943347434
0480,2005,all,price,113917.049928879
0480,2006,all,price,124348.407669441
0480,2007,all,price,134862.55402035
0480,2008,all,price,139995.444354131
0480,2009,all,price,144217.660564871
0480,2010,all,price,152165.361730428
0480,2011,all,price,152662.093060199
0480,2012,all,price,151668.630400658
0480,2013,all,price,157049.886417786
0480,2014,all,price,168391.918281389
0480,2015,all,price,187102.131407355
0480,2016,all,price,203328.687921393
0480,2017,all,price,220465.918558471
0480,2018,all,price,223115.152280323
0480,2019,all,price,230648.91065261
0480,2020,all,price,243895.079261871
0480,2021,all,price,286613.972994432
0480,2022,all,price,298949.467480652
0480,2023,all,price,267655.394185119
0480,2024,all,price,264923.371889843
0481,1986,all,price,23795.4136516755
0481,1987,all,price,26783.1785917124
0481,1988,all,price,30784.6494977968
0481,1989,all,price,36386.7087663148
0481,1990,all,price,40654.9443915396
0481,1991,all,price,43642.7093315766
0481,1992,all,price,40228.120845674
0481,1993,all,price,35586.4145850979
0481,1994,all,price,36600.1205511454
0481,1995,all,price,36546.76759304
0481,1996,all,price,36920.2382283912
0481,1997,all,price,38734.2383756555
0481,1998,all,price,41935.415100523
0481,1999,all,price,45136.5918253905
0481,2000,all,price,49298.1215582
0481,2001,all,price,53032.8277451438
0481,2002,all,price,57621.1810476145
0481,2003,all,price,62209.5343500852
0481,2004,all,price,67384.7700489421
0481,2005,all,price,73413.6528871213
0481,2006,all,price,80136.1239903067
0481,2007,all,price,86911.9480753928
0481,2008,all,price,90219.8306926755
0481,2009,all,price,92940.8308897766
0481,2010,all,price,98062.7136543236
0481,2011,all,price,98382.8313315694
0481,2012,all,price,97742.5959770778
0481,2013,all,price,101210.537444881
0481,2014,all,price,108519.890968248
0481,2015,all,price,120577.656620811
0481,2016,all,price,131034.83391094
0481,2017,all,price,142078.893621251
0481,2018,all,price,143786.1878761
0481,2019,all,price,148641.305897712
0481,2020,all,price,157177.777171957
0481,2021,all,price,184707.897010576
0481,2022,all,price,192657.485864639
0481,2023,all,price,172490.072507492
0481,2024,all,price,170729.425294538
0482,1986,all,price,17875.0190952434
0482,1987,all,price,20119.4161096025
0482,1988,all,price,23125.304971311
0482,1989,all,price,27333.549377703
0482,1990,all,price,30539.8308242337
0482,1991,all,price,32784.2278385928
0482,1992,all,price,30219.2026920932
0482,1993,all,price,26732.3716053613
0482,1994,all,price,27493.8634527108
0482,1995,all,price,27453.7849250213
0482,1996,all,price,27734.3345652224
0482,1997,all,price,29097.0041849137
0482,1998,all,price,31501.7152742805
0482,1999,all,price,33906.4263636473
0482,2000,all,price,37032.5507726742
0482,2001,all,price,39838.0470495605
0482,2002,all,price,43284.799608603
0482,2003,all,price,46731.5521676454
0482,2004,all,price,50619.1684240218
0482,2005,all,price,55148.0409804293
0482,2006,all,price,60197.9342537996
0482,2007,all,price,65287.9060727344
0482,2008,all,price,67772.7741996052
0482,2009,all,price,69816.778611267
0482,2010,all,price,73664.3163578289
0482,2011,all,price,73904.7874703406
0482,2012,all,price,73423.8452453172
0482,2013,all,price,76028.9489373813
0482,2014,all,price,81519.7059259605
0482,2015,all,price,90577.4510209006
0482,2016,all,price,98432.8405711572
0482,2017,all,price,106729.093836623
0482,2018,all,price,108011.60641881
0482,2019,all,price,111658.751562675
0482,2020,all,price,118071.314473611
0482,2021,all,price,138751.829845741
0482,2022,all,price,144723.529041469
0482,2023,all,price,129573.849185608
0482,2024,all,price,128251.258075731
0483,1986,all,price,26717.7966410954
0483,1987,all,price,30072.4975615259
0483,1988,all,price,34565.4005847307
0483,1989,all,price,40855.4648172173
0483,1990,all,price,45647.8946997298
0483,1991,all,price,49002.5956201604
0483,1992,all,price,45168.651730181
0483,1993,all,price,39956.8842125764
0483,1994,all,price,41095.0863153506
0483,1995,all,price,41035.1809274584
0483,1996,all,price,41454.5185625506
0483,1997,all,price,43491.3012699658
0483,1998,all,price,47085.6236885296
0483,1999,all,price,50679.9461070934
0483,2000,all,price,55352.5652405393
0483,2001,all,price,59545.9414044363
0483,2002,all,price,64697.8035341488
0483,2003,all,price,69849.6656638612
0483,2004,all,price,75660.4869000813
0483,2005,all,price,82429.7941288346
0483,2006,all,price,89977.8711864443
0483,2007,all,price,97585.8536586641
0483,2008,all,price,101299.986826295
0483,2009,all,price,104355.1608607
0483,2010,all,price,110106.076735745
0483,2011,all,price,110465.508982945
0483,2012,all,price,109746.644488545
0483,2013,all,price,113640.493793135
0483,2014,all,price,121847.52998397
0483,2015,all,price,135386.144414759
0483,2016,all,price,147127.597636265
0483,2017,all,price,159528.009990998
0483,2018,all,price,161444.981949346
0483,2019,all,price,166896.370938367
0483,2020,all,price,176481.230730109
0483,2021,all,price,207392.403535102
0483,2022,all,price,216318.304193619
0483,2023,all,price,193674.072967354
0483,2024,all,price,191697.195621113
0484,1986,all,price,43943.2527317208
0484,1987,all,price,49460.7911861857
0484,1988,all,price,56850.3516241195
0484,1989,all,price,67195.7362372269
