"nuts","year","value","level","indicator","type.of.building"
"381","2012",2486,"laucode","bldn_sec","all"
"381","2013",2475,"laucode","bldn_sec","all"
"381","2014",2474,"laucode","bldn_sec","all"
"381","2015",2440,"laucode","bldn_sec","all"
"381","2016",2407,"laucode","bldn_sec","all"
"381","2017",2395,"laucode","bldn_sec","all"
"381","2018",2465,"laucode","bldn_sec","all"
"381","2019",2477,"laucode","bldn_sec","all"
"381","2020",2453,"laucode","bldn_sec","all"
"381","2021",2401,"laucode","bldn_sec","all"
"381","2022",2387,"laucode","bldn_sec","all"
"381","2023",2402,"laucode","bldn_sec","all"
"381","2024",2402,"laucode","bldn_sec","all"
"382","1998",5251,"laucode","bldn_sec","all"
"382","1999",5252,"laucode","bldn_sec","all"
"382","2000",5264,"laucode","bldn_sec","all"
"382","2001",5248,"laucode","bldn_sec","all"
"382","2002",5259,"laucode","bldn_sec","all"
"382","2003",5328,"laucode","bldn_sec","all"
"382","2004",5338,"laucode","bldn_sec","all"
"382","2005",5334,"laucode","bldn_sec","all"
"382","2006",5449,"laucode","bldn_sec","all"
"382","2007",5461,"laucode","bldn_sec","all"
"382","2008",5489,"laucode","bldn_sec","all"
"382","2009",5579,"laucode","bldn_sec","all"
"382","2010",5613,"laucode","bldn_sec","all"
"382","2011",5610,"laucode","bldn_sec","all"
"382","2012",5616,"laucode","bldn_sec","all"
"382","2013",5631,"laucode","bldn_sec","all"
"382","2014",5625,"laucode","bldn_sec","all"
"382","2015",5702,"laucode","bldn_sec","all"
"382","2016",5731,"laucode","bldn_sec","all"
"382","2017",5755,"laucode","bldn_sec","all"
"382","2018",5896,"laucode","bldn_sec","all"
"382","2019",5909,"laucode","bldn_sec","all"
"382","2020",5924,"laucode","bldn_sec","all"
"382","2021",5964,"laucode","bldn_sec","all"
"382","2022",5950,"laucode","bldn_sec","all"
"382","2023",5990,"laucode","bldn_sec","all"
"382","2024",6104,"laucode","bldn_sec","all"
"428","1998",1127,"laucode","bldn_sec","all"
"428","1999",1128,"laucode","bldn_sec","all"
"428","2000",1141,"laucode","bldn_sec","all"
"428","2001",1097,"laucode","bldn_sec","all"
"428","2002",1092,"laucode","bldn_sec","all"
"428","2003",1094,"laucode","bldn_sec","all"
"428","2004",1104,"laucode","bldn_sec","all"
"428","2005",1085,"laucode","bldn_sec","all"
"428","2006",1085,"laucode","bldn_sec","all"
