"year","level","nuts","type.of.building","value","measure"
2013,"nuts3","SE311","flat",1234.1927465314,"price_m2"
2014,"nuts3","SE311","flat",1297.97467245134,"price_m2"
2015,"nuts3","SE311","flat",1356.47077613261,"price_m2"
2016,"nuts3","SE311","flat",1421.05277997439,"price_m2"
2017,"nuts3","SE311","flat",1488.91740482484,"price_m2"
2018,"nuts3","SE311","flat",1547.96180561531,"price_m2"
2019,"nuts3","SE311","flat",1542.52606931103,"price_m2"
2020,"nuts3","SE311","flat",1613.76723449744,"price_m2"
2021,"nuts3","SE311","flat",1727.24178488683,"price_m2"
2022,"nuts3","SE311","flat",1814.62465273486,"price_m2"
2023,"nuts3","SE311","flat",1781.54399504076,"price_m2"
2024,"nuts3","SE311","flat",1846.11731974054,"price_m2"
2013,"nuts3","SE311","house",1106.17424135441,"price_m2"
2014,"nuts3","SE311","house",1161.00232225286,"price_m2"
2015,"nuts3","SE311","house",1210.15230955403,"price_m2"
2016,"nuts3","SE311","house",1266.44971694336,"price_m2"
2017,"nuts3","SE311","house",1324.08106334551,"price_m2"
2018,"nuts3","SE311","house",1365.42270730031,"price_m2"
2019,"nuts3","SE311","house",1347.42429162321,"price_m2"
2020,"nuts3","SE311","house",1409.3350503207,"price_m2"
2021,"nuts3","SE311","house",1504.46110548147,"price_m2"
2022,"nuts3","SE311","house",1577.57743443458,"price_m2"
2023,"nuts3","SE311","house",1540.36002533926,"price_m2"
2024,"nuts3","SE311","house",1591.61356512573,"price_m2"
2013,"nuts3","SE124","all",1561.3846346596,"price_m2"
2014,"nuts3","SE124","all",1642.51337372837,"price_m2"
2015,"nuts3","SE124","all",1739.65443989038,"price_m2"
2016,"nuts3","SE124","all",1818.6986822763,"price_m2"
2017,"nuts3","SE124","all",1912.63553235672,"price_m2"
2018,"nuts3","SE124","all",1976.77429854173,"price_m2"
2019,"nuts3","SE124","all",1991.63331678998,"price_m2"
2020,"nuts3","SE124","all",2066.76306767623,"price_m2"
2021,"nuts3","SE124","all",2223.07232802142,"price_m2"
2022,"nuts3","SE124","all",2287.53409406966,"price_m2"
2023,"nuts3","SE124","all",2230.12585151812,"price_m2"
2024,"nuts3","SE124","all",2241.35693874306,"price_m2"
2013,"nuts3","SE124","flat",1901.2183975242,"price_m2"
2014,"nuts3","SE124","flat",2010.2603558949,"price_m2"
2015,"nuts3","SE124","flat",2122.74639869573,"price_m2"
2016,"nuts3","SE124","flat",2216.23180956793,"price_m2"
2017,"nuts3","SE124","flat",2324.31807900408,"price_m2"
2018,"nuts3","SE124","flat",2397.18044126459,"price_m2"
2019,"nuts3","SE124","flat",2399.09041070686,"price_m2"
2020,"nuts3","SE124","flat",2484.50691732955,"price_m2"
2021,"nuts3","SE124","flat",2669.10470739796,"price_m2"
2022,"nuts3","SE124","flat",2744.34767271568,"price_m2"
2023,"nuts3","SE124","flat",2662.7403588579,"price_m2"
2024,"nuts3","SE124","flat",2665.28026716638,"price_m2"
2013,"nuts3","SE124","house",1326.90850200909,"price_m2"
2014,"nuts3","SE124","house",1384.52316758353,"price_m2"
2015,"nuts3","SE124","house",1469.59116605914,"price_m2"
2016,"nuts3","SE124","house",1535.73272358092,"price_m2"
2017,"nuts3","SE124","house",1617.52903525556,"price_m2"
2018,"nuts3","SE124","house",1672.2015002842,"price_m2"
2019,"nuts3","SE124","house",1697.2607655794,"price_m2"
2020,"nuts3","SE124","house",1762.64110727339,"price_m2"
2021,"nuts3","SE124","house",1895.41462011753,"price_m2"
2022,"nuts3","SE124","house",1947.38213217634,"price_m2"
2023,"nuts3","SE124","house",1902.70902103794,"price_m2"
2024,"nuts3","SE124","house",1918.51237491964,"price_m2"
2013,"nuts3","SE125","all",1527.58173187982,"price_m2"
2014,"nuts3","SE125","all",1596.99588682923,"price_m2"
2015,"nuts3","SE125","all",1714.08274606657,"price_m2"
2016,"nuts3","SE125","all",1842.9668657088,"price_m2"
2017,"nuts3","SE125","all",1960.2102191898,"price_m2"
2018,"nuts3","SE125","all",2029.22136983252,"price_m2"
2019,"nuts3","SE125","all",2008.31691307802,"price_m2"
2020,"nuts3","SE125","all",2061.74455844453,"price_m2"
2021,"nuts3","SE125","all",2195.50181431972,"price_m2"
2022,"nuts3","SE125","all",2238.69840528576,"price_m2"
2023,"nuts3","SE125","all",2108.93575481969,"price_m2"
2024,"nuts3","SE125","all",2179.18040692294,"price_m2"
2013,"nuts3","SE125","flat",1584.673757321,"price_m2"
2014,"nuts3","SE125","flat",1658.34368661937,"price_m2"
2015,"nuts3","SE125","flat",1780.36403828381,"price_m2"
2016,"nuts3","SE125","flat",1914.04791655365,"price_m2"
2017,"nuts3","SE125","flat",2035.43722913114,"price_m2"
2018,"nuts3","SE125","flat",2109.43904202249,"price_m2"
2019,"nuts3","SE125","flat",2085.49392412935,"price_m2"
2020,"nuts3","SE125","flat",2138.46469049588,"price_m2"
2021,"nuts3","SE125","flat",2273.77886899302,"price_m2"
2022,"nuts3","SE125","flat",2314.2288234905,"price_m2"
2023,"nuts3","SE125","flat",2176.27644689513,"price_m2"
2024,"nuts3","SE125","flat",2259.47043186858,"price_m2"
2013,"nuts3","SE125","house",1531.52397966291,"price_m2"
2014,"nuts3","SE125","house",1599.78835603493,"price_m2"
2015,"nuts3","SE125","house",1716.89270328953,"price_m2"
2016,"nuts3","SE125","house",1845.45629592588,"price_m2"
2017,"nuts3","SE125","house",1964.37715827491,"price_m2"
2018,"nuts3","SE125","house",2034.33356236546,"price_m2"
2019,"nuts3","SE125","house",2017.50685784243,"price_m2"
2020,"nuts3","SE125","house",2073.01594029896,"price_m2"
2021,"nuts3","SE125","house",2209.6405007301,"price_m2"
2022,"nuts3","SE125","house",2254.70757235813,"price_m2"
2023,"nuts3","SE125","house",2127.10238608363,"price_m2"
2024,"nuts3","SE125","house",2187.99983886805,"price_m2"
2013,"nuts3","SE312","all",1243.19302102284,"price_m2"
2014,"nuts3","SE312","all",1311.82903610645,"price_m2"
2015,"nuts3","SE312","all",1395.73482948078,"price_m2"
2016,"nuts3","SE312","all",1477.50200840167,"price_m2"
2017,"nuts3","SE312","all",1571.15851372408,"price_m2"
2018,"nuts3","SE312","all",1636.53326757645,"price_m2"
2019,"nuts3","SE312","all",1634.48108689135,"price_m2"
2020,"nuts3","SE312","all",1697.29050573535,"price_m2"
2021,"nuts3","SE312","all",1819.11588599737,"price_m2"
2022,"nuts3","SE312","all",1885.32259093162,"price_m2"
2023,"nuts3","SE312","all",1842.94285636493,"price_m2"
2024,"nuts3","SE312","all",1926.98885625972,"price_m2"
2013,"nuts3","SE312","flat",1313.26624717393,"price_m2"
2014,"nuts3","SE312","flat",1403.10218720328,"price_m2"
2015,"nuts3","SE312","flat",1490.52262177093,"price_m2"
2016,"nuts3","SE312","flat",1573.93667709609,"price_m2"
2017,"nuts3","SE312","flat",1670.09411089696,"price_m2"
2018,"nuts3","SE312","flat",1739.55998683701,"price_m2"
2019,"nuts3","SE312","flat",1720.63075457705,"price_m2"
2020,"nuts3","SE312","flat",1783.5770699063,"price_m2"
2021,"nuts3","SE312","flat",1911.82414611648,"price_m2"
2022,"nuts3","SE312","flat",1979.29577597581,"price_m2"
2023,"nuts3","SE312","flat",1925.16678482202,"price_m2"
2024,"nuts3","SE312","flat",1995.14224591487,"price_m2"
2013,"nuts3","SE312","house",1160.02201866858,"price_m2"
2014,"nuts3","SE312","house",1221.85788784764,"price_m2"
2015,"nuts3","SE312","house",1302.27236186913,"price_m2"
2016,"nuts3","SE312","house",1380.28237939209,"price_m2"
2017,"nuts3","SE312","house",1470.33843933606,"price_m2"
2018,"nuts3","SE312","house",1531.89082542253,"price_m2"
2019,"nuts3","SE312","house",1535.20711823318,"price_m2"
2020,"nuts3","SE312","house",1589.64456180544,"price_m2"
2021,"nuts3","SE312","house",1700.84178571548,"price_m2"
2022,"nuts3","SE312","house",1761.4834380953,"price_m2"
2023,"nuts3","SE312","house",1718.07572921445,"price_m2"
2024,"nuts3","SE312","house",1795.13294480399,"price_m2"
2013,"nuts3","SE313","all",1247.80512571699,"price_m2"
2014,"nuts3","SE313","all",1312.85055715626,"price_m2"
2015,"nuts3","SE313","all",1398.58390521475,"price_m2"
2016,"nuts3","SE313","all",1493.32784751358,"price_m2"
2017,"nuts3","SE313","all",1590.30284503459,"price_m2"
2018,"nuts3","SE313","all",1668.38318182621,"price_m2"
2019,"nuts3","SE313","all",1658.4942020371,"price_m2"
2020,"nuts3","SE313","all",1709.611881993,"price_m2"
2021,"nuts3","SE313","all",1821.40263558636,"price_m2"
2022,"nuts3","SE313","all",1888.62102293911,"price_m2"
2023,"nuts3","SE313","all",1793.27332682235,"price_m2"
2024,"nuts3","SE313","all",1841.83583331252,"price_m2"
2013,"nuts3","SE313","flat",1474.09509880636,"price_m2"
2014,"nuts3","SE313","flat",1554.11156190128,"price_m2"
2015,"nuts3","SE313","flat",1654.06405326795,"price_m2"
2016,"nuts3","SE313","flat",1766.22366537272,"price_m2"
2017,"nuts3","SE313","flat",1882.37202394829,"price_m2"
2018,"nuts3","SE313","flat",1975.4886974393,"price_m2"
2019,"nuts3","SE313","flat",1964.00986359312,"price_m2"
2020,"nuts3","SE313","flat",2015.92754611746,"price_m2"
2021,"nuts3","SE313","flat",2146.56284310098,"price_m2"
2022,"nuts3","SE313","flat",2220.53175560446,"price_m2"
2023,"nuts3","SE313","flat",2096.91788795005,"price_m2"
2024,"nuts3","SE313","flat",2150.00540181039,"price_m2"
2013,"nuts3","SE313","house",1115.07559755858,"price_m2"
2014,"nuts3","SE313","house",1171.55013228545,"price_m2"
2015,"nuts3","SE313","house",1248.33477164435,"price_m2"
2016,"nuts3","SE313","house",1332.52847292754,"price_m2"
2017,"nuts3","SE313","house",1417.98277175321,"price_m2"
2018,"nuts3","SE313","house",1486.16635360582,"price_m2"
2019,"nuts3","SE313","house",1476.05755744064,"price_m2"
2020,"nuts3","SE313","house",1524.48395400504,"price_m2"
2021,"nuts3","SE313","house",1624.6646783953,"price_m2"
2022,"nuts3","SE313","house",1686.58503248928,"price_m2"
2023,"nuts3","SE313","house",1607.01364570234,"price_m2"
2024,"nuts3","SE313","house",1652.34610570312,"price_m2"
2013,"nuts3","SE321","all",869.431365553815,"price_m2"
2014,"nuts3","SE321","all",911.880680921437,"price_m2"
2015,"nuts3","SE321","all",968.682993452447,"price_m2"
2016,"nuts3","SE321","all",1019.78264772785,"price_m2"
2017,"nuts3","SE321","all",1077.59160004625,"price_m2"
2018,"nuts3","SE321","all",1118.89769552833,"price_m2"
2019,"nuts3","SE321","all",1112.36760242323,"price_m2"
2020,"nuts3","SE321","all",1165.48402171369,"price_m2"
2021,"nuts3","SE321","all",1247.53123201753,"price_m2"
2022,"nuts3","SE321","all",1313.47864699573,"price_m2"
2023,"nuts3","SE321","all",1284.62801091246,"price_m2"
2024,"nuts3","SE321","all",1307.18185694695,"price_m2"
2013,"nuts3","SE321","flat",1051.92183247353,"price_m2"
2014,"nuts3","SE321","flat",1100.13674872655,"price_m2"
2015,"nuts3","SE321","flat",1168.07866439145,"price_m2"
2016,"nuts3","SE321","flat",1231.44304692253,"price_m2"
2017,"nuts3","SE321","flat",1299.5275269175,"price_m2"
2018,"nuts3","SE321","flat",1349.42062034229,"price_m2"
2019,"nuts3","SE321","flat",1338.38966908127,"price_m2"
2020,"nuts3","SE321","flat",1401.83270846064,"price_m2"
2021,"nuts3","SE321","flat",1501.56172250159,"price_m2"
2022,"nuts3","SE321","flat",1580.62437694312,"price_m2"
2023,"nuts3","SE321","flat",1546.81945142378,"price_m2"
2024,"nuts3","SE321","flat",1580.20086525455,"price_m2"
2013,"nuts3","SE321","house",855.337996393123,"price_m2"
2014,"nuts3","SE321","house",894.697885831701,"price_m2"
2015,"nuts3","SE321","house",950.811893187647,"price_m2"
2016,"nuts3","SE321","house",1000.79124300894,"price_m2"
2017,"nuts3","SE321","house",1056.90242854304,"price_m2"
2018,"nuts3","SE321","house",1097.10312031455,"price_m2"
2019,"nuts3","SE321","house",1090.39440318392,"price_m2"
2020,"nuts3","SE321","house",1142.67637058196,"price_m2"
2021,"nuts3","SE321","house",1223.47397180517,"price_m2"
2022,"nuts3","SE321","house",1288.41116971665,"price_m2"
2023,"nuts3","SE321","house",1261.15129205725,"price_m2"
2024,"nuts3","SE321","house",1284.70971881818,"price_m2"
2013,"nuts3","SE322","all",1239.96531781322,"price_m2"
2014,"nuts3","SE322","all",1293.96351775444,"price_m2"
2015,"nuts3","SE322","all",1357.74265856466,"price_m2"
2016,"nuts3","SE322","all",1436.24800338573,"price_m2"
2017,"nuts3","SE322","all",1497.78420200298,"price_m2"
2018,"nuts3","SE322","all",1542.50611564657,"price_m2"
2019,"nuts3","SE322","all",1542.43638431188,"price_m2"
2020,"nuts3","SE322","all",1625.97148294561,"price_m2"
2021,"nuts3","SE322","all",1790.11748287728,"price_m2"
2022,"nuts3","SE322","all",1890.59396774278,"price_m2"
2023,"nuts3","SE322","all",1869.79053878132,"price_m2"
2024,"nuts3","SE322","all",1951.27461194095,"price_m2"
2013,"nuts3","SE322","flat",1576.02168743648,"price_m2"
2014,"nuts3","SE322","flat",1643.10762164395,"price_m2"
2015,"nuts3","SE322","flat",1716.61640094816,"price_m2"
2016,"nuts3","SE322","flat",1806.67803925112,"price_m2"
2017,"nuts3","SE322","flat",1876.5748747794,"price_m2"
2018,"nuts3","SE322","flat",1924.0365317198,"price_m2"
2019,"nuts3","SE322","flat",1905.78208085154,"price_m2"
2020,"nuts3","SE322","flat",2003.31999947546,"price_m2"
2021,"nuts3","SE322","flat",2203.24170513587,"price_m2"
2022,"nuts3","SE322","flat",2328.55820991546,"price_m2"
2023,"nuts3","SE322","flat",2293.60357555265,"price_m2"
2024,"nuts3","SE322","flat",2363.1260513488,"price_m2"
2013,"nuts3","SE322","house",1167.82164141224,"price_m2"
2014,"nuts3","SE322","house",1216.66375839393,"price_m2"
2015,"nuts3","SE322","house",1279.63212197704,"price_m2"
2016,"nuts3","SE322","house",1357.45550956947,"price_m2"
2017,"nuts3","SE322","house",1417.36936866042,"price_m2"
2018,"nuts3","SE322","house",1462.0970656491,"price_m2"
2019,"nuts3","SE322","house",1467.35727198362,"price_m2"
2020,"nuts3","SE322","house",1546.83952335996,"price_m2"
2021,"nuts3","SE322","house",1701.55671724731,"price_m2"
2022,"nuts3","SE322","house",1790.07453590404,"price_m2"
2023,"nuts3","SE322","house",1771.92807600332,"price_m2"
2024,"nuts3","SE322","house",1861.30451384697,"price_m2"
2013,"nuts3","SE331","all",1462.18016465752,"price_m2"
2014,"nuts3","SE331","all",1544.30953175897,"price_m2"
2015,"nuts3","SE331","all",1661.2688061074,"price_m2"
2016,"nuts3","SE331","all",1729.60860023467,"price_m2"
2017,"nuts3","SE331","all",1825.98422921281,"price_m2"
2018,"nuts3","SE331","all",1896.43157898665,"price_m2"
2019,"nuts3","SE331","all",1895.50195439822,"price_m2"
2020,"nuts3","SE331","all",2012.06167851656,"price_m2"
2021,"nuts3","SE331","all",2178.24435886832,"price_m2"
2022,"nuts3","SE331","all",2306.14981955717,"price_m2"
2023,"nuts3","SE331","all",2205.40282488258,"price_m2"
2024,"nuts3","SE331","all",2265.55219266966,"price_m2"
2013,"nuts3","SE331","flat",2008.1208351003,"price_m2"
2014,"nuts3","SE331","flat",2109.36847018221,"price_m2"
2015,"nuts3","SE331","flat",2258.10352922363,"price_m2"
2016,"nuts3","SE331","flat",2338.1647067383,"price_m2"
2017,"nuts3","SE331","flat",2465.21393563923,"price_m2"
2018,"nuts3","SE331","flat",2555.86547438125,"price_m2"
2019,"nuts3","SE331","flat",2544.79548334773,"price_m2"
2020,"nuts3","SE331","flat",2692.02858314999,"price_m2"
2021,"nuts3","SE331","flat",2907.35708698187,"price_m2"
2022,"nuts3","SE331","flat",3062.18752247779,"price_m2"
2023,"nuts3","SE331","flat",2906.49135578388,"price_m2"
2024,"nuts3","SE331","flat",2966.69009332624,"price_m2"
2013,"nuts3","SE331","house",1190.59148990188,"price_m2"
2014,"nuts3","SE331","house",1256.49043663257,"price_m2"
2015,"nuts3","SE331","house",1352.04148303478,"price_m2"
2016,"nuts3","SE331","house",1409.94887828567,"price_m2"
2017,"nuts3","SE331","house",1487.96862585415,"price_m2"
2018,"nuts3","SE331","house",1547.08095953812,"price_m2"
2019,"nuts3","SE331","house",1548.94013004147,"price_m2"
2020,"nuts3","SE331","house",1647.41064115687,"price_m2"
2021,"nuts3","SE331","house",1786.27550535005,"price_m2"
2022,"nuts3","SE331","house",1894.3246611781,"price_m2"
2023,"nuts3","SE331","house",1816.9115474126,"price_m2"
2024,"nuts3","SE331","house",1868.43937160957,"price_m2"
2013,"nuts3","SE332","all",1172.26646143783,"price_m2"
2014,"nuts3","SE332","all",1252.69987273605,"price_m2"
2015,"nuts3","SE332","all",1324.5640847994,"price_m2"
2016,"nuts3","SE332","all",1328.17665505189,"price_m2"
2017,"nuts3","SE332","all",1385.36714531623,"price_m2"
2018,"nuts3","SE332","all",1412.04835590755,"price_m2"
2019,"nuts3","SE332","all",1422.25154663264,"price_m2"
2020,"nuts3","SE332","all",1469.52365320765,"price_m2"
2021,"nuts3","SE332","all",1562.86015061729,"price_m2"
2022,"nuts3","SE332","all",1632.98763178217,"price_m2"
2023,"nuts3","SE332","all",1631.91474864337,"price_m2"
2024,"nuts3","SE332","all",1715.43781519046,"price_m2"
2013,"nuts3","SE332","flat",1427.6702198854,"price_m2"
2014,"nuts3","SE332","flat",1537.20436324982,"price_m2"
2015,"nuts3","SE332","flat",1619.41345866935,"price_m2"
2016,"nuts3","SE332","flat",1618.71097713809,"price_m2"
2017,"nuts3","SE332","flat",1684.35793254909,"price_m2"
2018,"nuts3","SE332","flat",1703.65682853995,"price_m2"
2019,"nuts3","SE332","flat",1701.49334269989,"price_m2"
2020,"nuts3","SE332","flat",1759.19328698921,"price_m2"
2021,"nuts3","SE332","flat",1873.82756735592,"price_m2"
2022,"nuts3","SE332","flat",1959.78165199478,"price_m2"
2023,"nuts3","SE332","flat",1961.42845307935,"price_m2"
2024,"nuts3","SE332","flat",2045.26022464575,"price_m2"
2013,"nuts3","SE332","house",1054.22127371167,"price_m2"
2014,"nuts3","SE332","house",1117.33337589682,"price_m2"
2015,"nuts3","SE332","house",1185.657591786,"price_m2"
2016,"nuts3","SE332","house",1191.67740430218,"price_m2"
2017,"nuts3","SE332","house",1244.86768959645,"price_m2"
2018,"nuts3","SE332","house",1271.08144342189,"price_m2"
2019,"nuts3","SE332","house",1288.740546357,"price_m2"
2020,"nuts3","SE332","house",1330.80829604381,"price_m2"
2021,"nuts3","SE332","house",1412.47145346005,"price_m2"
2022,"nuts3","SE332","house",1474.62154954381,"price_m2"
2023,"nuts3","SE332","house",1469.88266437375,"price_m2"
2024,"nuts3","SE332","house",1554.66267193819,"price_m2"
2013,"nuts3","SE121","all",2453.46103684541,"price_m2"
2014,"nuts3","SE121","all",2570.36093043282,"price_m2"
2015,"nuts3","SE121","all",2702.07311808592,"price_m2"
2016,"nuts3","SE121","all",2791.52342318697,"price_m2"
2017,"nuts3","SE121","all",2882.86964807788,"price_m2"
2018,"nuts3","SE121","all",2912.1575580262,"price_m2"
2019,"nuts3","SE121","all",2869.94393787933,"price_m2"
2020,"nuts3","SE121","all",2970.55029180725,"price_m2"
2021,"nuts3","SE121","all",3152.19772081833,"price_m2"
2022,"nuts3","SE121","all",3232.37192443135,"price_m2"
2023,"nuts3","SE121","all",3089.93676196308,"price_m2"
2024,"nuts3","SE121","all",3084.35739947425,"price_m2"
2013,"nuts3","SE121","flat",2757.73766575007,"price_m2"
2014,"nuts3","SE121","flat",2901.52840621739,"price_m2"
2015,"nuts3","SE121","flat",3038.99285438864,"price_m2"
2016,"nuts3","SE121","flat",3130.15212032857,"price_m2"
2017,"nuts3","SE121","flat",3228.57030448059,"price_m2"
2018,"nuts3","SE121","flat",3256.32946213786,"price_m2"
2019,"nuts3","SE121","flat",3192.82721185336,"price_m2"
2020,"nuts3","SE121","flat",3302.12412902722,"price_m2"
2021,"nuts3","SE121","flat",3497.91129545097,"price_m2"
2022,"nuts3","SE121","flat",3577.56837341172,"price_m2"
2023,"nuts3","SE121","flat",3414.71984282143,"price_m2"
2024,"nuts3","SE121","flat",3400.10710351612,"price_m2"
2013,"nuts3","SE121","house",2146.56245324754,"price_m2"
2014,"nuts3","SE121","house",2240.18369835794,"price_m2"
2015,"nuts3","SE121","house",2359.38491995325,"price_m2"
2016,"nuts3","SE121","house",2440.72064567939,"price_m2"
2017,"nuts3","SE121","house",2521.74675348951,"price_m2"
2018,"nuts3","SE121","house",2545.70572024401,"price_m2"
2019,"nuts3","SE121","house",2518.51054658014,"price_m2"
2020,"nuts3","SE121","house",2607.46404303705,"price_m2"
2021,"nuts3","SE121","house",2769.89291677004,"price_m2"
2022,"nuts3","SE121","house",2842.85989706431,"price_m2"
2023,"nuts3","SE121","house",2718.45824579903,"price_m2"
2024,"nuts3","SE121","house",2717.82828794008,"price_m2"
2013,"nuts3","SE122","all",1612.58963836129,"price_m2"
2014,"nuts3","SE122","all",1693.19932052227,"price_m2"
2015,"nuts3","SE122","all",1802.90933965606,"price_m2"
2016,"nuts3","SE122","all",1931.00783809228,"price_m2"
2017,"nuts3","SE122","all",2046.5478897446,"price_m2"
2018,"nuts3","SE122","all",2106.08595637033,"price_m2"
2019,"nuts3","SE122","all",2090.68727656452,"price_m2"
2020,"nuts3","SE122","all",2156.90600411732,"price_m2"
2021,"nuts3","SE122","all",2310.66915499639,"price_m2"
2022,"nuts3","SE122","all",2378.48657858014,"price_m2"
2023,"nuts3","SE122","all",2245.91196842194,"price_m2"
2024,"nuts3","SE122","all",2251.91268960838,"price_m2"
2013,"nuts3","SE122","flat",1570.88458895897,"price_m2"
2014,"nuts3","SE122","flat",1655.77791178998,"price_m2"
2015,"nuts3","SE122","flat",1766.44206002407,"price_m2"
2016,"nuts3","SE122","flat",1892.65236183849,"price_m2"
2017,"nuts3","SE122","flat",2007.4101347659,"price_m2"
2018,"nuts3","SE122","flat",2067.97723100775,"price_m2"
2019,"nuts3","SE122","flat",2058.10659701229,"price_m2"
2020,"nuts3","SE122","flat",2119.89697837939,"price_m2"
2021,"nuts3","SE122","flat",2266.80622187375,"price_m2"
2022,"nuts3","SE122","flat",2327.79512413777,"price_m2"
2023,"nuts3","SE122","flat",2186.18695969796,"price_m2"
2024,"nuts3","SE122","flat",2190.27747888578,"price_m2"
2013,"nuts3","SE122","house",1691.29316067994,"price_m2"
2014,"nuts3","SE122","house",1771.54372068839,"price_m2"
2015,"nuts3","SE122","house",1884.16531250191,"price_m2"
2016,"nuts3","SE122","house",2016.88257103282,"price_m2"
2017,"nuts3","SE122","house",2137.919768841,"price_m2"
2018,"nuts3","SE122","house",2199.11564391331,"price_m2"
2019,"nuts3","SE122","house",2178.57039950544,"price_m2"
2020,"nuts3","SE122","house",2250.29558388857,"price_m2"
2021,"nuts3","SE122","house",2415.50542457524,"price_m2"
2022,"nuts3","SE122","house",2490.44054097013,"price_m2"
2023,"nuts3","SE122","house",2363.33134144726,"price_m2"
2024,"nuts3","SE122","house",2370.32795788636,"price_m2"
2013,"nuts3","SE123","all",2040.6216914713,"price_m2"
2014,"nuts3","SE123","all",2156.84353439135,"price_m2"
2015,"nuts3","SE123","all",2304.41429617352,"price_m2"
2016,"nuts3","SE123","all",2431.32700653023,"price_m2"
2017,"nuts3","SE123","all",2591.8030891168,"price_m2"
2018,"nuts3","SE123","all",2684.46999505433,"price_m2"
2019,"nuts3","SE123","all",2668.31977948599,"price_m2"
2020,"nuts3","SE123","all",2721.44481287808,"price_m2"
2021,"nuts3","SE123","all",2895.76186996148,"price_m2"
2022,"nuts3","SE123","all",2903.05637931532,"price_m2"
2023,"nuts3","SE123","all",2762.28091501441,"price_m2"
2024,"nuts3","SE123","all",2821.07933241415,"price_m2"
2013,"nuts3","SE123","flat",2283.17437570334,"price_m2"
2014,"nuts3","SE123","flat",2411.62342150012,"price_m2"
2015,"nuts3","SE123","flat",2572.45757186669,"price_m2"
2016,"nuts3","SE123","flat",2718.99738595712,"price_m2"
2017,"nuts3","SE123","flat",2897.3768145562,"price_m2"
2018,"nuts3","SE123","flat",3000.93517612262,"price_m2"
2019,"nuts3","SE123","flat",2972.06230579335,"price_m2"
2020,"nuts3","SE123","flat",3032.08245439275,"price_m2"
2021,"nuts3","SE123","flat",3224.70125698027,"price_m2"
2022,"nuts3","SE123","flat",3231.7264942347,"price_m2"
2023,"nuts3","SE123","flat",3068.45310105442,"price_m2"
2024,"nuts3","SE123","flat",3132.31921813357,"price_m2"
2013,"nuts3","SE123","house",1727.82441592754,"price_m2"
2014,"nuts3","SE123","house",1824.71870867752,"price_m2"
2015,"nuts3","SE123","house",1951.03970399327,"price_m2"
2016,"nuts3","SE123","house",2060.82674524114,"price_m2"
2017,"nuts3","SE123","house",2196.66280210741,"price_m2"
2018,"nuts3","SE123","house",2275.57175689937,"price_m2"
2019,"nuts3","SE123","house",2271.36713173629,"price_m2"
2020,"nuts3","SE123","house",2316.02676032939,"price_m2"
2021,"nuts3","SE123","house",2462.93748076309,"price_m2"
2022,"nuts3","SE123","house",2470.31421796792,"price_m2"
2023,"nuts3","SE123","house",2353.92526555492,"price_m2"
2024,"nuts3","SE123","house",2407.96113892069,"price_m2"
2013,"nuts3","SE211","all",1407.35331556679,"price_m2"
2014,"nuts3","SE211","all",1467.21692740037,"price_m2"
2015,"nuts3","SE211","all",1559.08685328375,"price_m2"
2016,"nuts3","SE211","all",1652.80917803938,"price_m2"
2017,"nuts3","SE211","all",1769.12402823614,"price_m2"
2018,"nuts3","SE211","all",1839.06680363296,"price_m2"
2019,"nuts3","SE211","all",1808.88231380772,"price_m2"
2020,"nuts3","SE211","all",1875.63049959056,"price_m2"
2021,"nuts3","SE211","all",1981.15895742978,"price_m2"
2022,"nuts3","SE211","all",2047.80724374473,"price_m2"
2023,"nuts3","SE211","all",1946.20906829655,"price_m2"
2024,"nuts3","SE211","all",1974.51580805279,"price_m2"
2013,"nuts3","SE211","flat",1631.54634406383,"price_m2"
2014,"nuts3","SE211","flat",1701.85470865666,"price_m2"
2015,"nuts3","SE211","flat",1804.92003676258,"price_m2"
2016,"nuts3","SE211","flat",1913.41602941668,"price_m2"
2017,"nuts3","SE211","flat",2048.23862512359,"price_m2"
2018,"nuts3","SE211","flat",2127.06072292456,"price_m2"
2019,"nuts3","SE211","flat",2088.40047104413,"price_m2"
2020,"nuts3","SE211","flat",2165.63983287368,"price_m2"
2021,"nuts3","SE211","flat",2287.64388912538,"price_m2"
2022,"nuts3","SE211","flat",2366.56263916597,"price_m2"
2023,"nuts3","SE211","flat",2246.43297068325,"price_m2"
2024,"nuts3","SE211","flat",2271.4823110276,"price_m2"
2013,"nuts3","SE211","house",1298.4684448221,"price_m2"
2014,"nuts3","SE211","house",1351.6062320691,"price_m2"
2015,"nuts3","SE211","house",1437.02308979106,"price_m2"
2016,"nuts3","SE211","house",1522.9701994889,"price_m2"
2017,"nuts3","SE211","house",1629.30230593036,"price_m2"
2018,"nuts3","SE211","house",1694.32200262312,"price_m2"
2019,"nuts3","SE211","house",1666.27294506579,"price_m2"
2020,"nuts3","SE211","house",1728.05060877282,"price_m2"
2021,"nuts3","SE211","house",1824.72890062637,"price_m2"
2022,"nuts3","SE211","house",1883.92815769092,"price_m2"
2023,"nuts3","SE211","house",1791.33980299845,"price_m2"
2024,"nuts3","SE211","house",1819.3831147911,"price_m2"
2013,"nuts3","SE212","all",1364.71274352437,"price_m2"
2014,"nuts3","SE212","all",1434.75358387973,"price_m2"
2015,"nuts3","SE212","all",1506.73074813314,"price_m2"
2016,"nuts3","SE212","all",1589.96556200971,"price_m2"
2017,"nuts3","SE212","all",1669.66698664627,"price_m2"
