"year","type","nuts","value","level","measure"
2020,"flat","0162",12574,"laucode","price"
2020,"house","0162",6759,"laucode","price"
2021,"all","0162",9702,"laucode","price"
2021,"flat","0162",14894,"laucode","price"
2021,"house","0162",8006,"laucode","price"
2022,"all","0162",10101,"laucode","price"
2022,"flat","0162",15506,"laucode","price"
2022,"house","0162",8335,"laucode","price"
2023,"all","0162",8981,"laucode","price"
2023,"flat","0162",13787,"laucode","price"
2023,"house","0162",7410,"laucode","price"
2024,"all","0162",8954,"laucode","price"
2024,"flat","0162",13745,"laucode","price"
2024,"house","0162",7388,"laucode","price"
2013,"all","0163",4180,"laucode","price"
2013,"flat","0163",5646,"laucode","price"
2013,"house","0163",3342,"laucode","price"
2014,"all","0163",4655,"laucode","price"
2014,"flat","0163",6288,"laucode","price"
2014,"house","0163",3722,"laucode","price"
2015,"all","0163",5353,"laucode","price"
2015,"flat","0163",7158,"laucode","price"
2015,"house","0163",4237,"laucode","price"
2016,"all","0163",5826,"laucode","price"
2016,"flat","0163",7900,"laucode","price"
2016,"house","0163",4611,"laucode","price"
2017,"all","0163",6165,"laucode","price"
2017,"flat","0163",8359,"laucode","price"
2017,"house","0163",4842,"laucode","price"
2018,"all","0163",5850,"laucode","price"
2018,"flat","0163",7932,"laucode","price"
2018,"house","0163",4595,"laucode","price"
2019,"all","0163",5806,"laucode","price"
2019,"flat","0163",7872,"laucode","price"
2019,"house","0163",4560,"laucode","price"
2020,"all","0163",6224,"laucode","price"
2020,"flat","0163",8439,"laucode","price"
2020,"house","0163",4888,"laucode","price"
2021,"all","0163",7526,"laucode","price"
2021,"flat","0163",10139,"laucode","price"
2021,"house","0163",5791,"laucode","price"
2022,"all","0163",7835,"laucode","price"
2022,"flat","0163",10709,"laucode","price"
2022,"house","0163",6028,"laucode","price"
2023,"all","0163",7114,"laucode","price"
2023,"flat","0163",9806,"laucode","price"
2023,"house","0163",5319,"laucode","price"
2024,"all","0163",7169,"laucode","price"
2024,"flat","0163",9776,"laucode","price"
2024,"house","0163",5303,"laucode","price"
2013,"all","0180",8732,"laucode","price"
2013,"flat","0180",9568,"laucode","price"
2013,"house","0180",3921,"laucode","price"
2014,"all","0180",9724,"laucode","price"
2014,"flat","0180",10655,"laucode","price"
2014,"house","0180",4367,"laucode","price"
2015,"all","0180",11070,"laucode","price"
2015,"flat","0180",12130,"laucode","price"
2015,"house","0180",4971,"laucode","price"
2016,"all","0180",12048,"laucode","price"
2016,"flat","0180",13201,"laucode","price"
2016,"house","0180",5410,"laucode","price"
2017,"all","0180",12748,"laucode","price"
2017,"flat","0180",13968,"laucode","price"
2017,"house","0180",5725,"laucode","price"
2018,"all","0180",12096,"laucode","price"
2018,"flat","0180",13254,"laucode","price"
2018,"house","0180",5432,"laucode","price"
2019,"all","0180",12005,"laucode","price"
2019,"flat","0180",13155,"laucode","price"
2019,"house","0180",5391,"laucode","price"
2020,"all","0180",12870,"laucode","price"
2020,"flat","0180",14102,"laucode","price"
2020,"house","0180",5779,"laucode","price"
2021,"all","0180",15245,"laucode","price"
2021,"flat","0180",16704,"laucode","price"
2021,"house","0180",6846,"laucode","price"
2022,"all","0180",15871,"laucode","price"
2022,"flat","0180",17390,"laucode","price"
2022,"house","0180",7127,"laucode","price"
2023,"all","0180",14111,"laucode","price"
2023,"flat","0180",15700,"laucode","price"
2023,"house","0180",6337,"laucode","price"
2024,"all","0180",14270,"laucode","price"
2024,"flat","0180",15652,"laucode","price"
2024,"house","0180",6318,"laucode","price"
2013,"all","0181",2723,"laucode","price"
2013,"flat","0181",3369,"laucode","price"
2013,"house","0181",1954,"laucode","price"
2014,"all","0181",3033,"laucode","price"
2014,"flat","0181",3752,"laucode","price"
2014,"house","0181",2176,"laucode","price"
2015,"all","0181",3453,"laucode","price"
2015,"flat","0181",4271,"laucode","price"
2015,"house","0181",2456,"laucode","price"
2016,"all","0181",3758,"laucode","price"
2016,"flat","0181",4649,"laucode","price"
2016,"house","0181",2673,"laucode","price"
2017,"all","0181",3976,"laucode","price"
2017,"flat","0181",4919,"laucode","price"
2017,"house","0181",2828,"laucode","price"
2018,"all","0181",3819,"laucode","price"
2018,"flat","0181",4667,"laucode","price"
2018,"house","0181",2684,"laucode","price"
2019,"all","0181",3790,"laucode","price"
2019,"flat","0181",4632,"laucode","price"
2019,"house","0181",2664,"laucode","price"
2020,"all","0181",4063,"laucode","price"
2020,"flat","0181",4966,"laucode","price"
2020,"house","0181",2855,"laucode","price"
2021,"all","0181",4813,"laucode","price"
2021,"flat","0181",5882,"laucode","price"
2021,"house","0181",3382,"laucode","price"
2022,"all","0181",5011,"laucode","price"
2022,"flat","0181",6124,"laucode","price"
2022,"house","0181",3521,"laucode","price"
2023,"all","0181",4455,"laucode","price"
2023,"flat","0181",5527,"laucode","price"
2023,"house","0181",3131,"laucode","price"
2024,"all","0181",4441,"laucode","price"
2024,"flat","0181",5511,"laucode","price"
2024,"house","0181",3121,"laucode","price"
2013,"all","0182",5524,"laucode","price"
2013,"flat","0182",7343,"laucode","price"
2013,"house","0182",3894,"laucode","price"
2014,"all","0182",6151,"laucode","price"
2014,"flat","0182",8291,"laucode","price"
2014,"house","0182",4336,"laucode","price"
2015,"all","0182",7003,"laucode","price"
2015,"flat","0182",9438,"laucode","price"
2015,"house","0182",4937,"laucode","price"
2016,"all","0182",7702,"laucode","price"
2016,"flat","0182",10272,"laucode","price"
2016,"house","0182",5373,"laucode","price"
2017,"all","0182",8149,"laucode","price"
2017,"flat","0182",10869,"laucode","price"
2017,"house","0182",5642,"laucode","price"
2018,"all","0182",7733,"laucode","price"
2018,"flat","0182",10313,"laucode","price"
2018,"house","0182",5353,"laucode","price"
2019,"all","0182",7675,"laucode","price"
2019,"flat","0182",10236,"laucode","price"
2019,"house","0182",5313,"laucode","price"
2020,"all","0182",8315,"laucode","price"
2020,"flat","0182",10973,"laucode","price"
2020,"house","0182",5696,"laucode","price"
2021,"all","0182",9849,"laucode","price"
2021,"flat","0182",12998,"laucode","price"
2021,"house","0182",6747,"laucode","price"
2022,"all","0182",10364,"laucode","price"
2022,"flat","0182",13532,"laucode","price"
2022,"house","0182",7024,"laucode","price"
2023,"all","0182",9215,"laucode","price"
2023,"flat","0182",12201,"laucode","price"
2023,"house","0182",6245,"laucode","price"
2024,"all","0182",9287,"laucode","price"
2024,"flat","0182",12164,"laucode","price"
2024,"house","0182",6179,"laucode","price"
2013,"all","0183",8022,"laucode","price"
2013,"flat","0183",8428,"laucode","price"
2013,"house","0183",3955,"laucode","price"
2014,"all","0183",8933,"laucode","price"
2014,"flat","0183",9386,"laucode","price"
2014,"house","0183",4404,"laucode","price"
2015,"all","0183",10170,"laucode","price"
2015,"flat","0183",10685,"laucode","price"
2015,"house","0183",5013,"laucode","price"
2016,"all","0183",11068,"laucode","price"
2016,"flat","0183",11629,"laucode","price"
2016,"house","0183",5456,"laucode","price"
2017,"all","0183",11711,"laucode","price"
2017,"flat","0183",12304,"laucode","price"
2017,"house","0183",5817,"laucode","price"
2018,"all","0183",11112,"laucode","price"
2018,"flat","0183",11675,"laucode","price"
2018,"house","0183",5478,"laucode","price"
2019,"all","0183",11189,"laucode","price"
2019,"flat","0183",11588,"laucode","price"
2019,"house","0183",5437,"laucode","price"
2020,"all","0183",11994,"laucode","price"
2020,"flat","0183",12610,"laucode","price"
2020,"house","0183",5828,"laucode","price"
2021,"all","0183",14208,"laucode","price"
2021,"flat","0183",14937,"laucode","price"
2021,"house","0183",6956,"laucode","price"
2022,"all","0183",14791,"laucode","price"
2022,"flat","0183",15551,"laucode","price"
2022,"house","0183",7188,"laucode","price"
2023,"all","0183",13344,"laucode","price"
2023,"flat","0183",14039,"laucode","price"
2023,"house","0183",6391,"laucode","price"
2024,"all","0183",13304,"laucode","price"
2024,"flat","0183",13997,"laucode","price"
2024,"house","0183",6371,"laucode","price"
2013,"all","0184",7722,"laucode","price"
2013,"flat","0184",7782,"laucode","price"
2013,"house","0184",4246,"laucode","price"
2014,"all","0184",8599,"laucode","price"
2014,"flat","0184",8666,"laucode","price"
2014,"house","0184",4728,"laucode","price"
2015,"all","0184",9789,"laucode","price"
2015,"flat","0184",9866,"laucode","price"
2015,"house","0184",5383,"laucode","price"
2016,"all","0184",10806,"laucode","price"
2016,"flat","0184",10893,"laucode","price"
2016,"house","0184",5817,"laucode","price"
2017,"all","0184",11434,"laucode","price"
2017,"flat","0184",11362,"laucode","price"
2017,"house","0184",6199,"laucode","price"
2018,"all","0184",10849,"laucode","price"
2018,"flat","0184",10937,"laucode","price"
2018,"house","0184",5882,"laucode","price"
2019,"all","0184",10768,"laucode","price"
2019,"flat","0184",10855,"laucode","price"
2019,"house","0184",5838,"laucode","price"
2020,"all","0184",11543,"laucode","price"
2020,"flat","0184",11636,"laucode","price"
2020,"house","0184",6214,"laucode","price"
2021,"all","0184",13871,"laucode","price"
2021,"flat","0184",13986,"laucode","price"
2021,"house","0184",7466,"laucode","price"
2022,"all","0184",14441,"laucode","price"
2022,"flat","0184",14561,"laucode","price"
2022,"house","0184",7885,"laucode","price"
2023,"all","0184",12840,"laucode","price"
2023,"flat","0184",12946,"laucode","price"
2023,"house","0184",7114,"laucode","price"
2024,"all","0184",12801,"laucode","price"
2024,"flat","0184",12907,"laucode","price"
2024,"house","0184",7092,"laucode","price"
2013,"all","0186",6637,"laucode","price"
2013,"flat","0186",8875,"laucode","price"
2013,"house","0186",4744,"laucode","price"
2014,"all","0186",7391,"laucode","price"
2014,"flat","0186",9883,"laucode","price"
2014,"house","0186",5283,"laucode","price"
2015,"all","0186",8499,"laucode","price"
2015,"flat","0186",11251,"laucode","price"
2015,"house","0186",6014,"laucode","price"
2016,"all","0186",9250,"laucode","price"
2016,"flat","0186",12245,"laucode","price"
2016,"house","0186",6590,"laucode","price"
2017,"all","0186",9787,"laucode","price"
2017,"flat","0186",12956,"laucode","price"
2017,"house","0186",6973,"laucode","price"
2018,"all","0186",9381,"laucode","price"
2018,"flat","0186",12294,"laucode","price"
2018,"house","0186",6616,"laucode","price"
2019,"all","0186",9311,"laucode","price"
2019,"flat","0186",12371,"laucode","price"
2019,"house","0186",6566,"laucode","price"
2020,"all","0186",9981,"laucode","price"
2020,"flat","0186",13262,"laucode","price"
2020,"house","0186",7039,"laucode","price"
2021,"all","0186",11823,"laucode","price"
2021,"flat","0186",15709,"laucode","price"
2021,"house","0186",8338,"laucode","price"
2022,"all","0186",12309,"laucode","price"
2022,"flat","0186",16131,"laucode","price"
2022,"house","0186",8681,"laucode","price"
2023,"all","0186",10944,"laucode","price"
2023,"flat","0186",14541,"laucode","price"
2023,"house","0186",7666,"laucode","price"
2024,"all","0186",11024,"laucode","price"
2024,"flat","0186",14497,"laucode","price"
2024,"house","0186",7643,"laucode","price"
2013,"all","0187",4223,"laucode","price"
2013,"flat","0187",6045,"laucode","price"
2013,"house","0187",3671,"laucode","price"
2014,"all","0187",4703,"laucode","price"
2014,"flat","0187",6732,"laucode","price"
2014,"house","0187",4088,"laucode","price"
2015,"all","0187",5354,"laucode","price"
2015,"flat","0187",7664,"laucode","price"
2015,"house","0187",4654,"laucode","price"
2016,"all","0187",5883,"laucode","price"
2016,"flat","0187",8340,"laucode","price"
2016,"house","0187",5065,"laucode","price"
2017,"all","0187",6165,"laucode","price"
2017,"flat","0187",8701,"laucode","price"
2017,"house","0187",5359,"laucode","price"
2018,"all","0187",5965,"laucode","price"
2018,"flat","0187",8256,"laucode","price"
2018,"house","0187",5085,"laucode","price"
2019,"all","0187",5920,"laucode","price"
2019,"flat","0187",8194,"laucode","price"
2019,"house","0187",5047,"laucode","price"
2020,"all","0187",6346,"laucode","price"
2020,"flat","0187",8784,"laucode","price"
2020,"house","0187",5410,"laucode","price"
2021,"all","0187",7592,"laucode","price"
2021,"flat","0187",10405,"laucode","price"
2021,"house","0187",6409,"laucode","price"
2022,"all","0187",7903,"laucode","price"
2022,"flat","0187",10832,"laucode","price"
2022,"house","0187",6672,"laucode","price"
2023,"all","0187",7027,"laucode","price"
2023,"flat","0187",9631,"laucode","price"
2023,"house","0187",5932,"laucode","price"
2024,"all","0187",7006,"laucode","price"
2024,"flat","0187",9602,"laucode","price"
2024,"house","0187",5914,"laucode","price"
2013,"all","0188",2229,"laucode","price"
2013,"flat","0188",3237,"laucode","price"
2013,"house","0188",1760,"laucode","price"
2014,"all","0188",2510,"laucode","price"
2014,"flat","0188",3605,"laucode","price"
2014,"house","0188",1960,"laucode","price"
2015,"all","0188",2857,"laucode","price"
2015,"flat","0188",4104,"laucode","price"
2015,"house","0188",2253,"laucode","price"
2016,"all","0188",3110,"laucode","price"
2016,"flat","0188",4466,"laucode","price"
2016,"house","0188",2452,"laucode","price"
2017,"all","0188",3290,"laucode","price"
2017,"flat","0188",4726,"laucode","price"
2017,"house","0188",2594,"laucode","price"
2018,"all","0188",3122,"laucode","price"
2018,"flat","0188",4484,"laucode","price"
2018,"house","0188",2462,"laucode","price"
2019,"all","0188",3133,"laucode","price"
2019,"flat","0188",4450,"laucode","price"
2019,"house","0188",2443,"laucode","price"
2020,"all","0188",3359,"laucode","price"
2020,"flat","0188",4771,"laucode","price"
2020,"house","0188",2619,"laucode","price"
2021,"all","0188",3978,"laucode","price"
2021,"flat","0188",5737,"laucode","price"
2021,"house","0188",3102,"laucode","price"
2022,"all","0188",4142,"laucode","price"
2022,"flat","0188",5973,"laucode","price"
2022,"house","0188",3230,"laucode","price"
2023,"all","0188",3683,"laucode","price"
2023,"flat","0188",5310,"laucode","price"
2023,"house","0188",2872,"laucode","price"
2024,"all","0188",3671,"laucode","price"
2024,"flat","0188",5294,"laucode","price"
2024,"house","0188",2863,"laucode","price"
2013,"all","0191",3245,"laucode","price"
2013,"flat","0191",4123,"laucode","price"
2013,"house","0191",2328,"laucode","price"
2014,"all","0191",3613,"laucode","price"
2014,"flat","0191",4591,"laucode","price"
2014,"house","0191",2592,"laucode","price"
2015,"all","0191",4113,"laucode","price"
2015,"flat","0191",5301,"laucode","price"
2015,"house","0191",2951,"laucode","price"
2016,"all","0191",4527,"laucode","price"
2016,"flat","0191",5769,"laucode","price"
2016,"house","0191",3212,"laucode","price"
2017,"all","0191",4790,"laucode","price"
2017,"flat","0191",6193,"laucode","price"
2017,"house","0191",3398,"laucode","price"
2018,"all","0191",4545,"laucode","price"
2018,"flat","0191",5876,"laucode","price"
