nuts,year,type.of.building,value,level
SE124,2016,all,91.6765529254396,nuts3
SE124,2016,flat,67.2277554885654,nuts3
SE124,2016,house,117.717479114036,nuts3
SE124,2016,other,71.5708513931547,nuts3
SE125,2016,all,91.1930458665132,nuts3
SE125,2016,flat,67.9284216330393,nuts3
SE125,2016,house,121.458630452734,nuts3
SE125,2016,other,81.7697709285621,nuts3
SE312,2016,all,93.8549903434867,nuts3
SE312,2016,flat,63.8388238717622,nuts3
SE312,2016,house,114.035969281917,nuts3
SE312,2016,other,71.9262191903196,nuts3
SE313,2016,all,91.5231452403415,nuts3
SE313,2016,flat,64.4255771469745,nuts3
SE313,2016,house,114.097743256061,nuts3
SE313,2016,other,76.3090192872498,nuts3
SE321,2016,all,94.6044249155606,nuts3
SE321,2016,flat,67.0239734430132,nuts3
SE321,2016,house,118.641482581245,nuts3
SE321,2016,other,74.571652923995,nuts3
SE322,2016,all,92.4363590781269,nuts3
SE322,2016,flat,65.9550835342312,nuts3
SE322,2016,house,113.139655847057,nuts3
SE322,2016,other,67.2617050156424,nuts3
SE331,2016,all,93.9121146200052,nuts3
SE331,2016,flat,66.7978101302837,nuts3
SE331,2016,house,120.214169109115,nuts3
SE331,2016,other,70.1126919911663,nuts3
SE332,2016,all,91.3880151219604,nuts3
SE332,2016,flat,65.2020585643697,nuts3
SE332,2016,house,114.398490964962,nuts3
SE332,2016,other,71.334725265386,nuts3
SE121,2016,all,93.6334119754363,nuts3
SE121,2016,flat,68.710255704568,nuts3
SE121,2016,house,121.798597173642,nuts3
SE121,2016,other,75.7060109410753,nuts3
SE122,2016,all,90.8812772112632,nuts3
SE122,2016,flat,68.0012716029072,nuts3
SE122,2016,house,117.657444026499,nuts3
SE122,2016,other,75.4295254020482,nuts3
SE123,2016,all,91.7787839843922,nuts3
SE123,2016,flat,68.4880315135554,nuts3
SE123,2016,house,120.544382044039,nuts3
SE123,2016,other,76.7719017535573,nuts3
SE211,2016,all,100.469981355475,nuts3
SE211,2016,flat,68.2552576107333,nuts3
SE211,2016,house,126.071447496573,nuts3
