"year","level","code","type.of.building","value","measure"
2018,"laucode","1083","house",1532,"offer_pricem2"
2018,"laucode","1214","all",1528,"offer_pricem2"
2018,"laucode","1214","flat",1043,"offer_pricem2"
2018,"laucode","1214","house",1531,"offer_pricem2"
2018,"laucode","1230","all",2148,"offer_pricem2"
2018,"laucode","1230","flat",2074,"offer_pricem2"
2018,"laucode","1230","house",2294,"offer_pricem2"
2018,"laucode","1231","all",2359,"offer_pricem2"
2018,"laucode","1231","flat",1931,"offer_pricem2"
2018,"laucode","1231","house",2427,"offer_pricem2"
2018,"laucode","1233","all",4195,"offer_pricem2"
2018,"laucode","1233","flat",3893,"offer_pricem2"
2018,"laucode","1233","house",4260,"offer_pricem2"
2018,"laucode","1256","all",768,"offer_pricem2"
2018,"laucode","1256","house",768,"offer_pricem2"
2018,"laucode","1257","all",1206,"offer_pricem2"
2018,"laucode","1257","flat",444,"offer_pricem2"
2018,"laucode","1257","house",1230,"offer_pricem2"
2018,"laucode","1260","all",1390,"offer_pricem2"
2018,"laucode","1260","flat",727,"offer_pricem2"
2018,"laucode","1260","house",1446,"offer_pricem2"
2018,"laucode","1261","all",2582,"offer_pricem2"
2018,"laucode","1261","flat",2376,"offer_pricem2"
2018,"laucode","1261","house",2660,"offer_pricem2"
2018,"laucode","1262","all",3888,"offer_pricem2"
2018,"laucode","1262","flat",3575,"offer_pricem2"
2018,"laucode","1262","house",3990,"offer_pricem2"
2018,"laucode","1263","all",2375,"offer_pricem2"
2018,"laucode","1263","flat",2226,"offer_pricem2"
2018,"laucode","1263","house",2492,"offer_pricem2"
2018,"laucode","1264","all",1802,"offer_pricem2"
2018,"laucode","1264","house",1802,"offer_pricem2"
2018,"laucode","1265","all",1740,"offer_pricem2"
2018,"laucode","1265","flat",774,"offer_pricem2"
2018,"laucode","1265","house",1749,"offer_pricem2"
2018,"laucode","1266","all",1363,"offer_pricem2"
2018,"laucode","1266","flat",1036,"offer_pricem2"
2018,"laucode","1266","house",1368,"offer_pricem2"
2018,"laucode","1267","all",1518,"offer_pricem2"
2018,"laucode","1267","flat",1060,"offer_pricem2"
2018,"laucode","1267","house",1522,"offer_pricem2"
2018,"laucode","1270","all",1462,"offer_pricem2"
2018,"laucode","1270","flat",645,"offer_pricem2"
2018,"laucode","1270","house",1490,"offer_pricem2"
2018,"laucode","1272","all",1037,"offer_pricem2"
2018,"laucode","1272","flat",111,"offer_pricem2"
2018,"laucode","1272","house",1041,"offer_pricem2"
2018,"laucode","1273","all",866,"offer_pricem2"
2018,"laucode","1273","flat",699,"offer_pricem2"
2018,"laucode","1273","house",869,"offer_pricem2"
2018,"laucode","1275","all",1143,"offer_pricem2"
2018,"laucode","1275","flat",443,"offer_pricem2"
2018,"laucode","1275","house",1221,"offer_pricem2"
2018,"laucode","1276","all",1073,"offer_pricem2"
2018,"laucode","1276","flat",588,"offer_pricem2"
2018,"laucode","1276","house",1104,"offer_pricem2"
2018,"laucode","1277","all",1462,"offer_pricem2"
2018,"laucode","1277","flat",1086,"offer_pricem2"
2018,"laucode","1277","house",1486,"offer_pricem2"
2018,"laucode","1278","all",3691,"offer_pricem2"
2018,"laucode","1278","flat",3952,"offer_pricem2"
2018,"laucode","1278","house",3622,"offer_pricem2"
2018,"laucode","1280","all",3004,"offer_pricem2"
2018,"laucode","1280","flat",2999,"offer_pricem2"
2018,"laucode","1280","house",3338,"offer_pricem2"
2018,"laucode","1281","all",3648,"offer_pricem2"
2018,"laucode","1281","flat",3704,"offer_pricem2"
2018,"laucode","1281","house",2654,"offer_pricem2"
2018,"laucode","1282","all",2526,"offer_pricem2"
2018,"laucode","1282","flat",2445,"offer_pricem2"
2018,"laucode","1282","house",2649,"offer_pricem2"
2018,"laucode","1283","all",2721,"offer_pricem2"
2018,"laucode","1283","flat",2648,"offer_pricem2"
2018,"laucode","1283","house",3148,"offer_pricem2"
2018,"laucode","1285","all",1808,"offer_pricem2"
2018,"laucode","1285","flat",1469,"offer_pricem2"
2018,"laucode","1285","house",1867,"offer_pricem2"
2018,"laucode","1286","all",2310,"offer_pricem2"
2018,"laucode","1286","flat",2219,"offer_pricem2"
2018,"laucode","1286","house",2350,"offer_pricem2"
2018,"laucode","1287","all",2122,"offer_pricem2"
2018,"laucode","1287","flat",1602,"offer_pricem2"
2018,"laucode","1287","house",2274,"offer_pricem2"
2018,"laucode","1290","all",1826,"offer_pricem2"
2018,"laucode","1290","flat",1685,"offer_pricem2"
2018,"laucode","1290","house",1882,"offer_pricem2"
2018,"laucode","1291","all",2172,"offer_pricem2"
2018,"laucode","1291","flat",1342,"offer_pricem2"
2018,"laucode","1291","house",2199,"offer_pricem2"
2018,"laucode","1292","all",2399,"offer_pricem2"
2018,"laucode","1292","flat",2272,"offer_pricem2"
2018,"laucode","1292","house",2423,"offer_pricem2"
2018,"laucode","1293","all",1273,"offer_pricem2"
2018,"laucode","1293","flat",919,"offer_pricem2"
2018,"laucode","1293","house",1298,"offer_pricem2"
2018,"laucode","1315","all",832,"offer_pricem2"
2018,"laucode","1315","house",832,"offer_pricem2"
2018,"laucode","1380","all",2849,"offer_pricem2"
2018,"laucode","1380","flat",2778,"offer_pricem2"
2018,"laucode","1380","house",2973,"offer_pricem2"
2018,"laucode","1381","all",2424,"offer_pricem2"
2018,"laucode","1381","flat",2682,"offer_pricem2"
2018,"laucode","1381","house",2416,"offer_pricem2"
2018,"laucode","1382","all",2203,"offer_pricem2"
2018,"laucode","1382","flat",2362,"offer_pricem2"
2018,"laucode","1382","house",2071,"offer_pricem2"
2018,"laucode","1383","all",3180,"offer_pricem2"
2018,"laucode","1383","flat",3454,"offer_pricem2"
2018,"laucode","1383","house",2893,"offer_pricem2"
2018,"laucode","1384","all",3692,"offer_pricem2"
2018,"laucode","1384","flat",4124,"offer_pricem2"
2018,"laucode","1384","house",3449,"offer_pricem2"
2018,"laucode","1401","all",3280,"offer_pricem2"
2018,"laucode","1401","flat",3825,"offer_pricem2"
2018,"laucode","1401","house",3199,"offer_pricem2"
2018,"laucode","1402","all",3800,"offer_pricem2"
2018,"laucode","1402","flat",3800,"offer_pricem2"
2018,"laucode","1402","house",3801,"offer_pricem2"
2018,"laucode","1407","all",3532,"offer_pricem2"
2018,"laucode","1407","flat",3496,"offer_pricem2"
2018,"laucode","1407","house",3539,"offer_pricem2"
2018,"laucode","1415","all",3262,"offer_pricem2"
2018,"laucode","1415","flat",3414,"offer_pricem2"
2018,"laucode","1415","house",3017,"offer_pricem2"
2018,"laucode","1419","all",4062,"offer_pricem2"
2018,"laucode","1419","flat",4232,"offer_pricem2"
2018,"laucode","1419","house",2636,"offer_pricem2"
2018,"laucode","1421","all",2697,"offer_pricem2"
2018,"laucode","1421","flat",3028,"offer_pricem2"
2018,"laucode","1421","house",2435,"offer_pricem2"
2018,"laucode","1430","all",1490,"offer_pricem2"
2018,"laucode","1430","flat",1221,"offer_pricem2"
2018,"laucode","1430","house",1492,"offer_pricem2"
2018,"laucode","1435","all",3034,"offer_pricem2"
2018,"laucode","1435","flat",5057,"offer_pricem2"
2018,"laucode","1435","house",2691,"offer_pricem2"
2018,"laucode","1438","all",904,"offer_pricem2"
2018,"laucode","1438","flat",1265,"offer_pricem2"
2018,"laucode","1438","house",894,"offer_pricem2"
2018,"laucode","1439","all",1064,"offer_pricem2"
2018,"laucode","1439","house",1064,"offer_pricem2"
2018,"laucode","1440","all",2693,"offer_pricem2"
2018,"laucode","1440","flat",2681,"offer_pricem2"
