"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","laucode","type"
"jõgeva vald","Torma rural municipality",2004,"dwelling",958,"EE008","EE008",247,"all"
"jõgeva vald","Torma rural municipality",2005,"dwelling",966,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva city",2006,"dwelling",2975,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva city",2007,"dwelling",2976,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva rural municipality",2006,"dwelling",2323,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva rural municipality",2007,"dwelling",2324,"EE008","EE008",247,"all"
"jõgeva vald","Palamuse rural municipality",2006,"dwelling",918,"EE008","EE008",247,"all"
"jõgeva vald","Palamuse rural municipality",2007,"dwelling",918,"EE008","EE008",247,"all"
"jõgeva vald","Torma rural municipality",2006,"dwelling",982,"EE008","EE008",247,"all"
"jõgeva vald","Torma rural municipality",2007,"dwelling",977,"EE008","EE008",247,"all"
"jõhvi vald","Jõhvi city*",2003,"dwelling",6064,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi city*",2004,"dwelling",6061,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi city*",2005,"dwelling",6060,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi rural municipality*",2003,"dwelling",779,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi rural municipality*",2004,"dwelling",788,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi rural municipality*",2005,"dwelling",808,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi city*",2006,"dwelling",NA,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi city*",2007,"dwelling",NA,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi rural municipality*",2006,"dwelling",7605,"EE00A","EE007",251,"all"
"jõhvi vald","Jõhvi rural municipality*",2007,"dwelling",7655,"EE00A","EE007",251,"all"
"järva vald","Albu rural municipality",2003,"dwelling",668,"EE009","EE006",255,"all"
"järva vald","Albu rural municipality",2004,"dwelling",670,"EE009","EE006",255,"all"
"järva vald","Albu rural municipality",2005,"dwelling",679,"EE009","EE006",255,"all"
"järva vald","Ambla rural municipality",2003,"dwelling",1183,"EE009","EE006",255,"all"
"järva vald","Ambla rural municipality",2004,"dwelling",1197,"EE009","EE006",255,"all"
"järva vald","Ambla rural municipality",2005,"dwelling",1213,"EE009","EE006",255,"all"
"järva vald","Imavere rural municipality",2003,"dwelling",415,"EE009","EE006",255,"all"
"järva vald","Imavere rural municipality",2004,"dwelling",412,"EE009","EE006",255,"all"
"järva vald","Imavere rural municipality",2005,"dwelling",423,"EE009","EE006",255,"all"
"järva vald","Järva-Jaani rural municipality",2003,"dwelling",931,"EE009","EE006",255,"all"
"järva vald","Järva-Jaani rural municipality",2004,"dwelling",942,"EE009","EE006",255,"all"
"järva vald","Järva-Jaani rural municipality",2005,"dwelling",963,"EE009","EE006",255,"all"
"järva vald","Kareda rural municipality",2003,"dwelling",458,"EE009","EE006",255,"all"
"järva vald","Kareda rural municipality",2004,"dwelling",473,"EE009","EE006",255,"all"
"järva vald","Kareda rural municipality",2005,"dwelling",479,"EE009","EE006",255,"all"
"järva vald","Koeru rural municipality",2003,"dwelling",1179,"EE009","EE006",255,"all"
"järva vald","Koeru rural municipality",2004,"dwelling",1205,"EE009","EE006",255,"all"
"järva vald","Koeru rural municipality",2005,"dwelling",1252,"EE009","EE006",255,"all"
"järva vald","Koigi rural municipality",2003,"dwelling",577,"EE009","EE006",255,"all"
"järva vald","Koigi rural municipality",2004,"dwelling",591,"EE009","EE006",255,"all"
"järva vald","Koigi rural municipality",2005,"dwelling",600,"EE009","EE006",255,"all"
"järva vald","Albu rural municipality",2006,"dwelling",695,"EE009","EE006",255,"all"
"järva vald","Albu rural municipality",2007,"dwelling",695,"EE009","EE006",255,"all"
"järva vald","Ambla rural municipality",2006,"dwelling",1212,"EE009","EE006",255,"all"
"järva vald","Ambla rural municipality",2007,"dwelling",1212,"EE009","EE006",255,"all"
"järva vald","Imavere rural municipality",2006,"dwelling",427,"EE009","EE006",255,"all"
"järva vald","Imavere rural municipality",2007,"dwelling",428,"EE009","EE006",255,"all"
"järva vald","Järva-Jaani rural municipality",2006,"dwelling",966,"EE009","EE006",255,"all"
"järva vald","Järva-Jaani rural municipality",2007,"dwelling",967,"EE009","EE006",255,"all"
"järva vald","Kareda rural municipality",2006,"dwelling",486,"EE009","EE006",255,"all"
"järva vald","Kareda rural municipality",2007,"dwelling",486,"EE009","EE006",255,"all"
"järva vald","Koeru rural municipality",2006,"dwelling",1255,"EE009","EE006",255,"all"
"järva vald","Koeru rural municipality",2007,"dwelling",1248,"EE009","EE006",255,"all"
"järva vald","Koigi rural municipality",2006,"dwelling",619,"EE009","EE006",255,"all"
"järva vald","Koigi rural municipality",2007,"dwelling",619,"EE009","EE006",255,"all"
"kadrina vald","Kadrina rural municipality*",2003,"dwelling",2529,"EE009","EE006",272,"all"
"kadrina vald","Kadrina rural municipality*",2004,"dwelling",2524,"EE009","EE006",272,"all"
"kadrina vald","Kadrina rural municipality*",2005,"dwelling",2537,"EE009","EE006",272,"all"
"kadrina vald","Kadrina rural municipality*",2006,"dwelling",2556,"EE009","EE006",272,"all"
"kadrina vald","Kadrina rural municipality*",2007,"dwelling",2556,"EE009","EE006",272,"all"
"kambja vald","Kambja rural municipality",2003,"dwelling",948,"EE008","EE008",283,"all"
