"laucode","year","NUTS 3 CODE 2021","NUTS 3 CODE 2016","indicator","value"
214,2021,"EE004","EE004","totalm2_<60sqm",458
214,2000,"EE004","EE004","totalm2_<60sqm",692
214,2011,"EE004","EE004","totalm2_<60sqm",562
214,2021,"EE004","EE004","totalm2_<60sqm",596
214,2000,"EE004","EE004","totalm2_61_100sqm",708
214,2011,"EE004","EE004","totalm2_61_100sqm",592
214,2021,"EE004","EE004","totalm2_61_100sqm",678
214,2000,"EE004","EE004","totalm2_61_100sqm",538
214,2011,"EE004","EE004","totalm2_61_100sqm",538
214,2021,"EE004","EE004","totalm2_61_100sqm",546
214,2000,"EE004","EE004","totalm2_61_100sqm",718
214,2011,"EE004","EE004","totalm2_61_100sqm",576
214,2021,"EE004","EE004","totalm2_61_100sqm",820
214,2000,"EE004","EE004","totalm2_101_150sqm",400
214,2011,"EE004","EE004","totalm2_101_150sqm",588
214,2021,"EE004","EE004","totalm2_101_150sqm",662
214,2000,"EE004","EE004","totalm2_101_150sqm",268
214,2011,"EE004","EE004","totalm2_101_150sqm",454
214,2021,"EE004","EE004","totalm2_101_150sqm",588
214,2000,"EE004","EE004","totalm2_>150sqm",190
214,2011,"EE004","EE004","totalm2_>150sqm",692
214,2021,"EE004","EE004","totalm2_>150sqm",582
214,2000,"EE004","EE004","totalm2_data_missing",66
214,2011,"EE004","EE004","totalm2_data_missing",18
214,2021,"EE004","EE004","totalm2_data_missing",52
255,2000,"EE009","EE006","totalm2_<60sqm",364
255,2011,"EE009","EE006","totalm2_<60sqm",214
255,2021,"EE009","EE006","totalm2_<60sqm",232
255,2000,"EE009","EE006","totalm2_<60sqm",734
255,2011,"EE009","EE006","totalm2_<60sqm",582
255,2021,"EE009","EE006","totalm2_<60sqm",638
255,2000,"EE009","EE006","totalm2_<60sqm",1526
255,2011,"EE009","EE006","totalm2_<60sqm",1222
255,2021,"EE009","EE006","totalm2_<60sqm",1442
255,2000,"EE009","EE006","totalm2_<60sqm",1306
255,2011,"EE009","EE006","totalm2_<60sqm",1156
255,2021,"EE009","EE006","totalm2_<60sqm",1196
255,2000,"EE009","EE006","totalm2_61_100sqm",2178
255,2011,"EE009","EE006","totalm2_61_100sqm",1918
255,2021,"EE009","EE006","totalm2_61_100sqm",2080
255,2000,"EE009","EE006","totalm2_61_100sqm",1570
255,2011,"EE009","EE006","totalm2_61_100sqm",1382
255,2021,"EE009","EE006","totalm2_61_100sqm",1626
255,2000,"EE009","EE006","totalm2_61_100sqm",1734
255,2011,"EE009","EE006","totalm2_61_100sqm",1588
255,2021,"EE009","EE006","totalm2_61_100sqm",1972
255,2000,"EE009","EE006","totalm2_101_150sqm",814
255,2011,"EE009","EE006","totalm2_101_150sqm",1004
255,2021,"EE009","EE006","totalm2_101_150sqm",1014
255,2000,"EE009","EE006","totalm2_101_150sqm",480
255,2011,"EE009","EE006","totalm2_101_150sqm",622
255,2021,"EE009","EE006","totalm2_101_150sqm",654
255,2000,"EE009","EE006","totalm2_>150sqm",246
255,2011,"EE009","EE006","totalm2_>150sqm",722
255,2021,"EE009","EE006","totalm2_>150sqm",538
255,2000,"EE009","EE006","totalm2_data_missing",522
255,2011,"EE009","EE006","totalm2_data_missing",66
255,2021,"EE009","EE006","totalm2_data_missing",124
245,2000,"EE001","EE001","totalm2_<60sqm",122
245,2011,"EE001","EE001","totalm2_<60sqm",80
245,2021,"EE001","EE001","totalm2_<60sqm",190
245,2000,"EE001","EE001","totalm2_<60sqm",576
245,2011,"EE001","EE001","totalm2_<60sqm",544
245,2021,"EE001","EE001","totalm2_<60sqm",696
245,2000,"EE001","EE001","totalm2_<60sqm",970
245,2011,"EE001","EE001","totalm2_<60sqm",862
245,2021,"EE001","EE001","totalm2_<60sqm",1326
245,2000,"EE001","EE001","totalm2_<60sqm",634
245,2011,"EE001","EE001","totalm2_<60sqm",644
245,2021,"EE001","EE001","totalm2_<60sqm",832
245,2000,"EE001","EE001","totalm2_61_100sqm",602
245,2011,"EE001","EE001","totalm2_61_100sqm",568
245,2021,"EE001","EE001","totalm2_61_100sqm",710
245,2000,"EE001","EE001","totalm2_61_100sqm",304
245,2011,"EE001","EE001","totalm2_61_100sqm",328
245,2021,"EE001","EE001","totalm2_61_100sqm",610
245,2000,"EE001","EE001","totalm2_61_100sqm",432
245,2011,"EE001","EE001","totalm2_61_100sqm",484
245,2021,"EE001","EE001","totalm2_61_100sqm",686
245,2000,"EE001","EE001","totalm2_101_150sqm",220
245,2011,"EE001","EE001","totalm2_101_150sqm",506
245,2021,"EE001","EE001","totalm2_101_150sqm",572
245,2000,"EE001","EE001","totalm2_101_150sqm",148
245,2011,"EE001","EE001","totalm2_101_150sqm",590
245,2021,"EE001","EE001","totalm2_101_150sqm",816
245,2000,"EE001","EE001","totalm2_>150sqm",224
245,2011,"EE001","EE001","totalm2_>150sqm",1218
245,2021,"EE001","EE001","totalm2_>150sqm",1196
245,2000,"EE001","EE001","totalm2_data_missing",250
245,2011,"EE001","EE001","totalm2_data_missing",56
245,2021,"EE001","EE001","totalm2_data_missing",70
247,2000,"EE008","EE008","totalm2_<60sqm",674
247,2011,"EE008","EE008","totalm2_<60sqm",456
247,2021,"EE008","EE008","totalm2_<60sqm",456
247,2000,"EE008","EE008","totalm2_<60sqm",1388
247,2011,"EE008","EE008","totalm2_<60sqm",1120
247,2021,"EE008","EE008","totalm2_<60sqm",1316
247,2000,"EE008","EE008","totalm2_<60sqm",3316
247,2011,"EE008","EE008","totalm2_<60sqm",2992
247,2021,"EE008","EE008","totalm2_<60sqm",3306
247,2000,"EE008","EE008","totalm2_<60sqm",2098
247,2011,"EE008","EE008","totalm2_<60sqm",1814
247,2021,"EE008","EE008","totalm2_<60sqm",1772
247,2000,"EE008","EE008","totalm2_61_100sqm",2658
247,2011,"EE008","EE008","totalm2_61_100sqm",2456
247,2021,"EE008","EE008","totalm2_61_100sqm",2574
247,2000,"EE008","EE008","totalm2_61_100sqm",1540
247,2011,"EE008","EE008","totalm2_61_100sqm",1420
247,2021,"EE008","EE008","totalm2_61_100sqm",1564
247,2000,"EE008","EE008","totalm2_61_100sqm",1712
247,2011,"EE008","EE008","totalm2_61_100sqm",1550
247,2021,"EE008","EE008","totalm2_61_100sqm",1808
247,2000,"EE008","EE008","totalm2_101_150sqm",920
247,2011,"EE008","EE008","totalm2_101_150sqm",1162
247,2021,"EE008","EE008","totalm2_101_150sqm",1074
247,2000,"EE008","EE008","totalm2_101_150sqm",478
247,2011,"EE008","EE008","totalm2_101_150sqm",720
247,2021,"EE008","EE008","totalm2_101_150sqm",798
247,2000,"EE008","EE008","totalm2_>150sqm",312
247,2011,"EE008","EE008","totalm2_>150sqm",992
247,2021,"EE008","EE008","totalm2_>150sqm",902
247,2000,"EE008","EE008","totalm2_data_missing",752
247,2011,"EE008","EE008","totalm2_data_missing",202
247,2021,"EE008","EE008","totalm2_data_missing",74
251,2000,"EE00A","EE007","totalm2_<60sqm",1082
251,2011,"EE00A","EE007","totalm2_<60sqm",1000
251,2021,"EE00A","EE007","totalm2_<60sqm",1146
251,2000,"EE00A","EE007","totalm2_<60sqm",2414
251,2011,"EE00A","EE007","totalm2_<60sqm",2444
251,2021,"EE00A","EE007","totalm2_<60sqm",2644
251,2000,"EE00A","EE007","totalm2_<60sqm",3804
251,2011,"EE00A","EE007","totalm2_<60sqm",3638
251,2021,"EE00A","EE007","totalm2_<60sqm",3660
251,2000,"EE00A","EE007","totalm2_<60sqm",2156
251,2011,"EE00A","EE007","totalm2_<60sqm",1942
251,2021,"EE00A","EE007","totalm2_<60sqm",2062
251,2000,"EE00A","EE007","totalm2_61_100sqm",1544
251,2011,"EE00A","EE007","totalm2_61_100sqm",1480
251,2021,"EE00A","EE007","totalm2_61_100sqm",1404
251,2000,"EE00A","EE007","totalm2_61_100sqm",866
251,2011,"EE00A","EE007","totalm2_61_100sqm",840
251,2021,"EE00A","EE007","totalm2_61_100sqm",952
251,2000,"EE00A","EE007","totalm2_61_100sqm",790
251,2011,"EE00A","EE007","totalm2_61_100sqm",690
251,2021,"EE00A","EE007","totalm2_61_100sqm",830
251,2000,"EE00A","EE007","totalm2_101_150sqm",358
251,2011,"EE00A","EE007","totalm2_101_150sqm",408
251,2021,"EE00A","EE007","totalm2_101_150sqm",434
251,2000,"EE00A","EE007","totalm2_101_150sqm",252
251,2011,"EE00A","EE007","totalm2_101_150sqm",360
251,2021,"EE00A","EE007","totalm2_101_150sqm",354
251,2000,"EE00A","EE007","totalm2_>150sqm",146
251,2011,"EE00A","EE007","totalm2_>150sqm",566
251,2021,"EE00A","EE007","totalm2_>150sqm",356
251,2000,"EE00A","EE007","totalm2_data_missing",40
251,2011,"EE00A","EE007","totalm2_data_missing",48
251,2021,"EE00A","EE007","totalm2_data_missing",140
272,2000,"EE009","EE006","totalm2_<60sqm",166
272,2011,"EE009","EE006","totalm2_<60sqm",108
272,2021,"EE009","EE006","totalm2_<60sqm",166
272,2000,"EE009","EE006","totalm2_<60sqm",292
272,2011,"EE009","EE006","totalm2_<60sqm",232
272,2021,"EE009","EE006","totalm2_<60sqm",322
272,2000,"EE009","EE006","totalm2_<60sqm",724
272,2011,"EE009","EE006","totalm2_<60sqm",668
272,2021,"EE009","EE006","totalm2_<60sqm",764
272,2000,"EE009","EE006","totalm2_<60sqm",710
272,2011,"EE009","EE006","totalm2_<60sqm",690
272,2021,"EE009","EE006","totalm2_<60sqm",768
272,2000,"EE009","EE006","totalm2_61_100sqm",970
272,2011,"EE009","EE006","totalm2_61_100sqm",938
272,2021,"EE009","EE006","totalm2_61_100sqm",964
272,2000,"EE009","EE006","totalm2_61_100sqm",686
272,2011,"EE009","EE006","totalm2_61_100sqm",698
272,2021,"EE009","EE006","totalm2_61_100sqm",802
272,2000,"EE009","EE006","totalm2_61_100sqm",532
272,2011,"EE009","EE006","totalm2_61_100sqm",514
272,2021,"EE009","EE006","totalm2_61_100sqm",626
272,2000,"EE009","EE006","totalm2_101_150sqm",324
272,2011,"EE009","EE006","totalm2_101_150sqm",404
272,2021,"EE009","EE006","totalm2_101_150sqm",442
272,2000,"EE009","EE006","totalm2_101_150sqm",128
272,2011,"EE009","EE006","totalm2_101_150sqm",210
272,2021,"EE009","EE006","totalm2_101_150sqm",200
272,2000,"EE009","EE006","totalm2_>150sqm",94
272,2011,"EE009","EE006","totalm2_>150sqm",376
272,2021,"EE009","EE006","totalm2_>150sqm",262
272,2000,"EE009","EE006","totalm2_data_missing",208
272,2011,"EE009","EE006","totalm2_data_missing",22
272,2021,"EE009","EE006","totalm2_data_missing",26
283,2000,"EE008","EE008","totalm2_<60sqm",336
283,2011,"EE008","EE008","totalm2_<60sqm",160
283,2021,"EE008","EE008","totalm2_<60sqm",256
283,2000,"EE008","EE008","totalm2_<60sqm",718
283,2011,"EE008","EE008","totalm2_<60sqm",522
283,2021,"EE008","EE008","totalm2_<60sqm",710
283,2000,"EE008","EE008","totalm2_<60sqm",1242
283,2011,"EE008","EE008","totalm2_<60sqm",1156
283,2021,"EE008","EE008","totalm2_<60sqm",1378
283,2000,"EE008","EE008","totalm2_<60sqm",794
283,2011,"EE008","EE008","totalm2_<60sqm",756
283,2021,"EE008","EE008","totalm2_<60sqm",922
283,2000,"EE008","EE008","totalm2_61_100sqm",1068
283,2011,"EE008","EE008","totalm2_61_100sqm",1072
283,2021,"EE008","EE008","totalm2_61_100sqm",1132
283,2000,"EE008","EE008","totalm2_61_100sqm",472
283,2011,"EE008","EE008","totalm2_61_100sqm",564
283,2021,"EE008","EE008","totalm2_61_100sqm",1110
283,2000,"EE008","EE008","totalm2_61_100sqm",510
283,2011,"EE008","EE008","totalm2_61_100sqm",658
283,2021,"EE008","EE008","totalm2_61_100sqm",1412
283,2000,"EE008","EE008","totalm2_101_150sqm",288
283,2011,"EE008","EE008","totalm2_101_150sqm",678
283,2021,"EE008","EE008","totalm2_101_150sqm",1404
283,2000,"EE008","EE008","totalm2_101_150sqm",242
283,2011,"EE008","EE008","totalm2_101_150sqm",872
283,2021,"EE008","EE008","totalm2_101_150sqm",1524
283,2000,"EE008","EE008","totalm2_>150sqm",210
283,2011,"EE008","EE008","totalm2_>150sqm",1814
283,2021,"EE008","EE008","totalm2_>150sqm",1910
283,2000,"EE008","EE008","totalm2_data_missing",254
283,2011,"EE008","EE008","totalm2_data_missing",22
283,2021,"EE008","EE008","totalm2_data_missing",170
284,2000,"EE008","EE008","totalm2_<60sqm",174
284,2011,"EE008","EE008","totalm2_<60sqm",106
