"Location","Year","Indicator","dwellings"
"....Valga rural municipality, excl. Tõrva city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1498
"....Valga rural municipality, excl. Tõrva city as a settlement unit","2021","Total number of rooms",4734
"....Valga rural municipality, excl. Tõrva city as a settlement unit","2021","Average number of rooms per inhabitant",1.46
"VILJANDI COUNTY","2000","Number of dwellings",22382
"VILJANDI COUNTY","2000","Number of dwellings for which the number of rooms was recorded",22339
"VILJANDI COUNTY","2000","Total number of rooms",66584
"VILJANDI COUNTY","2000","Average number of rooms per inhabitant",1.18
"VILJANDI COUNTY","2011","Number of dwellings",19964
"VILJANDI COUNTY","2011","Number of dwellings for which the number of rooms was recorded",19951
"VILJANDI COUNTY","2011","Total number of rooms",64909
"VILJANDI COUNTY","2011","Average number of rooms per inhabitant",1.4
"VILJANDI COUNTY","2021","Number of dwellings",19483
"VILJANDI COUNTY","2021","Number of dwellings for which the number of rooms was recorded",19166
"VILJANDI COUNTY","2021","Total number of rooms",61842
"VILJANDI COUNTY","2021","Average number of rooms per inhabitant",1.41
"..Viljandi county: city settlement region","2000","Number of dwellings",8473
"..Viljandi county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",8454
"..Viljandi county: city settlement region","2000","Total number of rooms",23360
"..Viljandi county: city settlement region","2000","Average number of rooms per inhabitant",1.14
"..Viljandi county: city settlement region","2011","Number of dwellings",7788
"..Viljandi county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",7782
"..Viljandi county: city settlement region","2011","Total number of rooms",23184
"..Viljandi county: city settlement region","2011","Average number of rooms per inhabitant",1.34
"..Viljandi county: city settlement region","2021","Number of dwellings",7407
"..Viljandi county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",7175
"..Viljandi county: city settlement region","2021","Total number of rooms",21783
"..Viljandi county: city settlement region","2021","Average number of rooms per inhabitant",1.31
"..Viljandi county: town settlement region","2000","Number of dwellings",501
"..Viljandi county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",501
"..Viljandi county: town settlement region","2000","Total number of rooms",1337
"..Viljandi county: town settlement region","2000","Average number of rooms per inhabitant",1.03
"..Viljandi county: town settlement region","2011","Number of dwellings",515
"..Viljandi county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",515
"..Viljandi county: town settlement region","2011","Total number of rooms",1536
"..Viljandi county: town settlement region","2011","Average number of rooms per inhabitant",1.29
"..Viljandi county: town settlement region","2021","Number of dwellings",518
"..Viljandi county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",518
"..Viljandi county: town settlement region","2021","Total number of rooms",1563
"..Viljandi county: town settlement region","2021","Average number of rooms per inhabitant",1.3
"..Viljandi county: rural settlement region","2000","Number of dwellings",13408
"..Viljandi county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",13384
"..Viljandi county: rural settlement region","2000","Total number of rooms",41887
"..Viljandi county: rural settlement region","2000","Average number of rooms per inhabitant",1.21
"..Viljandi county: rural settlement region","2011","Number of dwellings",11661
"..Viljandi county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",11654
"..Viljandi county: rural settlement region","2011","Total number of rooms",40189
"..Viljandi county: rural settlement region","2011","Average number of rooms per inhabitant",1.45
"..Viljandi county: rural settlement region","2021","Number of dwellings",11558
"..Viljandi county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",11473
"..Viljandi county: rural settlement region","2021","Total number of rooms",38496
"..Viljandi county: rural settlement region","2021","Average number of rooms per inhabitant",1.48
"..Mulgi rural municipality","2000","Number of dwellings",3999
"..Mulgi rural municipality","2000","Number of dwellings for which the number of rooms was recorded",3993
"..Mulgi rural municipality","2000","Total number of rooms",12498
"..Mulgi rural municipality","2000","Average number of rooms per inhabitant",1.26
"..Mulgi rural municipality","2011","Number of dwellings",3335
"..Mulgi rural municipality","2011","Number of dwellings for which the number of rooms was recorded",3332
"..Mulgi rural municipality","2011","Total number of rooms",11269
"..Mulgi rural municipality","2011","Average number of rooms per inhabitant",1.54
"..Mulgi rural municipality","2021","Number of dwellings",3247
"..Mulgi rural municipality","2021","Number of dwellings for which the number of rooms was recorded",3219
"..Mulgi rural municipality","2021","Total number of rooms",10910
"..Mulgi rural municipality","2021","Average number of rooms per inhabitant",1.61
"....Abja-Paluoja city as a settlement unit","2000","Number of dwellings",608
"....Abja-Paluoja city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",608
"....Abja-Paluoja city as a settlement unit","2000","Total number of rooms",1878
"....Abja-Paluoja city as a settlement unit","2000","Average number of rooms per inhabitant",1.34
"....Abja-Paluoja city as a settlement unit","2011","Number of dwellings",510
"....Abja-Paluoja city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",509
"....Abja-Paluoja city as a settlement unit","2011","Total number of rooms",1654
"....Abja-Paluoja city as a settlement unit","2011","Average number of rooms per inhabitant",1.58
"....Abja-Paluoja city as a settlement unit","2021","Number of dwellings",479
"....Abja-Paluoja city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",476
"....Abja-Paluoja city as a settlement unit","2021","Total number of rooms",1604
"....Abja-Paluoja city as a settlement unit","2021","Average number of rooms per inhabitant",1.67
"....Karksi-Nuia city as a settlement unit","2000","Number of dwellings",806
"....Karksi-Nuia city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",804
"....Karksi-Nuia city as a settlement unit","2000","Total number of rooms",2400
"....Karksi-Nuia city as a settlement unit","2000","Average number of rooms per inhabitant",1.21
"....Karksi-Nuia city as a settlement unit","2011","Number of dwellings",755
"....Karksi-Nuia city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",755
"....Karksi-Nuia city as a settlement unit","2011","Total number of rooms",2355
"....Karksi-Nuia city as a settlement unit","2011","Average number of rooms per inhabitant",1.51
