"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"parnu linn",2006,"flat","EE004","EE004",624,"number",NA
"pohjaparnumaa vald",2006,"flat","EE004","EE004",638,"number",NA
"ruhnu vald",2006,"flat","EE004","EE004",689,"number",NA
"saarde vald",2006,"flat","EE004","EE004",712,"number",NA
"saaremaa vald",2006,"flat","EE004","EE004",714,"number",319
"tori vald",2006,"flat","EE004","EE004",809,"number",NA
"vormsi vald",2006,"flat","EE004","EE004",907,"number",2
"antsla vald",2006,"flat","EE008","EE008",142,"number",21
"elva vald",2006,"flat","EE008","EE008",171,"number",172
"jogeva vald",2006,"flat","EE008","EE008",247,"number",226
"kambja vald",2006,"flat","EE008","EE008",283,"number",162
"kanepi vald",2006,"flat","EE008","EE008",284,"number",13
"kastre vald",2006,"flat","EE008","EE008",291,"number",43
"luunja vald",2006,"flat","EE008","EE008",432,"number",103
"mulgi vald",2006,"flat","EE008","EE008",480,"number",59
"mustvee vald",2006,"flat","EE008","EE008",486,"number",23
"noo vald",2006,"flat","EE008","EE008",528,"number",25
"otepaa vald",2006,"flat","EE008","EE008",557,"number",42
"peipsiaare vald",2006,"flat","EE008","EE008",586,"number",36
"pohjasakala vald",2006,"flat","EE008","EE008",615,"number",55
"poltsamaa vald",2006,"flat","EE008","EE008",618,"number",95
"polva vald",2006,"flat","EE008","EE008",622,"number",163
"rapina vald",2006,"flat","EE008","EE008",708,"number",37
"rouge vald",2006,"flat","EE008","EE008",698,"number",16
"setomaa vald",2006,"flat","EE008","EE008",732,"number",NA
"tartu linn",2006,"flat","EE008","EE008",793,"number",3051
"tartu vald",2006,"flat","EE008","EE008",796,"number",146
"torva vald",2006,"flat","EE008","EE008",824,"number",52
"valga vald",2006,"flat","EE008","EE008",855,"number",297
"viljandi linn",2006,"flat","EE008","EE008",897,"number",278
"viljandi vald",2006,"flat","EE008","EE008",899,"number",103
"voru linn",2006,"flat","EE008","EE008",919,"number",243
"voru vald",2006,"flat","EE008","EE008",917,"number",52
"haljala vald",2006,"flat","EE009","EE006",191,"number",32
"jarva vald",2006,"flat","EE009","EE006",255,"number",60
"kadrina vald",2006,"flat","EE009","EE006",272,"number",64
"kehtna vald",2006,"flat","EE009","EE006",293,"number",104
"kohila vald",2006,"flat","EE009","EE006",317,"number",84
"marjamaa vald",2006,"flat","EE009","EE006",503,"number",58
"paide linn",2006,"flat","EE009","EE006",567,"number",242
"rakvere linn",2006,"flat","EE009","EE006",663,"number",332
"rakvere vald",2006,"flat","EE009","EE006",661,"number",153
"rapla vald",2006,"flat","EE009","EE006",668,"number",198
"tapa vald",2006,"flat","EE009","EE006",792,"number",201
"turi vald",2006,"flat","EE009","EE006",834,"number",134
"vaikemaarja vald",2006,"flat","EE009","EE006",928,"number",36
"vinni vald",2006,"flat","EE009","EE006",901,"number",60
"virunigula vald",2006,"flat","EE009","EE006",903,"number",91
"alutaguse vald",2006,"flat","EE00A","EE007",130,"number",10
"johvi vald",2006,"flat","EE00A","EE007",251,"number",283
"kohtlajarve linn",2006,"flat","EE00A","EE007",321,"number",918
"luganuse vald",2006,"flat","EE00A","EE007",442,"number",113
"narva linn",2006,"flat","EE00A","EE007",511,"number",680
"narvajoesuu linn",2006,"flat","EE00A","EE007",514,"number",62
"sillamae linn",2006,"flat","EE00A","EE007",735,"number",226
"toila vald",2006,"flat","EE00A","EE007",803,"number",135
"anija vald",2007,"flat","EE001","EE001",141,"number",64
"harku vald",2007,"flat","EE001","EE001",198,"number",230
"joelahtme vald",2007,"flat","EE001","EE001",245,"number",97
"keila linn",2007,"flat","EE001","EE001",296,"number",209
"kiili vald",2007,"flat","EE001","EE001",304,"number",74
"kose vald",2007,"flat","EE001","EE001",338,"number",82
"kuusalu vald",2007,"flat","EE001","EE001",353,"number",74
"laaneharju vald",2007,"flat","EE001","EE001",431,"number",356
"loksa linn",2007,"flat","EE001","EE001",424,"number",43
"maardu linn",2007,"flat","EE001","EE001",446,"number",309
"raasiku vald",2007,"flat","EE001","EE001",651,"number",61
"rae vald",2007,"flat","EE001","EE001",653,"number",492
"saku vald",2007,"flat","EE001","EE001",718,"number",61
"saue vald",2007,"flat","EE001","EE001",726,"number",350
"tallinn",2007,"flat","EE001","EE001",784,"number",9966
"viimsi vald",2007,"flat","EE001","EE001",890,"number",415
"haademeeste vald",2007,"flat","EE004","EE004",214,"number",22
"haapsalu linn",2007,"flat","EE004","EE004",184,"number",292
"hiiumaa vald",2007,"flat","EE004","EE004",205,"number",66
"kihnu vald",2007,"flat","EE004","EE004",303,"number",4
"laanenigula vald",2007,"flat","EE004","EE004",441,"number",76
"laaneranna vald",2007,"flat","EE004","EE004",430,"number",41
"muhu vald",2007,"flat","EE004","EE004",478,"number",NA
"parnu linn",2007,"flat","EE004","EE004",624,"number",1060
"pohjaparnumaa vald",2007,"flat","EE004","EE004",638,"number",93
"ruhnu vald",2007,"flat","EE004","EE004",689,"number",4
"saarde vald",2007,"flat","EE004","EE004",712,"number",47
"saaremaa vald",2007,"flat","EE004","EE004",714,"number",296
"tori vald",2007,"flat","EE004","EE004",809,"number",172
"vormsi vald",2007,"flat","EE004","EE004",907,"number",NA
"antsla vald",2007,"flat","EE008","EE008",142,"number",29
"elva vald",2007,"flat","EE008","EE008",171,"number",138
"jogeva vald",2007,"flat","EE008","EE008",247,"number",177
"kambja vald",2007,"flat","EE008","EE008",283,"number",140
"kanepi vald",2007,"flat","EE008","EE008",284,"number",34
"kastre vald",2007,"flat","EE008","EE008",291,"number",36
"luunja vald",2007,"flat","EE008","EE008",432,"number",128
"mulgi vald",2007,"flat","EE008","EE008",480,"number",60
"mustvee vald",2007,"flat","EE008","EE008",486,"number",16
"noo vald",2007,"flat","EE008","EE008",528,"number",24
"otepaa vald",2007,"flat","EE008","EE008",557,"number",49
"peipsiaare vald",2007,"flat","EE008","EE008",586,"number",39
"pohjasakala vald",2007,"flat","EE008","EE008",615,"number",68
"poltsamaa vald",2007,"flat","EE008","EE008",618,"number",115
"polva vald",2007,"flat","EE008","EE008",622,"number",174
"rapina vald",2007,"flat","EE008","EE008",708,"number",44
"rouge vald",2007,"flat","EE008","EE008",698,"number",15
"setomaa vald",2007,"flat","EE008","EE008",732,"number",26
"tartu linn",2007,"flat","EE008","EE008",793,"number",2168
"tartu vald",2007,"flat","EE008","EE008",796,"number",166
"torva vald",2007,"flat","EE008","EE008",824,"number",60
"valga vald",2007,"flat","EE008","EE008",855,"number",281
"viljandi linn",2007,"flat","EE008","EE008",897,"number",235
"viljandi vald",2007,"flat","EE008","EE008",899,"number",127
"voru linn",2007,"flat","EE008","EE008",919,"number",217
"voru vald",2007,"flat","EE008","EE008",917,"number",58
"haljala vald",2007,"flat","EE009","EE006",191,"number",32
"jarva vald",2007,"flat","EE009","EE006",255,"number",96
"kadrina vald",2007,"flat","EE009","EE006",272,"number",83
"kehtna vald",2007,"flat","EE009","EE006",293,"number",92
"kohila vald",2007,"flat","EE009","EE006",317,"number",54
"marjamaa vald",2007,"flat","EE009","EE006",503,"number",73
"paide linn",2007,"flat","EE009","EE006",567,"number",178
"rakvere linn",2007,"flat","EE009","EE006",663,"number",256
"rakvere vald",2007,"flat","EE009","EE006",661,"number",88
"rapla vald",2007,"flat","EE009","EE006",668,"number",153
"tapa vald",2007,"flat","EE009","EE006",792,"number",157
"turi vald",2007,"flat","EE009","EE006",834,"number",122
"vaikemaarja vald",2007,"flat","EE009","EE006",928,"number",36
"vinni vald",2007,"flat","EE009","EE006",901,"number",46
"virunigula vald",2007,"flat","EE009","EE006",903,"number",115
"alutaguse vald",2007,"flat","EE00A","EE007",130,"number",15
"johvi vald",2007,"flat","EE00A","EE007",251,"number",248
"kohtlajarve linn",2007,"flat","EE00A","EE007",321,"number",839
"luganuse vald",2007,"flat","EE00A","EE007",442,"number",157
"narva linn",2007,"flat","EE00A","EE007",511,"number",600
"narvajoesuu linn",2007,"flat","EE00A","EE007",514,"number",44
"sillamae linn",2007,"flat","EE00A","EE007",735,"number",157
"toila vald",2007,"flat","EE00A","EE007",803,"number",140
"anija vald",2008,"flat","EE001","EE001",141,"number",43
"harku vald",2008,"flat","EE001","EE001",198,"number",143
"joelahtme vald",2008,"flat","EE001","EE001",245,"number",51
"keila linn",2008,"flat","EE001","EE001",296,"number",131
"kiili vald",2008,"flat","EE001","EE001",304,"number",26
"kose vald",2008,"flat","EE001","EE001",338,"number",55
"kuusalu vald",2008,"flat","EE001","EE001",353,"number",30
"laaneharju vald",2008,"flat","EE001","EE001",431,"number",138
"loksa linn",2008,"flat","EE001","EE001",424,"number",24
"maardu linn",2008,"flat","EE001","EE001",446,"number",189
"raasiku vald",2008,"flat","EE001","EE001",651,"number",18
"rae vald",2008,"flat","EE001","EE001",653,"number",323
"saku vald",2008,"flat","EE001","EE001",718,"number",40
"saue vald",2008,"flat","EE001","EE001",726,"number",140
"tallinn",2008,"flat","EE001","EE001",784,"number",6655
"viimsi vald",2008,"flat","EE001","EE001",890,"number",265
"haademeeste vald",2008,"flat","EE004","EE004",214,"number",11
"haapsalu linn",2008,"flat","EE004","EE004",184,"number",133
"hiiumaa vald",2008,"flat","EE004","EE004",205,"number",48
"kihnu vald",2008,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2008,"flat","EE004","EE004",441,"number",51
"laaneranna vald",2008,"flat","EE004","EE004",430,"number",37
"muhu vald",2008,"flat","EE004","EE004",478,"number",2
"parnu linn",2008,"flat","EE004","EE004",624,"number",614
"pohjaparnumaa vald",2008,"flat","EE004","EE004",638,"number",85
"ruhnu vald",2008,"flat","EE004","EE004",689,"number",NA
"saarde vald",2008,"flat","EE004","EE004",712,"number",37
"saaremaa vald",2008,"flat","EE004","EE004",714,"number",218
"tori vald",2008,"flat","EE004","EE004",809,"number",84
"vormsi vald",2008,"flat","EE004","EE004",907,"number",NA
"antsla vald",2008,"flat","EE008","EE008",142,"number",35
"elva vald",2008,"flat","EE008","EE008",171,"number",94
"jogeva vald",2008,"flat","EE008","EE008",247,"number",129
"kambja vald",2008,"flat","EE008","EE008",283,"number",88
"kanepi vald",2008,"flat","EE008","EE008",284,"number",13
"kastre vald",2008,"flat","EE008","EE008",291,"number",21
"luunja vald",2008,"flat","EE008","EE008",432,"number",65
"mulgi vald",2008,"flat","EE008","EE008",480,"number",43
"mustvee vald",2008,"flat","EE008","EE008",486,"number",24
"noo vald",2008,"flat","EE008","EE008",528,"number",15
"otepaa vald",2008,"flat","EE008","EE008",557,"number",53
"peipsiaare vald",2008,"flat","EE008","EE008",586,"number",22
"pohjasakala vald",2008,"flat","EE008","EE008",615,"number",51
"poltsamaa vald",2008,"flat","EE008","EE008",618,"number",71
"polva vald",2008,"flat","EE008","EE008",622,"number",80
"rapina vald",2008,"flat","EE008","EE008",708,"number",28
"rouge vald",2008,"flat","EE008","EE008",698,"number",17
"setomaa vald",2008,"flat","EE008","EE008",732,"number",10
"tartu linn",2008,"flat","EE008","EE008",793,"number",1483
"tartu vald",2008,"flat","EE008","EE008",796,"number",114
"torva vald",2008,"flat","EE008","EE008",824,"number",28
"valga vald",2008,"flat","EE008","EE008",855,"number",210
"viljandi linn",2008,"flat","EE008","EE008",897,"number",206
"viljandi vald",2008,"flat","EE008","EE008",899,"number",85
"voru linn",2008,"flat","EE008","EE008",919,"number",129
"voru vald",2008,"flat","EE008","EE008",917,"number",44
"haljala vald",2008,"flat","EE009","EE006",191,"number",23
"jarva vald",2008,"flat","EE009","EE006",255,"number",79
"kadrina vald",2008,"flat","EE009","EE006",272,"number",33
"kehtna vald",2008,"flat","EE009","EE006",293,"number",53
"kohila vald",2008,"flat","EE009","EE006",317,"number",32
"marjamaa vald",2008,"flat","EE009","EE006",503,"number",74
"paide linn",2008,"flat","EE009","EE006",567,"number",116
"rakvere linn",2008,"flat","EE009","EE006",663,"number",174
"rakvere vald",2008,"flat","EE009","EE006",661,"number",66
"rapla vald",2008,"flat","EE009","EE006",668,"number",91
"tapa vald",2008,"flat","EE009","EE006",792,"number",150
"turi vald",2008,"flat","EE009","EE006",834,"number",79
"vaikemaarja vald",2008,"flat","EE009","EE006",928,"number",48
