"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"vinni vald",2008,"flat","EE009","EE006",901,"number",29
"virunigula vald",2008,"flat","EE009","EE006",903,"number",59
"alutaguse vald",2008,"flat","EE00A","EE007",130,"number",16
"johvi vald",2008,"flat","EE00A","EE007",251,"number",161
"kohtlajarve linn",2008,"flat","EE00A","EE007",321,"number",580
"luganuse vald",2008,"flat","EE00A","EE007",442,"number",159
"narva linn",2008,"flat","EE00A","EE007",511,"number",529
"narvajoesuu linn",2008,"flat","EE00A","EE007",514,"number",78
"sillamae linn",2008,"flat","EE00A","EE007",735,"number",118
"toila vald",2008,"flat","EE00A","EE007",803,"number",112
"anija vald",2009,"flat","EE001","EE001",141,"number",16
"harku vald",2009,"flat","EE001","EE001",198,"number",48
"joelahtme vald",2009,"flat","EE001","EE001",245,"number",27
"keila linn",2009,"flat","EE001","EE001",296,"number",85
"kiili vald",2009,"flat","EE001","EE001",304,"number",7
"kose vald",2009,"flat","EE001","EE001",338,"number",23
"kuusalu vald",2009,"flat","EE001","EE001",353,"number",15
"laaneharju vald",2009,"flat","EE001","EE001",431,"number",109
"loksa linn",2009,"flat","EE001","EE001",424,"number",19
"maardu linn",2009,"flat","EE001","EE001",446,"number",152
"raasiku vald",2009,"flat","EE001","EE001",651,"number",14
"rae vald",2009,"flat","EE001","EE001",653,"number",186
"saku vald",2009,"flat","EE001","EE001",718,"number",28
"saue vald",2009,"flat","EE001","EE001",726,"number",98
"tallinn",2009,"flat","EE001","EE001",784,"number",4769
"viimsi vald",2009,"flat","EE001","EE001",890,"number",273
"haademeeste vald",2009,"flat","EE004","EE004",214,"number",4
"haapsalu linn",2009,"flat","EE004","EE004",184,"number",93
"hiiumaa vald",2009,"flat","EE004","EE004",205,"number",22
"kihnu vald",2009,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2009,"flat","EE004","EE004",441,"number",25
"laaneranna vald",2009,"flat","EE004","EE004",430,"number",18
"muhu vald",2009,"flat","EE004","EE004",478,"number",NA
"parnu linn",2009,"flat","EE004","EE004",624,"number",373
"pohjaparnumaa vald",2009,"flat","EE004","EE004",638,"number",26
"ruhnu vald",2009,"flat","EE004","EE004",689,"number",NA
"saarde vald",2009,"flat","EE004","EE004",712,"number",16
"saaremaa vald",2009,"flat","EE004","EE004",714,"number",129
"tori vald",2009,"flat","EE004","EE004",809,"number",49
"vormsi vald",2009,"flat","EE004","EE004",907,"number",2
"antsla vald",2009,"flat","EE008","EE008",142,"number",14
"elva vald",2009,"flat","EE008","EE008",171,"number",43
"jogeva vald",2009,"flat","EE008","EE008",247,"number",74
"kambja vald",2009,"flat","EE008","EE008",283,"number",46
"kanepi vald",2009,"flat","EE008","EE008",284,"number",19
"kastre vald",2009,"flat","EE008","EE008",291,"number",11
"luunja vald",2009,"flat","EE008","EE008",432,"number",31
"mulgi vald",2009,"flat","EE008","EE008",480,"number",54
"mustvee vald",2009,"flat","EE008","EE008",486,"number",6
"noo vald",2009,"flat","EE008","EE008",528,"number",9
"otepaa vald",2009,"flat","EE008","EE008",557,"number",22
"peipsiaare vald",2009,"flat","EE008","EE008",586,"number",17
"pohjasakala vald",2009,"flat","EE008","EE008",615,"number",32
"poltsamaa vald",2009,"flat","EE008","EE008",618,"number",39
"polva vald",2009,"flat","EE008","EE008",622,"number",46
"rapina vald",2009,"flat","EE008","EE008",708,"number",23
"rouge vald",2009,"flat","EE008","EE008",698,"number",20
"setomaa vald",2009,"flat","EE008","EE008",732,"number",9
"tartu linn",2009,"flat","EE008","EE008",793,"number",840
"tartu vald",2009,"flat","EE008","EE008",796,"number",44
"torva vald",2009,"flat","EE008","EE008",824,"number",18
"valga vald",2009,"flat","EE008","EE008",855,"number",111
"viljandi linn",2009,"flat","EE008","EE008",897,"number",102
"viljandi vald",2009,"flat","EE008","EE008",899,"number",57
"voru linn",2009,"flat","EE008","EE008",919,"number",84
"voru vald",2009,"flat","EE008","EE008",917,"number",25
"haljala vald",2009,"flat","EE009","EE006",191,"number",11
"jarva vald",2009,"flat","EE009","EE006",255,"number",67
"kadrina vald",2009,"flat","EE009","EE006",272,"number",12
"kehtna vald",2009,"flat","EE009","EE006",293,"number",28
"kohila vald",2009,"flat","EE009","EE006",317,"number",18
"marjamaa vald",2009,"flat","EE009","EE006",503,"number",15
"paide linn",2009,"flat","EE009","EE006",567,"number",47
"rakvere linn",2009,"flat","EE009","EE006",663,"number",122
"rakvere vald",2009,"flat","EE009","EE006",661,"number",34
"rapla vald",2009,"flat","EE009","EE006",668,"number",38
"tapa vald",2009,"flat","EE009","EE006",792,"number",90
"turi vald",2009,"flat","EE009","EE006",834,"number",26
"vaikemaarja vald",2009,"flat","EE009","EE006",928,"number",48
"vinni vald",2009,"flat","EE009","EE006",901,"number",28
"virunigula vald",2009,"flat","EE009","EE006",903,"number",44
"alutaguse vald",2009,"flat","EE00A","EE007",130,"number",18
"johvi vald",2009,"flat","EE00A","EE007",251,"number",160
"kohtlajarve linn",2009,"flat","EE00A","EE007",321,"number",499
"luganuse vald",2009,"flat","EE00A","EE007",442,"number",78
"narva linn",2009,"flat","EE00A","EE007",511,"number",467
"narvajoesuu linn",2009,"flat","EE00A","EE007",514,"number",45
"sillamae linn",2009,"flat","EE00A","EE007",735,"number",141
"toila vald",2009,"flat","EE00A","EE007",803,"number",85
"anija vald",2010,"flat","EE001","EE001",141,"number",26
"harku vald",2010,"flat","EE001","EE001",198,"number",71
"joelahtme vald",2010,"flat","EE001","EE001",245,"number",28
"keila linn",2010,"flat","EE001","EE001",296,"number",109
"kiili vald",2010,"flat","EE001","EE001",304,"number",16
"kose vald",2010,"flat","EE001","EE001",338,"number",28
"kuusalu vald",2010,"flat","EE001","EE001",353,"number",26
"laaneharju vald",2010,"flat","EE001","EE001",431,"number",275
"loksa linn",2010,"flat","EE001","EE001",424,"number",36
"maardu linn",2010,"flat","EE001","EE001",446,"number",202
"raasiku vald",2010,"flat","EE001","EE001",651,"number",19
"rae vald",2010,"flat","EE001","EE001",653,"number",152
"saku vald",2010,"flat","EE001","EE001",718,"number",61
"saue vald",2010,"flat","EE001","EE001",726,"number",147
"tallinn",2010,"flat","EE001","EE001",784,"number",5826
"viimsi vald",2010,"flat","EE001","EE001",890,"number",162
"haademeeste vald",2010,"flat","EE004","EE004",214,"number",9
"haapsalu linn",2010,"flat","EE004","EE004",184,"number",102
"hiiumaa vald",2010,"flat","EE004","EE004",205,"number",24
"kihnu vald",2010,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2010,"flat","EE004","EE004",441,"number",37
"laaneranna vald",2010,"flat","EE004","EE004",430,"number",27
"muhu vald",2010,"flat","EE004","EE004",478,"number",NA
"parnu linn",2010,"flat","EE004","EE004",624,"number",543
"pohjaparnumaa vald",2010,"flat","EE004","EE004",638,"number",47
"ruhnu vald",2010,"flat","EE004","EE004",689,"number",NA
"saarde vald",2010,"flat","EE004","EE004",712,"number",15
"saaremaa vald",2010,"flat","EE004","EE004",714,"number",146
"tori vald",2010,"flat","EE004","EE004",809,"number",45
"vormsi vald",2010,"flat","EE004","EE004",907,"number",NA
"antsla vald",2010,"flat","EE008","EE008",142,"number",15
"elva vald",2010,"flat","EE008","EE008",171,"number",57
"jogeva vald",2010,"flat","EE008","EE008",247,"number",108
"kambja vald",2010,"flat","EE008","EE008",283,"number",53
"kanepi vald",2010,"flat","EE008","EE008",284,"number",15
"kastre vald",2010,"flat","EE008","EE008",291,"number",16
"luunja vald",2010,"flat","EE008","EE008",432,"number",138
"mulgi vald",2010,"flat","EE008","EE008",480,"number",39
"mustvee vald",2010,"flat","EE008","EE008",486,"number",9
"noo vald",2010,"flat","EE008","EE008",528,"number",9
"otepaa vald",2010,"flat","EE008","EE008",557,"number",29
"peipsiaare vald",2010,"flat","EE008","EE008",586,"number",25
"pohjasakala vald",2010,"flat","EE008","EE008",615,"number",36
"poltsamaa vald",2010,"flat","EE008","EE008",618,"number",34
"polva vald",2010,"flat","EE008","EE008",622,"number",69
"rapina vald",2010,"flat","EE008","EE008",708,"number",20
"rouge vald",2010,"flat","EE008","EE008",698,"number",21
"setomaa vald",2010,"flat","EE008","EE008",732,"number",6
"tartu linn",2010,"flat","EE008","EE008",793,"number",1092
"tartu vald",2010,"flat","EE008","EE008",796,"number",52
"torva vald",2010,"flat","EE008","EE008",824,"number",25
"valga vald",2010,"flat","EE008","EE008",855,"number",150
"viljandi linn",2010,"flat","EE008","EE008",897,"number",144
"viljandi vald",2010,"flat","EE008","EE008",899,"number",46
"voru linn",2010,"flat","EE008","EE008",919,"number",110
"voru vald",2010,"flat","EE008","EE008",917,"number",27
"haljala vald",2010,"flat","EE009","EE006",191,"number",7
"jarva vald",2010,"flat","EE009","EE006",255,"number",66
"kadrina vald",2010,"flat","EE009","EE006",272,"number",24
"kehtna vald",2010,"flat","EE009","EE006",293,"number",33
"kohila vald",2010,"flat","EE009","EE006",317,"number",14
"marjamaa vald",2010,"flat","EE009","EE006",503,"number",25
"paide linn",2010,"flat","EE009","EE006",567,"number",87
"rakvere linn",2010,"flat","EE009","EE006",663,"number",133
"rakvere vald",2010,"flat","EE009","EE006",661,"number",26
"rapla vald",2010,"flat","EE009","EE006",668,"number",55
"tapa vald",2010,"flat","EE009","EE006",792,"number",93
"turi vald",2010,"flat","EE009","EE006",834,"number",45
"vaikemaarja vald",2010,"flat","EE009","EE006",928,"number",43
"vinni vald",2010,"flat","EE009","EE006",901,"number",30
"virunigula vald",2010,"flat","EE009","EE006",903,"number",83
"alutaguse vald",2010,"flat","EE00A","EE007",130,"number",18
"johvi vald",2010,"flat","EE00A","EE007",251,"number",154
"kohtlajarve linn",2010,"flat","EE00A","EE007",321,"number",531
"luganuse vald",2010,"flat","EE00A","EE007",442,"number",140
"narva linn",2010,"flat","EE00A","EE007",511,"number",616
"narvajoesuu linn",2010,"flat","EE00A","EE007",514,"number",73
"sillamae linn",2010,"flat","EE00A","EE007",735,"number",131
"toila vald",2010,"flat","EE00A","EE007",803,"number",104
"anija vald",2011,"flat","EE001","EE001",141,"number",30
"harku vald",2011,"flat","EE001","EE001",198,"number",70
"joelahtme vald",2011,"flat","EE001","EE001",245,"number",33
"keila linn",2011,"flat","EE001","EE001",296,"number",84
"kiili vald",2011,"flat","EE001","EE001",304,"number",20
"kose vald",2011,"flat","EE001","EE001",338,"number",40
"kuusalu vald",2011,"flat","EE001","EE001",353,"number",24
"laaneharju vald",2011,"flat","EE001","EE001",431,"number",140
"loksa linn",2011,"flat","EE001","EE001",424,"number",17
"maardu linn",2011,"flat","EE001","EE001",446,"number",136
"raasiku vald",2011,"flat","EE001","EE001",651,"number",29
"rae vald",2011,"flat","EE001","EE001",653,"number",211
"saku vald",2011,"flat","EE001","EE001",718,"number",52
"saue vald",2011,"flat","EE001","EE001",726,"number",136
"tallinn",2011,"flat","EE001","EE001",784,"number",5712
"viimsi vald",2011,"flat","EE001","EE001",890,"number",179
"haademeeste vald",2011,"flat","EE004","EE004",214,"number",11
"haapsalu linn",2011,"flat","EE004","EE004",184,"number",105
"hiiumaa vald",2011,"flat","EE004","EE004",205,"number",32
"kihnu vald",2011,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2011,"flat","EE004","EE004",441,"number",32
"laaneranna vald",2011,"flat","EE004","EE004",430,"number",29
"muhu vald",2011,"flat","EE004","EE004",478,"number",NA
"parnu linn",2011,"flat","EE004","EE004",624,"number",542
"pohjaparnumaa vald",2011,"flat","EE004","EE004",638,"number",62
"ruhnu vald",2011,"flat","EE004","EE004",689,"number",NA
"saarde vald",2011,"flat","EE004","EE004",712,"number",14
"saaremaa vald",2011,"flat","EE004","EE004",714,"number",186
"tori vald",2011,"flat","EE004","EE004",809,"number",99
"vormsi vald",2011,"flat","EE004","EE004",907,"number",NA
"antsla vald",2011,"flat","EE008","EE008",142,"number",19
"elva vald",2011,"flat","EE008","EE008",171,"number",63
"jogeva vald",2011,"flat","EE008","EE008",247,"number",85
"kambja vald",2011,"flat","EE008","EE008",283,"number",45
"kanepi vald",2011,"flat","EE008","EE008",284,"number",9
"kastre vald",2011,"flat","EE008","EE008",291,"number",9
"luunja vald",2011,"flat","EE008","EE008",432,"number",78
"mulgi vald",2011,"flat","EE008","EE008",480,"number",45
"mustvee vald",2011,"flat","EE008","EE008",486,"number",26
"noo vald",2011,"flat","EE008","EE008",528,"number",19
"otepaa vald",2011,"flat","EE008","EE008",557,"number",17
"peipsiaare vald",2011,"flat","EE008","EE008",586,"number",17
"pohjasakala vald",2011,"flat","EE008","EE008",615,"number",43
"poltsamaa vald",2011,"flat","EE008","EE008",618,"number",71
"polva vald",2011,"flat","EE008","EE008",622,"number",83
"rapina vald",2011,"flat","EE008","EE008",708,"number",31
"rouge vald",2011,"flat","EE008","EE008",698,"number",20
"setomaa vald",2011,"flat","EE008","EE008",732,"number",17
"tartu linn",2011,"flat","EE008","EE008",793,"number",1137
"tartu vald",2011,"flat","EE008","EE008",796,"number",83
"torva vald",2011,"flat","EE008","EE008",824,"number",30
"valga vald",2011,"flat","EE008","EE008",855,"number",119
"viljandi linn",2011,"flat","EE008","EE008",897,"number",139
"viljandi vald",2011,"flat","EE008","EE008",899,"number",62
"voru linn",2011,"flat","EE008","EE008",919,"number",94
"voru vald",2011,"flat","EE008","EE008",917,"number",29
"haljala vald",2011,"flat","EE009","EE006",191,"number",14
"jarva vald",2011,"flat","EE009","EE006",255,"number",71
"kadrina vald",2011,"flat","EE009","EE006",272,"number",23
"kehtna vald",2011,"flat","EE009","EE006",293,"number",31
"kohila vald",2011,"flat","EE009","EE006",317,"number",19
"marjamaa vald",2011,"flat","EE009","EE006",503,"number",20
"paide linn",2011,"flat","EE009","EE006",567,"number",90
"rakvere linn",2011,"flat","EE009","EE006",663,"number",135
"rakvere vald",2011,"flat","EE009","EE006",661,"number",36
"rapla vald",2011,"flat","EE009","EE006",668,"number",53
"tapa vald",2011,"flat","EE009","EE006",792,"number",93
"turi vald",2011,"flat","EE009","EE006",834,"number",41
"vaikemaarja vald",2011,"flat","EE009","EE006",928,"number",40
"vinni vald",2011,"flat","EE009","EE006",901,"number",43
"virunigula vald",2011,"flat","EE009","EE006",903,"number",113
"alutaguse vald",2011,"flat","EE00A","EE007",130,"number",13
"johvi vald",2011,"flat","EE00A","EE007",251,"number",177
"kohtlajarve linn",2011,"flat","EE00A","EE007",321,"number",533
"luganuse vald",2011,"flat","EE00A","EE007",442,"number",155
"narva linn",2011,"flat","EE00A","EE007",511,"number",506
"narvajoesuu linn",2011,"flat","EE00A","EE007",514,"number",73
"sillamae linn",2011,"flat","EE00A","EE007",735,"number",161
"toila vald",2011,"flat","EE00A","EE007",803,"number",115
"anija vald",2012,"flat","EE001","EE001",141,"number",47
"harku vald",2012,"flat","EE001","EE001",198,"number",86
"joelahtme vald",2012,"flat","EE001","EE001",245,"number",35
"keila linn",2012,"flat","EE001","EE001",296,"number",96
"kiili vald",2012,"flat","EE001","EE001",304,"number",26
"kose vald",2012,"flat","EE001","EE001",338,"number",34
"kuusalu vald",2012,"flat","EE001","EE001",353,"number",30
"laaneharju vald",2012,"flat","EE001","EE001",431,"number",132
"loksa linn",2012,"flat","EE001","EE001",424,"number",32
"maardu linn",2012,"flat","EE001","EE001",446,"number",206
"raasiku vald",2012,"flat","EE001","EE001",651,"number",21
"rae vald",2012,"flat","EE001","EE001",653,"number",230
"saku vald",2012,"flat","EE001","EE001",718,"number",38
"saue vald",2012,"flat","EE001","EE001",726,"number",160
"tallinn",2012,"flat","EE001","EE001",784,"number",7041
"viimsi vald",2012,"flat","EE001","EE001",890,"number",236
"haademeeste vald",2012,"flat","EE004","EE004",214,"number",15
"haapsalu linn",2012,"flat","EE004","EE004",184,"number",125
"hiiumaa vald",2012,"flat","EE004","EE004",205,"number",34
"kihnu vald",2012,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2012,"flat","EE004","EE004",441,"number",51
"laaneranna vald",2012,"flat","EE004","EE004",430,"number",27
"muhu vald",2012,"flat","EE004","EE004",478,"number",5
"parnu linn",2012,"flat","EE004","EE004",624,"number",696
"pohjaparnumaa vald",2012,"flat","EE004","EE004",638,"number",57
"ruhnu vald",2012,"flat","EE004","EE004",689,"number",NA
"saarde vald",2012,"flat","EE004","EE004",712,"number",29
"saaremaa vald",2012,"flat","EE004","EE004",714,"number",188
"tori vald",2012,"flat","EE004","EE004",809,"number",76
"vormsi vald",2012,"flat","EE004","EE004",907,"number",NA
"antsla vald",2012,"flat","EE008","EE008",142,"number",19
"elva vald",2012,"flat","EE008","EE008",171,"number",62
"jogeva vald",2012,"flat","EE008","EE008",247,"number",119
"kambja vald",2012,"flat","EE008","EE008",283,"number",79
"kanepi vald",2012,"flat","EE008","EE008",284,"number",13
"kastre vald",2012,"flat","EE008","EE008",291,"number",24
"luunja vald",2012,"flat","EE008","EE008",432,"number",42
"mulgi vald",2012,"flat","EE008","EE008",480,"number",43
"mustvee vald",2012,"flat","EE008","EE008",486,"number",13
"noo vald",2012,"flat","EE008","EE008",528,"number",23
"otepaa vald",2012,"flat","EE008","EE008",557,"number",27
"peipsiaare vald",2012,"flat","EE008","EE008",586,"number",31
"pohjasakala vald",2012,"flat","EE008","EE008",615,"number",46
"poltsamaa vald",2012,"flat","EE008","EE008",618,"number",63
"polva vald",2012,"flat","EE008","EE008",622,"number",70
"rapina vald",2012,"flat","EE008","EE008",708,"number",32
"rouge vald",2012,"flat","EE008","EE008",698,"number",15
"setomaa vald",2012,"flat","EE008","EE008",732,"number",11
"tartu linn",2012,"flat","EE008","EE008",793,"number",1418
"tartu vald",2012,"flat","EE008","EE008",796,"number",80
"torva vald",2012,"flat","EE008","EE008",824,"number",33
"valga vald",2012,"flat","EE008","EE008",855,"number",154
"viljandi linn",2012,"flat","EE008","EE008",897,"number",155
"viljandi vald",2012,"flat","EE008","EE008",899,"number",58
"voru linn",2012,"flat","EE008","EE008",919,"number",134
