"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"hiiumaa vald","2000","50-59 m²",1438,"EE004","EE004",205
"hiiumaa vald","2011","50-59 m²",1114,"EE004","EE004",205
"hiiumaa vald","2021","50-59 m²",1420,"EE004","EE004",205
"hiiumaa vald","2000","60-69 m²",1672,"EE004","EE004",205
"hiiumaa vald","2011","60-69 m²",1602,"EE004","EE004",205
"hiiumaa vald","2021","60-69 m²",1632,"EE004","EE004",205
"hiiumaa vald","2000","70-79 m²",1146,"EE004","EE004",205
"hiiumaa vald","2011","70-79 m²",1174,"EE004","EE004",205
"hiiumaa vald","2021","70-79 m²",1330,"EE004","EE004",205
"hiiumaa vald","2000","80-99 m²",1378,"EE004","EE004",205
"hiiumaa vald","2011","80-99 m²",1384,"EE004","EE004",205
"hiiumaa vald","2021","80-99 m²",1608,"EE004","EE004",205
"hiiumaa vald","2000","100-119 m²",770,"EE004","EE004",205
"hiiumaa vald","2011","100-119 m²",1054,"EE004","EE004",205
"hiiumaa vald","2021","100-119 m²",1010,"EE004","EE004",205
"hiiumaa vald","2000","120-149 m²",450,"EE004","EE004",205
"hiiumaa vald","2011","120-149 m²",716,"EE004","EE004",205
"hiiumaa vald","2021","120-149 m²",776,"EE004","EE004",205
"hiiumaa vald","2000","150 m² or more",352,"EE004","EE004",205
"hiiumaa vald","2011","150 m² or more",798,"EE004","EE004",205
"hiiumaa vald","2021","150 m² or more",824,"EE004","EE004",205
"hiiumaa vald","2000","Area of dwelling unknown",482,"EE004","EE004",205
"hiiumaa vald","2011","Area of dwelling unknown",54,"EE004","EE004",205
"hiiumaa vald","2021","Area of dwelling unknown",106,"EE004","EE004",205
"häädemeeste vald","2000","Area of dwelling total",4502,"EE004","EE004",214
"häädemeeste vald","2011","Area of dwelling total",4666,"EE004","EE004",214
"häädemeeste vald","2021","Area of dwelling total",5266,"EE004","EE004",214
"häädemeeste vald","2000","Less than 30 m²",148,"EE004","EE004",214
"häädemeeste vald","2011","Less than 30 m²",82,"EE004","EE004",214
"häädemeeste vald","2021","Less than 30 m²",104,"EE004","EE004",214
"häädemeeste vald","2000","30-39 m²",236,"EE004","EE004",214
"häädemeeste vald","2011","30-39 m²",150,"EE004","EE004",214
"häädemeeste vald","2021","30-39 m²",180,"EE004","EE004",214
"häädemeeste vald","2000","40-49 m²",538,"EE004","EE004",214
"häädemeeste vald","2011","40-49 m²",414,"EE004","EE004",214
"häädemeeste vald","2021","40-49 m²",458,"EE004","EE004",214
"häädemeeste vald","2000","50-59 m²",692,"EE004","EE004",214
"häädemeeste vald","2011","50-59 m²",562,"EE004","EE004",214
"häädemeeste vald","2021","50-59 m²",596,"EE004","EE004",214
"häädemeeste vald","2000","60-69 m²",708,"EE004","EE004",214
"häädemeeste vald","2011","60-69 m²",592,"EE004","EE004",214
"häädemeeste vald","2021","60-69 m²",678,"EE004","EE004",214
"häädemeeste vald","2000","70-79 m²",538,"EE004","EE004",214
"häädemeeste vald","2011","70-79 m²",538,"EE004","EE004",214
"häädemeeste vald","2021","70-79 m²",546,"EE004","EE004",214
"häädemeeste vald","2000","80-99 m²",718,"EE004","EE004",214
"häädemeeste vald","2011","80-99 m²",576,"EE004","EE004",214
"häädemeeste vald","2021","80-99 m²",820,"EE004","EE004",214
"häädemeeste vald","2000","100-119 m²",400,"EE004","EE004",214
"häädemeeste vald","2011","100-119 m²",588,"EE004","EE004",214
"häädemeeste vald","2021","100-119 m²",662,"EE004","EE004",214
"häädemeeste vald","2000","120-149 m²",268,"EE004","EE004",214
"häädemeeste vald","2011","120-149 m²",454,"EE004","EE004",214
"häädemeeste vald","2021","120-149 m²",588,"EE004","EE004",214
"häädemeeste vald","2000","150 m² or more",190,"EE004","EE004",214
"häädemeeste vald","2011","150 m² or more",692,"EE004","EE004",214
"häädemeeste vald","2021","150 m² or more",582,"EE004","EE004",214
"häädemeeste vald","2000","Area of dwelling unknown",66,"EE004","EE004",214
"häädemeeste vald","2011","Area of dwelling unknown",18,"EE004","EE004",214
"häädemeeste vald","2021","Area of dwelling unknown",52,"EE004","EE004",214
