"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"märjamaa vald","2011","Area of dwelling unknown",92,"EE009","EE006",503
"märjamaa vald","2021","Area of dwelling unknown",114,"EE009","EE006",503
"narva linn","2000","Area of dwelling total",60662,"EE00A","EE007",511
"narva linn","2011","Area of dwelling total",58248,"EE00A","EE007",511
"narva linn","2021","Area of dwelling total",58994,"EE00A","EE007",511
"narva linn","2000","Less than 30 m²",6456,"EE00A","EE007",511
"narva linn","2011","Less than 30 m²",3754,"EE00A","EE007",511
"narva linn","2021","Less than 30 m²",5152,"EE00A","EE007",511
"narva linn","2000","30-39 m²",11866,"EE00A","EE007",511
"narva linn","2011","30-39 m²",11120,"EE00A","EE007",511
"narva linn","2021","30-39 m²",13220,"EE00A","EE007",511
"narva linn","2000","40-49 m²",17226,"EE00A","EE007",511
"narva linn","2011","40-49 m²",16646,"EE00A","EE007",511
"narva linn","2021","40-49 m²",17216,"EE00A","EE007",511
"narva linn","2000","50-59 m²",11050,"EE00A","EE007",511
"narva linn","2011","50-59 m²",11960,"EE00A","EE007",511
"narva linn","2021","50-59 m²",9578,"EE00A","EE007",511
"narva linn","2000","60-69 m²",10214,"EE00A","EE007",511
"narva linn","2011","60-69 m²",10722,"EE00A","EE007",511
"narva linn","2021","60-69 m²",9912,"EE00A","EE007",511
"narva linn","2000","70-79 m²",2216,"EE00A","EE007",511
"narva linn","2011","70-79 m²",2262,"EE00A","EE007",511
"narva linn","2021","70-79 m²",2428,"EE00A","EE007",511
"narva linn","2000","80-99 m²",838,"EE00A","EE007",511
"narva linn","2011","80-99 m²",1094,"EE00A","EE007",511
"narva linn","2021","80-99 m²",820,"EE00A","EE007",511
"narva linn","2000","100-119 m²",214,"EE00A","EE007",511
"narva linn","2011","100-119 m²",286,"EE00A","EE007",511
"narva linn","2021","100-119 m²",308,"EE00A","EE007",511
"narva linn","2000","120-149 m²",72,"EE00A","EE007",511
"narva linn","2011","120-149 m²",146,"EE00A","EE007",511
"narva linn","2021","120-149 m²",110,"EE00A","EE007",511
"narva linn","2000","150 m² or more",54,"EE00A","EE007",511
"narva linn","2011","150 m² or more",160,"EE00A","EE007",511
"narva linn","2021","150 m² or more",144,"EE00A","EE007",511
"narva linn","2000","Area of dwelling unknown",456,"EE00A","EE007",511
"narva linn","2011","Area of dwelling unknown",98,"EE00A","EE007",511
"narva linn","2021","Area of dwelling unknown",106,"EE00A","EE007",511
"narva-jõesuu linn","2000","Area of dwelling total",7036,"EE00A","EE007",514
"narva-jõesuu linn","2011","Area of dwelling total",5786,"EE00A","EE007",514
"narva-jõesuu linn","2021","Area of dwelling total",6926,"EE00A","EE007",514
"narva-jõesuu linn","2000","Less than 30 m²",846,"EE00A","EE007",514
"narva-jõesuu linn","2011","Less than 30 m²",340,"EE00A","EE007",514
"narva-jõesuu linn","2021","Less than 30 m²",506,"EE00A","EE007",514
"narva-jõesuu linn","2000","30-39 m²",1440,"EE00A","EE007",514
"narva-jõesuu linn","2011","30-39 m²",1078,"EE00A","EE007",514
"narva-jõesuu linn","2021","30-39 m²",1370,"EE00A","EE007",514
"narva-jõesuu linn","2000","40-49 m²",1544,"EE00A","EE007",514
"narva-jõesuu linn","2011","40-49 m²",1210,"EE00A","EE007",514
"narva-jõesuu linn","2021","40-49 m²",1510,"EE00A","EE007",514
"narva-jõesuu linn","2000","50-59 m²",794,"EE00A","EE007",514
"narva-jõesuu linn","2011","50-59 m²",688,"EE00A","EE007",514
"narva-jõesuu linn","2021","50-59 m²",744,"EE00A","EE007",514
"narva-jõesuu linn","2000","60-69 m²",732,"EE00A","EE007",514
"narva-jõesuu linn","2011","60-69 m²",642,"EE00A","EE007",514
"narva-jõesuu linn","2021","60-69 m²",702,"EE00A","EE007",514
"narva-jõesuu linn","2000","70-79 m²",430,"EE00A","EE007",514
"narva-jõesuu linn","2011","70-79 m²",370,"EE00A","EE007",514
"narva-jõesuu linn","2021","70-79 m²",424,"EE00A","EE007",514
"narva-jõesuu linn","2000","80-99 m²",384,"EE00A","EE007",514
"narva-jõesuu linn","2011","80-99 m²",306,"EE00A","EE007",514
"narva-jõesuu linn","2021","80-99 m²",464,"EE00A","EE007",514
"narva-jõesuu linn","2000","100-119 m²",236,"EE00A","EE007",514
"narva-jõesuu linn","2011","100-119 m²",302,"EE00A","EE007",514
"narva-jõesuu linn","2021","100-119 m²",334,"EE00A","EE007",514
"narva-jõesuu linn","2000","120-149 m²",180,"EE00A","EE007",514
"narva-jõesuu linn","2011","120-149 m²",284,"EE00A","EE007",514
"narva-jõesuu linn","2021","120-149 m²",352,"EE00A","EE007",514
"narva-jõesuu linn","2000","150 m² or more",168,"EE00A","EE007",514
"narva-jõesuu linn","2011","150 m² or more",432,"EE00A","EE007",514
"narva-jõesuu linn","2021","150 m² or more",474,"EE00A","EE007",514
"narva-jõesuu linn","2000","Area of dwelling unknown",282,"EE00A","EE007",514
"narva-jõesuu linn","2011","Area of dwelling unknown",134,"EE00A","EE007",514
"narva-jõesuu linn","2021","Area of dwelling unknown",46,"EE00A","EE007",514
"nõo vald","2000","Area of dwelling total",3554,"EE008","EE008",528
"nõo vald","2011","Area of dwelling total",3298,"EE008","EE008",528
"nõo vald","2021","Area of dwelling total",3904,"EE008","EE008",528
"nõo vald","2000","Less than 30 m²",188,"EE008","EE008",528
"nõo vald","2011","Less than 30 m²",88,"EE008","EE008",528
"nõo vald","2021","Less than 30 m²",142,"EE008","EE008",528
"nõo vald","2000","30-39 m²",374,"EE008","EE008",528
"nõo vald","2011","30-39 m²",248,"EE008","EE008",528
"nõo vald","2021","30-39 m²",326,"EE008","EE008",528
"nõo vald","2000","40-49 m²",586,"EE008","EE008",528
"nõo vald","2011","40-49 m²",408,"EE008","EE008",528
"nõo vald","2021","40-49 m²",534,"EE008","EE008",528
"nõo vald","2000","50-59 m²",562,"EE008","EE008",528
"nõo vald","2011","50-59 m²",346,"EE008","EE008",528
"nõo vald","2021","50-59 m²",436,"EE008","EE008",528
"nõo vald","2000","60-69 m²",584,"EE008","EE008",528
"nõo vald","2011","60-69 m²",448,"EE008","EE008",528
"nõo vald","2021","60-69 m²",454,"EE008","EE008",528
"nõo vald","2000","70-79 m²",286,"EE008","EE008",528
"nõo vald","2011","70-79 m²",268,"EE008","EE008",528
"nõo vald","2021","70-79 m²",338,"EE008","EE008",528
"nõo vald","2000","80-99 m²",358,"EE008","EE008",528
"nõo vald","2011","80-99 m²",362,"EE008","EE008",528
"nõo vald","2021","80-99 m²",470,"EE008","EE008",528
"nõo vald","2000","100-119 m²",210,"EE008","EE008",528
"nõo vald","2011","100-119 m²",320,"EE008","EE008",528
"nõo vald","2021","100-119 m²",346,"EE008","EE008",528
"nõo vald","2000","120-149 m²",146,"EE008","EE008",528
"nõo vald","2011","120-149 m²",314,"EE008","EE008",528
"nõo vald","2021","120-149 m²",362,"EE008","EE008",528
"nõo vald","2000","150 m² or more",146,"EE008","EE008",528
"nõo vald","2011","150 m² or more",474,"EE008","EE008",528
"nõo vald","2021","150 m² or more",420,"EE008","EE008",528
"nõo vald","2000","Area of dwelling unknown",114,"EE008","EE008",528
"nõo vald","2011","Area of dwelling unknown",22,"EE008","EE008",528
"nõo vald","2021","Area of dwelling unknown",76,"EE008","EE008",528
"otepää vald","2000","Area of dwelling total",7492,"EE008","EE008",557
"otepää vald","2011","Area of dwelling total",7158,"EE008","EE008",557
"otepää vald","2021","Area of dwelling total",8170,"EE008","EE008",557
"otepää vald","2000","Less than 30 m²",354,"EE008","EE008",557
"otepää vald","2011","Less than 30 m²",170,"EE008","EE008",557
"otepää vald","2021","Less than 30 m²",228,"EE008","EE008",557
"otepää vald","2000","30-39 m²",636,"EE008","EE008",557
"otepää vald","2011","30-39 m²",466,"EE008","EE008",557
"otepää vald","2021","30-39 m²",528,"EE008","EE008",557
"otepää vald","2000","40-49 m²",1140,"EE008","EE008",557
"otepää vald","2011","40-49 m²",1024,"EE008","EE008",557
"otepää vald","2021","40-49 m²",1086,"EE008","EE008",557
"otepää vald","2000","50-59 m²",1190,"EE008","EE008",557
"otepää vald","2011","50-59 m²",922,"EE008","EE008",557
"otepää vald","2021","50-59 m²",1110,"EE008","EE008",557
"otepää vald","2000","60-69 m²",1160,"EE008","EE008",557
"otepää vald","2011","60-69 m²",1042,"EE008","EE008",557
"otepää vald","2021","60-69 m²",1068,"EE008","EE008",557
"otepää vald","2000","70-79 m²",840,"EE008","EE008",557
"otepää vald","2011","70-79 m²",756,"EE008","EE008",557
"otepää vald","2021","70-79 m²",880,"EE008","EE008",557
"otepää vald","2000","80-99 m²",854,"EE008","EE008",557
"otepää vald","2011","80-99 m²",900,"EE008","EE008",557
"otepää vald","2021","80-99 m²",1068,"EE008","EE008",557
"otepää vald","2000","100-119 m²",452,"EE008","EE008",557
"otepää vald","2011","100-119 m²",650,"EE008","EE008",557
"otepää vald","2021","100-119 m²",706,"EE008","EE008",557
"otepää vald","2000","120-149 m²",278,"EE008","EE008",557
"otepää vald","2011","120-149 m²",468,"EE008","EE008",557
"otepää vald","2021","120-149 m²",622,"EE008","EE008",557
"otepää vald","2000","150 m² or more",204,"EE008","EE008",557
"otepää vald","2011","150 m² or more",704,"EE008","EE008",557
"otepää vald","2021","150 m² or more",824,"EE008","EE008",557
"otepää vald","2000","Area of dwelling unknown",384,"EE008","EE008",557
"otepää vald","2011","Area of dwelling unknown",56,"EE008","EE008",557
"otepää vald","2021","Area of dwelling unknown",50,"EE008","EE008",557
"paide linn","2000","Area of dwelling total",11958,"EE009","EE006",567
"paide linn","2011","Area of dwelling total",11844,"EE009","EE006",567
"paide linn","2021","Area of dwelling total",12726,"EE009","EE006",567
"paide linn","2000","Less than 30 m²",624,"EE009","EE006",567
"paide linn","2011","Less than 30 m²",502,"EE009","EE006",567
"paide linn","2021","Less than 30 m²",626,"EE009","EE006",567
"paide linn","2000","30-39 m²",1424,"EE009","EE006",567
"paide linn","2011","30-39 m²",1264,"EE009","EE006",567
"paide linn","2021","30-39 m²",1622,"EE009","EE006",567
"paide linn","2000","40-49 m²",2818,"EE009","EE006",567
"paide linn","2011","40-49 m²",2814,"EE009","EE006",567
"paide linn","2021","40-49 m²",2990,"EE009","EE006",567
"paide linn","2000","50-59 m²",1572,"EE009","EE006",567
"paide linn","2011","50-59 m²",1460,"EE009","EE006",567
"paide linn","2021","50-59 m²",1364,"EE009","EE006",567
"paide linn","2000","60-69 m²",2282,"EE009","EE006",567
"paide linn","2011","60-69 m²",2210,"EE009","EE006",567
"paide linn","2021","60-69 m²",2380,"EE009","EE006",567
"paide linn","2000","70-79 m²",1204,"EE009","EE006",567
"paide linn","2011","70-79 m²",1142,"EE009","EE006",567
"paide linn","2021","70-79 m²",1226,"EE009","EE006",567
"paide linn","2000","80-99 m²",780,"EE009","EE006",567
"paide linn","2011","80-99 m²",780,"EE009","EE006",567
"paide linn","2021","80-99 m²",906,"EE009","EE006",567
"paide linn","2000","100-119 m²",434,"EE009","EE006",567
"paide linn","2011","100-119 m²",614,"EE009","EE006",567
"paide linn","2021","100-119 m²",624,"EE009","EE006",567
"paide linn","2000","120-149 m²",262,"EE009","EE006",567
"paide linn","2011","120-149 m²",400,"EE009","EE006",567
"paide linn","2021","120-149 m²",404,"EE009","EE006",567
"paide linn","2000","150 m² or more",196,"EE009","EE006",567
"paide linn","2011","150 m² or more",640,"EE009","EE006",567
"paide linn","2021","150 m² or more",488,"EE009","EE006",567
"paide linn","2000","Area of dwelling unknown",362,"EE009","EE006",567
"paide linn","2011","Area of dwelling unknown",18,"EE009","EE006",567
"paide linn","2021","Area of dwelling unknown",96,"EE009","EE006",567
"peipsiääre vald","2000","Area of dwelling total",7676,"EE008","EE008",586
"peipsiääre vald","2011","Area of dwelling total",6954,"EE008","EE008",586
"peipsiääre vald","2021","Area of dwelling total",7524,"EE008","EE008",586
"peipsiääre vald","2000","Less than 30 m²",352,"EE008","EE008",586
"peipsiääre vald","2011","Less than 30 m²",118,"EE008","EE008",586
"peipsiääre vald","2021","Less than 30 m²",168,"EE008","EE008",586
"peipsiääre vald","2000","30-39 m²",566,"EE008","EE008",586
"peipsiääre vald","2011","30-39 m²",416,"EE008","EE008",586
"peipsiääre vald","2021","30-39 m²",466,"EE008","EE008",586
"peipsiääre vald","2000","40-49 m²",1246,"EE008","EE008",586
"peipsiääre vald","2011","40-49 m²",1010,"EE008","EE008",586
"peipsiääre vald","2021","40-49 m²",1062,"EE008","EE008",586
"peipsiääre vald","2000","50-59 m²",1230,"EE008","EE008",586
"peipsiääre vald","2011","50-59 m²",950,"EE008","EE008",586
"peipsiääre vald","2021","50-59 m²",1136,"EE008","EE008",586
"peipsiääre vald","2000","60-69 m²",1126,"EE008","EE008",586
"peipsiääre vald","2011","60-69 m²",1310,"EE008","EE008",586
"peipsiääre vald","2021","60-69 m²",1178,"EE008","EE008",586
"peipsiääre vald","2000","70-79 m²",950,"EE008","EE008",586
"peipsiääre vald","2011","70-79 m²",874,"EE008","EE008",586
"peipsiääre vald","2021","70-79 m²",928,"EE008","EE008",586
"peipsiääre vald","2000","80-99 m²",888,"EE008","EE008",586
"peipsiääre vald","2011","80-99 m²",878,"EE008","EE008",586
"peipsiääre vald","2021","80-99 m²",1004,"EE008","EE008",586
"peipsiääre vald","2000","100-119 m²",430,"EE008","EE008",586
"peipsiääre vald","2011","100-119 m²",540,"EE008","EE008",586
"peipsiääre vald","2021","100-119 m²",654,"EE008","EE008",586
"peipsiääre vald","2000","120-149 m²",272,"EE008","EE008",586
"peipsiääre vald","2011","120-149 m²",328,"EE008","EE008",586
"peipsiääre vald","2021","120-149 m²",424,"EE008","EE008",586
"peipsiääre vald","2000","150 m² or more",188,"EE008","EE008",586
"peipsiääre vald","2011","150 m² or more",490,"EE008","EE008",586
"peipsiääre vald","2021","150 m² or more",396,"EE008","EE008",586
"peipsiääre vald","2000","Area of dwelling unknown",428,"EE008","EE008",586
"peipsiääre vald","2011","Area of dwelling unknown",40,"EE008","EE008",586
"peipsiääre vald","2021","Area of dwelling unknown",108,"EE008","EE008",586
"pärnu linn","2000","Area of dwelling total",48102,"EE004","EE004",624
"pärnu linn","2011","Area of dwelling total",53072,"EE004","EE004",624
"pärnu linn","2021","Area of dwelling total",57768,"EE004","EE004",624
"pärnu linn","2000","Less than 30 m²",3680,"EE004","EE004",624
"pärnu linn","2011","Less than 30 m²",3334,"EE004","EE004",624
"pärnu linn","2021","Less than 30 m²",3914,"EE004","EE004",624
"pärnu linn","2000","30-39 m²",6954,"EE004","EE004",624
"pärnu linn","2011","30-39 m²",7048,"EE004","EE004",624
"pärnu linn","2021","30-39 m²",8062,"EE004","EE004",624
"pärnu linn","2000","40-49 m²",10792,"EE004","EE004",624
"pärnu linn","2011","40-49 m²",10990,"EE004","EE004",624
"pärnu linn","2021","40-49 m²",12498,"EE004","EE004",624
"pärnu linn","2000","50-59 m²",6446,"EE004","EE004",624
"pärnu linn","2011","50-59 m²",7126,"EE004","EE004",624
"pärnu linn","2021","50-59 m²",7362,"EE004","EE004",624
"pärnu linn","2000","60-69 m²",7318,"EE004","EE004",624
"pärnu linn","2011","60-69 m²",7722,"EE004","EE004",624
"pärnu linn","2021","60-69 m²",7600,"EE004","EE004",624
"pärnu linn","2000","70-79 m²",3624,"EE004","EE004",624
"pärnu linn","2011","70-79 m²",3684,"EE004","EE004",624
"pärnu linn","2021","70-79 m²",4016,"EE004","EE004",624
"pärnu linn","2000","80-99 m²",3320,"EE004","EE004",624
"pärnu linn","2011","80-99 m²",3272,"EE004","EE004",624
"pärnu linn","2021","80-99 m²",3900,"EE004","EE004",624
"pärnu linn","2000","100-119 m²",2804,"EE004","EE004",624
"pärnu linn","2011","100-119 m²",2980,"EE004","EE004",624
"pärnu linn","2021","100-119 m²",4140,"EE004","EE004",624
"pärnu linn","2000","120-149 m²",1548,"EE004","EE004",624
"pärnu linn","2011","120-149 m²",2738,"EE004","EE004",624
"pärnu linn","2021","120-149 m²",2818,"EE004","EE004",624
"pärnu linn","2000","150 m² or more",1138,"EE004","EE004",624
"pärnu linn","2011","150 m² or more",4034,"EE004","EE004",624
"pärnu linn","2021","150 m² or more",2836,"EE004","EE004",624
"pärnu linn","2000","Area of dwelling unknown",478,"EE004","EE004",624
"pärnu linn","2011","Area of dwelling unknown",144,"EE004","EE004",624
"pärnu linn","2021","Area of dwelling unknown",622,"EE004","EE004",624
"põhja-pärnumaa vald","2000","Area of dwelling total",9298,"EE004","EE004",638
"põhja-pärnumaa vald","2011","Area of dwelling total",8816,"EE004","EE004",638
"põhja-pärnumaa vald","2021","Area of dwelling total",9484,"EE004","EE004",638
"põhja-pärnumaa vald","2000","Less than 30 m²",318,"EE004","EE004",638
"põhja-pärnumaa vald","2011","Less than 30 m²",286,"EE004","EE004",638
"põhja-pärnumaa vald","2021","Less than 30 m²",372,"EE004","EE004",638
"põhja-pärnumaa vald","2000","30-39 m²",790,"EE004","EE004",638
"põhja-pärnumaa vald","2011","30-39 m²",680,"EE004","EE004",638
"põhja-pärnumaa vald","2021","30-39 m²",766,"EE004","EE004",638
"põhja-pärnumaa vald","2000","40-49 m²",1610,"EE004","EE004",638
"põhja-pärnumaa vald","2011","40-49 m²",1452,"EE004","EE004",638
"põhja-pärnumaa vald","2021","40-49 m²",1536,"EE004","EE004",638
"põhja-pärnumaa vald","2000","50-59 m²",1450,"EE004","EE004",638
"põhja-pärnumaa vald","2011","50-59 m²",1252,"EE004","EE004",638
"põhja-pärnumaa vald","2021","50-59 m²",1426,"EE004","EE004",638
"põhja-pärnumaa vald","2000","60-69 m²",1336,"EE004","EE004",638
"põhja-pärnumaa vald","2011","60-69 m²",1266,"EE004","EE004",638
"põhja-pärnumaa vald","2021","60-69 m²",1230,"EE004","EE004",638
"põhja-pärnumaa vald","2000","70-79 m²",908,"EE004","EE004",638
"põhja-pärnumaa vald","2011","70-79 m²",852,"EE004","EE004",638
"põhja-pärnumaa vald","2021","70-79 m²",878,"EE004","EE004",638
"põhja-pärnumaa vald","2000","80-99 m²",1134,"EE004","EE004",638
"põhja-pärnumaa vald","2011","80-99 m²",930,"EE004","EE004",638
"põhja-pärnumaa vald","2021","80-99 m²",1034,"EE004","EE004",638
"põhja-pärnumaa vald","2000","100-119 m²",720,"EE004","EE004",638
"põhja-pärnumaa vald","2011","100-119 m²",790,"EE004","EE004",638
"põhja-pärnumaa vald","2021","100-119 m²",782,"EE004","EE004",638
"põhja-pärnumaa vald","2000","120-149 m²",582,"EE004","EE004",638
"põhja-pärnumaa vald","2011","120-149 m²",536,"EE004","EE004",638
"põhja-pärnumaa vald","2021","120-149 m²",704,"EE004","EE004",638
"põhja-pärnumaa vald","2000","150 m² or more",328,"EE004","EE004",638
"põhja-pärnumaa vald","2011","150 m² or more",744,"EE004","EE004",638
"põhja-pärnumaa vald","2021","150 m² or more",690,"EE004","EE004",638
"põhja-pärnumaa vald","2000","Area of dwelling unknown",122,"EE004","EE004",638
"põhja-pärnumaa vald","2011","Area of dwelling unknown",28,"EE004","EE004",638
"põhja-pärnumaa vald","2021","Area of dwelling unknown",66,"EE004","EE004",638
"põhja-sakala vald","2000","Area of dwelling total",9144,"EE008","EE008",615
"põhja-sakala vald","2011","Area of dwelling total",8260,"EE008","EE008",615
"põhja-sakala vald","2021","Area of dwelling total",8916,"EE008","EE008",615
"põhja-sakala vald","2000","Less than 30 m²",398,"EE008","EE008",615
"põhja-sakala vald","2011","Less than 30 m²",252,"EE008","EE008",615
"põhja-sakala vald","2021","Less than 30 m²",388,"EE008","EE008",615
"põhja-sakala vald","2000","30-39 m²",692,"EE008","EE008",615
"põhja-sakala vald","2011","30-39 m²",586,"EE008","EE008",615
"põhja-sakala vald","2021","30-39 m²",530,"EE008","EE008",615
"põhja-sakala vald","2000","40-49 m²",1302,"EE008","EE008",615
"põhja-sakala vald","2011","40-49 m²",1044,"EE008","EE008",615
"põhja-sakala vald","2021","40-49 m²",1106,"EE008","EE008",615
"põhja-sakala vald","2000","50-59 m²",1128,"EE008","EE008",615
"põhja-sakala vald","2011","50-59 m²",736,"EE008","EE008",615
"põhja-sakala vald","2021","50-59 m²",882,"EE008","EE008",615
"põhja-sakala vald","2000","60-69 m²",1402,"EE008","EE008",615
"põhja-sakala vald","2011","60-69 m²",1282,"EE008","EE008",615
"põhja-sakala vald","2021","60-69 m²",1188,"EE008","EE008",615
"põhja-sakala vald","2000","70-79 m²",970,"EE008","EE008",615
"põhja-sakala vald","2011","70-79 m²",866,"EE008","EE008",615
"põhja-sakala vald","2021","70-79 m²",936,"EE008","EE008",615
"põhja-sakala vald","2000","80-99 m²",1318,"EE008","EE008",615
"põhja-sakala vald","2011","80-99 m²",1178,"EE008","EE008",615
"põhja-sakala vald","2021","80-99 m²",1344,"EE008","EE008",615
"põhja-sakala vald","2000","100-119 m²",908,"EE008","EE008",615
"põhja-sakala vald","2011","100-119 m²",908,"EE008","EE008",615
"põhja-sakala vald","2021","100-119 m²",1040,"EE008","EE008",615
"põhja-sakala vald","2000","120-149 m²",542,"EE008","EE008",615
"põhja-sakala vald","2011","120-149 m²",628,"EE008","EE008",615
"põhja-sakala vald","2021","120-149 m²",718,"EE008","EE008",615
"põhja-sakala vald","2000","150 m² or more",412,"EE008","EE008",615
"põhja-sakala vald","2011","150 m² or more",756,"EE008","EE008",615
"põhja-sakala vald","2021","150 m² or more",754,"EE008","EE008",615
"põhja-sakala vald","2000","Area of dwelling unknown",72,"EE008","EE008",615
"põhja-sakala vald","2011","Area of dwelling unknown",24,"EE008","EE008",615
"põhja-sakala vald","2021","Area of dwelling unknown",30,"EE008","EE008",615
"põltsamaa vald","2000","Area of dwelling total",11102,"EE008","EE008",618
"põltsamaa vald","2011","Area of dwelling total",10368,"EE008","EE008",618
"põltsamaa vald","2021","Area of dwelling total",10970,"EE008","EE008",618
"põltsamaa vald","2000","Less than 30 m²",616,"EE008","EE008",618
"põltsamaa vald","2011","Less than 30 m²",354,"EE008","EE008",618
"põltsamaa vald","2021","Less than 30 m²",450,"EE008","EE008",618
"põltsamaa vald","2000","30-39 m²",888,"EE008","EE008",618
"põltsamaa vald","2011","30-39 m²",702,"EE008","EE008",618
"põltsamaa vald","2021","30-39 m²",812,"EE008","EE008",618
"põltsamaa vald","2000","40-49 m²",1874,"EE008","EE008",618
"põltsamaa vald","2011","40-49 m²",1656,"EE008","EE008",618
"põltsamaa vald","2021","40-49 m²",1906,"EE008","EE008",618
"põltsamaa vald","2000","50-59 m²",1632,"EE008","EE008",618
"põltsamaa vald","2011","50-59 m²",1288,"EE008","EE008",618
"põltsamaa vald","2021","50-59 m²",1374,"EE008","EE008",618
"põltsamaa vald","2000","60-69 m²",1754,"EE008","EE008",618
"põltsamaa vald","2011","60-69 m²",1600,"EE008","EE008",618
"põltsamaa vald","2021","60-69 m²",1448,"EE008","EE008",618
"põltsamaa vald","2000","70-79 m²",1280,"EE008","EE008",618
"põltsamaa vald","2011","70-79 m²",1072,"EE008","EE008",618
"põltsamaa vald","2021","70-79 m²",1258,"EE008","EE008",618
"põltsamaa vald","2000","80-99 m²",1372,"EE008","EE008",618
"põltsamaa vald","2011","80-99 m²",1230,"EE008","EE008",618
"põltsamaa vald","2021","80-99 m²",1408,"EE008","EE008",618
"põltsamaa vald","2000","100-119 m²",758,"EE008","EE008",618
"põltsamaa vald","2011","100-119 m²",932,"EE008","EE008",618
"põltsamaa vald","2021","100-119 m²",964,"EE008","EE008",618
"põltsamaa vald","2000","120-149 m²",472,"EE008","EE008",618
"põltsamaa vald","2011","120-149 m²",608,"EE008","EE008",618
"põltsamaa vald","2021","120-149 m²",604,"EE008","EE008",618
"põltsamaa vald","2000","150 m² or more",214,"EE008","EE008",618
"põltsamaa vald","2011","150 m² or more",796,"EE008","EE008",618
"põltsamaa vald","2021","150 m² or more",574,"EE008","EE008",618
"põltsamaa vald","2000","Area of dwelling unknown",242,"EE008","EE008",618
"põltsamaa vald","2011","Area of dwelling unknown",130,"EE008","EE008",618
"põltsamaa vald","2021","Area of dwelling unknown",172,"EE008","EE008",618
"põlva vald","2000","Area of dwelling total",14590,"EE008","EE008",622
"põlva vald","2011","Area of dwelling total",13560,"EE008","EE008",622
"põlva vald","2021","Area of dwelling total",14632,"EE008","EE008",622
"põlva vald","2000","Less than 30 m²",656,"EE008","EE008",622
"põlva vald","2011","Less than 30 m²",488,"EE008","EE008",622
"põlva vald","2021","Less than 30 m²",536,"EE008","EE008",622
"põlva vald","2000","30-39 m²",1270,"EE008","EE008",622
"põlva vald","2011","30-39 m²",1026,"EE008","EE008",622
"põlva vald","2021","30-39 m²",1108,"EE008","EE008",622
"põlva vald","2000","40-49 m²",2576,"EE008","EE008",622
"põlva vald","2011","40-49 m²",2248,"EE008","EE008",622
"põlva vald","2021","40-49 m²",2410,"EE008","EE008",622
"põlva vald","2000","50-59 m²",2128,"EE008","EE008",622
"põlva vald","2011","50-59 m²",1712,"EE008","EE008",622
"põlva vald","2021","50-59 m²",1884,"EE008","EE008",622
"põlva vald","2000","60-69 m²",2598,"EE008","EE008",622
"põlva vald","2011","60-69 m²",2302,"EE008","EE008",622
"põlva vald","2021","60-69 m²",2394,"EE008","EE008",622
"põlva vald","2000","70-79 m²",1630,"EE008","EE008",622
"põlva vald","2011","70-79 m²",1416,"EE008","EE008",622
"põlva vald","2021","70-79 m²",1458,"EE008","EE008",622
"põlva vald","2000","80-99 m²",1694,"EE008","EE008",622
"põlva vald","2011","80-99 m²",1402,"EE008","EE008",622
"põlva vald","2021","80-99 m²",1726,"EE008","EE008",622
"põlva vald","2000","100-119 m²",900,"EE008","EE008",622
"põlva vald","2011","100-119 m²",940,"EE008","EE008",622
"põlva vald","2021","100-119 m²",1084,"EE008","EE008",622
"põlva vald","2000","120-149 m²",528,"EE008","EE008",622
"põlva vald","2011","120-149 m²",786,"EE008","EE008",622
"põlva vald","2021","120-149 m²",850,"EE008","EE008",622
"põlva vald","2000","150 m² or more",422,"EE008","EE008",622
"põlva vald","2011","150 m² or more",1072,"EE008","EE008",622
"põlva vald","2021","150 m² or more",1034,"EE008","EE008",622
"põlva vald","2000","Area of dwelling unknown",188,"EE008","EE008",622
"põlva vald","2011","Area of dwelling unknown",168,"EE008","EE008",622
"põlva vald","2021","Area of dwelling unknown",148,"EE008","EE008",622
"raasiku vald","2000","Area of dwelling total",3754,"EE001","EE001",651
"raasiku vald","2011","Area of dwelling total",3872,"EE001","EE001",651
"raasiku vald","2021","Area of dwelling total",4668,"EE001","EE001",651
"raasiku vald","2000","Less than 30 m²",188,"EE001","EE001",651
"raasiku vald","2011","Less than 30 m²",108,"EE001","EE001",651
"raasiku vald","2021","Less than 30 m²",86,"EE001","EE001",651
"raasiku vald","2000","30-39 m²",300,"EE001","EE001",651
"raasiku vald","2011","30-39 m²",178,"EE001","EE001",651
"raasiku vald","2021","30-39 m²",244,"EE001","EE001",651
"raasiku vald","2000","40-49 m²",600,"EE001","EE001",651
"raasiku vald","2011","40-49 m²",490,"EE001","EE001",651
"raasiku vald","2021","40-49 m²",530,"EE001","EE001",651
"raasiku vald","2000","50-59 m²",542,"EE001","EE001",651
"raasiku vald","2011","50-59 m²",416,"EE001","EE001",651
"raasiku vald","2021","50-59 m²",448,"EE001","EE001",651
"raasiku vald","2000","60-69 m²",682,"EE001","EE001",651
"raasiku vald","2011","60-69 m²",584,"EE001","EE001",651
"raasiku vald","2021","60-69 m²",546,"EE001","EE001",651
"raasiku vald","2000","70-79 m²",378,"EE001","EE001",651
"raasiku vald","2011","70-79 m²",306,"EE001","EE001",651
"raasiku vald","2021","70-79 m²",444,"EE001","EE001",651
"raasiku vald","2000","80-99 m²",460,"EE001","EE001",651
