"municipality","indicator","year","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE","county"
"keila linn","%change","2022",9.6,"EE001","EE001",296,"Harju county"
"keila linn","%change","2023",8.7,"EE001","EE001",296,"Harju county"
"keila linn","%change","2024",11.8,"EE001","EE001",296,"Harju county"
"kihnu vald","avg_wage","2021",1157,"EE004","EE004",303,"Pärnu county"
"kihnu vald","avg_wage","2022",1253,"EE004","EE004",303,"Pärnu county"
"kihnu vald","avg_wage","2023",1506,"EE004","EE004",303,"Pärnu county"
"kihnu vald","avg_wage","2024",1518,"EE004","EE004",303,"Pärnu county"
"kihnu vald","employees","2021",117,"EE004","EE004",303,"Pärnu county"
"kihnu vald","employees","2022",119,"EE004","EE004",303,"Pärnu county"
"kihnu vald","employees","2023",125,"EE004","EE004",303,"Pärnu county"
"kihnu vald","employees","2024",117,"EE004","EE004",303,"Pärnu county"
"kihnu vald","median_wage","2021",922,"EE004","EE004",303,"Pärnu county"
"kihnu vald","median_wage","2022",1044,"EE004","EE004",303,"Pärnu county"
"kihnu vald","median_wage","2023",1300,"EE004","EE004",303,"Pärnu county"
"kihnu vald","median_wage","2024",1369,"EE004","EE004",303,"Pärnu county"
"kihnu vald","%change","2021",NA,"EE004","EE004",303,"Pärnu county"
"kihnu vald","%change","2022",8.3,"EE004","EE004",303,"Pärnu county"
"kihnu vald","%change","2023",20.2,"EE004","EE004",303,"Pärnu county"
"kihnu vald","%change","2024",0.8,"EE004","EE004",303,"Pärnu county"
"kiili vald","avg_wage","2021",1348,"EE001","EE001",304,"Harju county"
"kiili vald","avg_wage","2022",1511,"EE001","EE001",304,"Harju county"
"kiili vald","avg_wage","2023",1644,"EE001","EE001",304,"Harju county"
"kiili vald","avg_wage","2024",1727,"EE001","EE001",304,"Harju county"
"kiili vald","employees","2021",1481,"EE001","EE001",304,"Harju county"
"kiili vald","employees","2022",1571,"EE001","EE001",304,"Harju county"
"kiili vald","employees","2023",1674,"EE001","EE001",304,"Harju county"
"kiili vald","employees","2024",1827,"EE001","EE001",304,"Harju county"
"kiili vald","median_wage","2021",1200,"EE001","EE001",304,"Harju county"
"kiili vald","median_wage","2022",1333,"EE001","EE001",304,"Harju county"
"kiili vald","median_wage","2023",1480,"EE001","EE001",304,"Harju county"
"kiili vald","median_wage","2024",1556,"EE001","EE001",304,"Harju county"
"kiili vald","%change","2021",NA,"EE001","EE001",304,"Harju county"
"kiili vald","%change","2022",12.1,"EE001","EE001",304,"Harju county"
"kiili vald","%change","2023",8.8,"EE001","EE001",304,"Harju county"
"kiili vald","%change","2024",5,"EE001","EE001",304,"Harju county"
"kohila vald","avg_wage","2021",1293,"EE009","EE006",317,"Rapla county"
"kohila vald","avg_wage","2022",1423,"EE009","EE006",317,"Rapla county"
"kohila vald","avg_wage","2023",1563,"EE009","EE006",317,"Rapla county"
"kohila vald","avg_wage","2024",1678,"EE009","EE006",317,"Rapla county"
"kohila vald","employees","2021",2023,"EE009","EE006",317,"Rapla county"
"kohila vald","employees","2022",2085,"EE009","EE006",317,"Rapla county"
"kohila vald","employees","2023",2079,"EE009","EE006",317,"Rapla county"
"kohila vald","employees","2024",2053,"EE009","EE006",317,"Rapla county"
"kohila vald","median_wage","2021",1167,"EE009","EE006",317,"Rapla county"
"kohila vald","median_wage","2022",1286,"EE009","EE006",317,"Rapla county"
"kohila vald","median_wage","2023",1402,"EE009","EE006",317,"Rapla county"
"kohila vald","median_wage","2024",1485,"EE009","EE006",317,"Rapla county"
"kohila vald","%change","2021",NA,"EE009","EE006",317,"Rapla county"
"kohila vald","%change","2022",10.1,"EE009","EE006",317,"Rapla county"
