"nuts","year","variable","nuts2021","nuts2016","value","type"
283,2014,"ppm2_offer","EE008","EE008",772.406541261817,"all"
283,2015,"ppm2_offer","EE008","EE008",835.260924130303,"all"
283,2016,"ppm2_offer","EE008","EE008",884.944770328854,"all"
283,2017,"ppm2_offer","EE008","EE008",945.19698204935,"all"
283,2018,"ppm2_offer","EE008","EE008",984.581503118919,"all"
283,2019,"ppm2_offer","EE008","EE008",1011.6747190867,"all"
283,2020,"ppm2_offer","EE008","EE008",1104.38486922258,"all"
283,2021,"ppm2_offer","EE008","EE008",1250.4261418159,"all"
283,2022,"ppm2_offer","EE008","EE008",1523.87919765051,"all"
283,2023,"ppm2_offer","EE008","EE008",1629.55643156923,"all"
283,2024,"ppm2_offer","EE008","EE008",1682.61958570129,"all"
283,2025,"ppm2_offer","EE008","EE008",1779.1768911232,"all"
284,2007,"ppm2_offer","EE008","EE008",592.864386792454,"all"
284,2008,"ppm2_offer","EE008","EE008",442.506682389938,"all"
284,2009,"ppm2_offer","EE008","EE008",304.264832182072,"all"
284,2010,"ppm2_offer","EE008","EE008",246.592325251062,"all"
284,2011,"ppm2_offer","EE008","EE008",301.266915296245,"all"
284,2012,"ppm2_offer","EE008","EE008",253.157387579401,"all"
284,2013,"ppm2_offer","EE008","EE008",272.203882454643,"all"
284,2014,"ppm2_offer","EE008","EE008",304.042326593708,"all"
284,2015,"ppm2_offer","EE008","EE008",323.681940012019,"all"
284,2016,"ppm2_offer","EE008","EE008",296.123845849755,"all"
284,2017,"ppm2_offer","EE008","EE008",432.621496600844,"all"
284,2018,"ppm2_offer","EE008","EE008",619.611561379168,"all"
284,2019,"ppm2_offer","EE008","EE008",653.703669891973,"all"
284,2020,"ppm2_offer","EE008","EE008",531.61531162232,"all"
284,2021,"ppm2_offer","EE008","EE008",477.571540880504,"all"
284,2022,"ppm2_offer","EE008","EE008",510.199790214902,"all"
284,2023,"ppm2_offer","EE008","EE008",560.55463836478,"all"
284,2024,"ppm2_offer","EE008","EE008",612.568789308177,"all"
284,2025,"ppm2_offer","EE008","EE008",808.60141509434,"all"
291,2007,"ppm2_offer","EE008","EE008",643.716298030203,"all"
291,2008,"ppm2_offer","EE008","EE008",608.828654986653,"all"
291,2009,"ppm2_offer","EE008","EE008",471.825815237384,"all"
291,2010,"ppm2_offer","EE008","EE008",425.264089916847,"all"
291,2011,"ppm2_offer","EE008","EE008",415.08803839161,"all"
291,2012,"ppm2_offer","EE008","EE008",432.813982213762,"all"
291,2013,"ppm2_offer","EE008","EE008",421.266091401135,"all"
291,2014,"ppm2_offer","EE008","EE008",550.784958770278,"all"
291,2015,"ppm2_offer","EE008","EE008",514.757643095382,"all"
291,2016,"ppm2_offer","EE008","EE008",591.239840564843,"all"
291,2017,"ppm2_offer","EE008","EE008",645.279523333252,"all"
291,2018,"ppm2_offer","EE008","EE008",680.961840657913,"all"
291,2019,"ppm2_offer","EE008","EE008",784.265703296153,"all"
291,2020,"ppm2_offer","EE008","EE008",849.952726326937,"all"
291,2021,"ppm2_offer","EE008","EE008",963.095420142613,"all"
291,2022,"ppm2_offer","EE008","EE008",1219.54294461039,"all"
291,2023,"ppm2_offer","EE008","EE008",1105.910903072,"all"
291,2024,"ppm2_offer","EE008","EE008",1134.81781888963,"all"
291,2025,"ppm2_offer","EE008","EE008",1235.22217111807,"all"
293,2007,"ppm2_offer","EE009","EE006",329.526491389409,"all"
293,2008,"ppm2_offer","EE009","EE006",310.371558239557,"all"
293,2009,"ppm2_offer","EE009","EE006",289.405696997474,"all"
293,2010,"ppm2_offer","EE009","EE006",306.590042897932,"all"
293,2011,"ppm2_offer","EE009","EE006",349.056666447834,"all"
293,2012,"ppm2_offer","EE009","EE006",376.343858531877,"all"
293,2013,"ppm2_offer","EE009","EE006",309.650645180844,"all"
293,2014,"ppm2_offer","EE009","EE006",340.714441618789,"all"
293,2015,"ppm2_offer","EE009","EE006",279.384614808816,"all"
293,2016,"ppm2_offer","EE009","EE006",288.980339784501,"all"
293,2017,"ppm2_offer","EE009","EE006",357.538409850459,"all"
293,2018,"ppm2_offer","EE009","EE006",431.799945320868,"all"
293,2019,"ppm2_offer","EE009","EE006",446.046392405014,"all"
293,2020,"ppm2_offer","EE009","EE006",468.9806664842,"all"
293,2021,"ppm2_offer","EE009","EE006",498.714209692796,"all"
293,2022,"ppm2_offer","EE009","EE006",531.262312516249,"all"
293,2023,"ppm2_offer","EE009","EE006",647.612459541613,"all"
293,2024,"ppm2_offer","EE009","EE006",818.438907381024,"all"
293,2025,"ppm2_offer","EE009","EE006",833.504985946705,"all"
296,2007,"ppm2_offer","EE001","EE001",995.763689261176,"all"
296,2008,"ppm2_offer","EE001","EE001",882.638597900143,"all"
296,2009,"ppm2_offer","EE001","EE001",642.49312845309,"all"
296,2010,"ppm2_offer","EE001","EE001",586.300713442555,"all"
296,2011,"ppm2_offer","EE001","EE001",639.312306401818,"all"
296,2012,"ppm2_offer","EE001","EE001",678.359181822579,"all"
296,2013,"ppm2_offer","EE001","EE001",700.895187089803,"all"
296,2014,"ppm2_offer","EE001","EE001",809.603590282059,"all"
296,2015,"ppm2_offer","EE001","EE001",800.641842378776,"all"
296,2016,"ppm2_offer","EE001","EE001",833.609756982494,"all"
296,2017,"ppm2_offer","EE001","EE001",907.428642383127,"all"
296,2018,"ppm2_offer","EE001","EE001",999.709895791702,"all"
296,2019,"ppm2_offer","EE001","EE001",1114.82640124529,"all"
296,2020,"ppm2_offer","EE001","EE001",1096.6947851881,"all"
296,2021,"ppm2_offer","EE001","EE001",1270.00628903432,"all"
296,2022,"ppm2_offer","EE001","EE001",1498.16522748156,"all"
296,2023,"ppm2_offer","EE001","EE001",1786.61571895025,"all"
296,2024,"ppm2_offer","EE001","EE001",1770.89399710563,"all"
296,2025,"ppm2_offer","EE001","EE001",1994.66390082067,"all"
303,2007,"ppm2_offer","EE004","EE004",NA,"all"
303,2008,"ppm2_offer","EE004","EE004",NA,"all"
303,2009,"ppm2_offer","EE004","EE004",NA,"all"
303,2010,"ppm2_offer","EE004","EE004",NA,"all"
303,2011,"ppm2_offer","EE004","EE004",NA,"all"
303,2012,"ppm2_offer","EE004","EE004",NA,"all"
303,2013,"ppm2_offer","EE004","EE004",NA,"all"
303,2014,"ppm2_offer","EE004","EE004",NA,"all"
303,2015,"ppm2_offer","EE004","EE004",NA,"all"
303,2016,"ppm2_offer","EE004","EE004",NA,"all"
303,2017,"ppm2_offer","EE004","EE004",NA,"all"
303,2018,"ppm2_offer","EE004","EE004",NA,"all"
303,2019,"ppm2_offer","EE004","EE004",NA,"all"
303,2020,"ppm2_offer","EE004","EE004",NA,"all"
303,2021,"ppm2_offer","EE004","EE004",NA,"all"
303,2022,"ppm2_offer","EE004","EE004",NA,"all"
303,2023,"ppm2_offer","EE004","EE004",NA,"all"
303,2024,"ppm2_offer","EE004","EE004",NA,"all"
303,2025,"ppm2_offer","EE004","EE004",NA,"all"
304,2007,"ppm2_offer","EE001","EE001",1272.42964503151,"all"
304,2008,"ppm2_offer","EE001","EE001",1206.4209510209,"all"
304,2009,"ppm2_offer","EE001","EE001",828.438579334959,"all"
304,2010,"ppm2_offer","EE001","EE001",777.726185889348,"all"
304,2011,"ppm2_offer","EE001","EE001",868.025796517567,"all"
304,2012,"ppm2_offer","EE001","EE001",850.763242085637,"all"
304,2013,"ppm2_offer","EE001","EE001",863.817444263908,"all"
304,2014,"ppm2_offer","EE001","EE001",997.805272329223,"all"
304,2015,"ppm2_offer","EE001","EE001",1087.38195293552,"all"
304,2016,"ppm2_offer","EE001","EE001",1149.36343729528,"all"
304,2017,"ppm2_offer","EE001","EE001",1235.46795751892,"all"
304,2018,"ppm2_offer","EE001","EE001",1297.89612145025,"all"
304,2019,"ppm2_offer","EE001","EE001",1372.68435197367,"all"
304,2020,"ppm2_offer","EE001","EE001",1574.89158973434,"all"
304,2021,"ppm2_offer","EE001","EE001",1822.69641075255,"all"
304,2022,"ppm2_offer","EE001","EE001",2238.20199515551,"all"
304,2023,"ppm2_offer","EE001","EE001",2347.56147106147,"all"
304,2024,"ppm2_offer","EE001","EE001",2401.04852552087,"all"
304,2025,"ppm2_offer","EE001","EE001",2537.9722364057,"all"
317,2007,"ppm2_offer","EE009","EE006",818.110421116033,"all"
317,2008,"ppm2_offer","EE009","EE006",741.98627150572,"all"
317,2009,"ppm2_offer","EE009","EE006",534.90251309542,"all"
317,2010,"ppm2_offer","EE009","EE006",511.326859735782,"all"
317,2011,"ppm2_offer","EE009","EE006",494.098758391847,"all"
317,2012,"ppm2_offer","EE009","EE006",485.130322368659,"all"
317,2013,"ppm2_offer","EE009","EE006",491.381435035774,"all"
317,2014,"ppm2_offer","EE009","EE006",551.952682755835,"all"
317,2015,"ppm2_offer","EE009","EE006",579.396797153432,"all"
317,2016,"ppm2_offer","EE009","EE006",609.849152668318,"all"
317,2017,"ppm2_offer","EE009","EE006",691.400406998269,"all"
317,2018,"ppm2_offer","EE009","EE006",743.941033118228,"all"
317,2019,"ppm2_offer","EE009","EE006",740.996618273569,"all"
317,2020,"ppm2_offer","EE009","EE006",804.310473200676,"all"
317,2021,"ppm2_offer","EE009","EE006",923.869037220767,"all"
317,2022,"ppm2_offer","EE009","EE006",1244.89632272942,"all"
317,2023,"ppm2_offer","EE009","EE006",1434.05987292916,"all"
317,2024,"ppm2_offer","EE009","EE006",1340.11582070565,"all"
317,2025,"ppm2_offer","EE009","EE006",1458.45549046739,"all"
321,2007,"ppm2_offer","EE00A","EE007",357.248017163787,"all"
