"Year","Object","Location of the object","Indicator","Quarter","value"
"2014","..appartments sold as premises","Pärnu county","Number of transactions","1st quarter",25
"2014","..appartments sold as premises","Pärnu county","Number of transactions","2nd quarter",27
"2014","..appartments sold as premises","Pärnu county","Number of transactions","3rd quarter",35
"2014","..appartments sold as premises","Pärnu county","Number of transactions","4th quarter",25
"2014","..appartments sold as premises","Pärnu county","Value of transactions, euros","1st-4th quarters",3296942
"2014","..appartments sold as premises","Pärnu county","Value of transactions, euros","1st quarter",739593
"2014","..appartments sold as premises","Pärnu county","Value of transactions, euros","2nd quarter",551545
"2014","..appartments sold as premises","Pärnu county","Value of transactions, euros","3rd quarter",698463
"2014","..appartments sold as premises","Pärnu county","Value of transactions, euros","4th quarter",1307341
"2014","..appartments sold as premises","Pärnu","Number of transactions","1st-4th quarters",70
"2014","..appartments sold as premises","Pärnu","Number of transactions","1st quarter",15
"2014","..appartments sold as premises","Pärnu","Number of transactions","2nd quarter",13
"2014","..appartments sold as premises","Pärnu","Number of transactions","3rd quarter",26
"2014","..appartments sold as premises","Pärnu","Number of transactions","4th quarter",16
"2014","..appartments sold as premises","Pärnu","Value of transactions, euros","1st-4th quarters",3082856
"2014","..appartments sold as premises","Pärnu","Value of transactions, euros","1st quarter",697421
"2014","..appartments sold as premises","Pärnu","Value of transactions, euros","2nd quarter",524643
"2014","..appartments sold as premises","Pärnu","Value of transactions, euros","3rd quarter",627085
"2014","..appartments sold as premises","Pärnu","Value of transactions, euros","4th quarter",1233707
"2014","..appartments sold as premises","Rapla county","Number of transactions","1st-4th quarters",5
"2014","..appartments sold as premises","Rapla county","Number of transactions","1st quarter",0
"2014","..appartments sold as premises","Rapla county","Number of transactions","2nd quarter",2
"2014","..appartments sold as premises","Rapla county","Number of transactions","3rd quarter",1
"2014","..appartments sold as premises","Rapla county","Number of transactions","4th quarter",2
"2014","..appartments sold as premises","Rapla county","Value of transactions, euros","1st-4th quarters",16800
"2014","..appartments sold as premises","Rapla county","Value of transactions, euros","1st quarter",0
"2014","..appartments sold as premises","Rapla county","Value of transactions, euros","2nd quarter",NA
"2014","..appartments sold as premises","Rapla county","Value of transactions, euros","3rd quarter",NA
"2014","..appartments sold as premises","Rapla county","Value of transactions, euros","4th quarter",NA
"2014","..appartments sold as premises","Saare county","Number of transactions","1st-4th quarters",15
"2014","..appartments sold as premises","Saare county","Number of transactions","1st quarter",6
"2014","..appartments sold as premises","Saare county","Number of transactions","2nd quarter",5
"2014","..appartments sold as premises","Saare county","Number of transactions","3rd quarter",1
"2014","..appartments sold as premises","Saare county","Number of transactions","4th quarter",3
"2014","..appartments sold as premises","Saare county","Value of transactions, euros","1st-4th quarters",261604
"2014","..appartments sold as premises","Saare county","Value of transactions, euros","1st quarter",60800
"2014","..appartments sold as premises","Saare county","Value of transactions, euros","2nd quarter",183164
"2014","..appartments sold as premises","Saare county","Value of transactions, euros","3rd quarter",NA
"2014","..appartments sold as premises","Saare county","Value of transactions, euros","4th quarter",NA
"2014","..appartments sold as premises","Tartu county","Number of transactions","1st-4th quarters",108
"2014","..appartments sold as premises","Tartu county","Number of transactions","1st quarter",24
"2014","..appartments sold as premises","Tartu county","Number of transactions","2nd quarter",45
"2014","..appartments sold as premises","Tartu county","Number of transactions","3rd quarter",25
"2014","..appartments sold as premises","Tartu county","Number of transactions","4th quarter",14
"2014","..appartments sold as premises","Tartu county","Value of transactions, euros","1st-4th quarters",5095251
"2014","..appartments sold as premises","Tartu county","Value of transactions, euros","1st quarter",2319356
"2014","..appartments sold as premises","Tartu county","Value of transactions, euros","2nd quarter",1414851
"2014","..appartments sold as premises","Tartu county","Value of transactions, euros","3rd quarter",1012094
"2014","..appartments sold as premises","Tartu county","Value of transactions, euros","4th quarter",348950
"2014","..appartments sold as premises","Tartu","Number of transactions","1st-4th quarters",93
"2014","..appartments sold as premises","Tartu","Number of transactions","1st quarter",22
"2014","..appartments sold as premises","Tartu","Number of transactions","2nd quarter",38
"2014","..appartments sold as premises","Tartu","Number of transactions","3rd quarter",21
"2014","..appartments sold as premises","Tartu","Number of transactions","4th quarter",12
"2014","..appartments sold as premises","Tartu","Value of transactions, euros","1st-4th quarters",4639830
"2014","..appartments sold as premises","Tartu","Value of transactions, euros","1st quarter",1898136
"2014","..appartments sold as premises","Tartu","Value of transactions, euros","2nd quarter",1396550
"2014","..appartments sold as premises","Tartu","Value of transactions, euros","3rd quarter",1003094
"2014","..appartments sold as premises","Tartu","Value of transactions, euros","4th quarter",342050
"2014","..appartments sold as premises","Valga county","Number of transactions","1st-4th quarters",6
"2014","..appartments sold as premises","Valga county","Number of transactions","1st quarter",0
"2014","..appartments sold as premises","Valga county","Number of transactions","2nd quarter",1
"2014","..appartments sold as premises","Valga county","Number of transactions","3rd quarter",4
"2014","..appartments sold as premises","Valga county","Number of transactions","4th quarter",1
"2014","..appartments sold as premises","Valga county","Value of transactions, euros","1st-4th quarters",16180
"2014","..appartments sold as premises","Valga county","Value of transactions, euros","1st quarter",0
"2014","..appartments sold as premises","Valga county","Value of transactions, euros","2nd quarter",NA
"2014","..appartments sold as premises","Valga county","Value of transactions, euros","3rd quarter",NA
"2014","..appartments sold as premises","Valga county","Value of transactions, euros","4th quarter",NA
"2014","..appartments sold as premises","Viljandi county","Number of transactions","1st-4th quarters",17
"2014","..appartments sold as premises","Viljandi county","Number of transactions","1st quarter",3
"2014","..appartments sold as premises","Viljandi county","Number of transactions","2nd quarter",4
"2014","..appartments sold as premises","Viljandi county","Number of transactions","3rd quarter",3
"2014","..appartments sold as premises","Viljandi county","Number of transactions","4th quarter",7
"2014","..appartments sold as premises","Viljandi county","Value of transactions, euros","1st-4th quarters",184735
"2014","..appartments sold as premises","Viljandi county","Value of transactions, euros","1st quarter",NA
"2014","..appartments sold as premises","Viljandi county","Value of transactions, euros","2nd quarter",NA
"2014","..appartments sold as premises","Viljandi county","Value of transactions, euros","3rd quarter",NA
"2014","..appartments sold as premises","Viljandi county","Value of transactions, euros","4th quarter",150800
"2014","..appartments sold as premises","Võru county","Number of transactions","1st-4th quarters",25
"2014","..appartments sold as premises","Võru county","Number of transactions","1st quarter",5
"2014","..appartments sold as premises","Võru county","Number of transactions","2nd quarter",4
"2014","..appartments sold as premises","Võru county","Number of transactions","3rd quarter",7
"2014","..appartments sold as premises","Võru county","Number of transactions","4th quarter",9
"2014","..appartments sold as premises","Võru county","Value of transactions, euros","1st-4th quarters",294350
"2014","..appartments sold as premises","Võru county","Value of transactions, euros","1st quarter",6950
"2014","..appartments sold as premises","Võru county","Value of transactions, euros","2nd quarter",NA
"2014","..appartments sold as premises","Võru county","Value of transactions, euros","3rd quarter",158250
"2014","..appartments sold as premises","Võru county","Value of transactions, euros","4th quarter",8900
"2015","Real estate objects total","Whole country","Number of transactions","1st-4th quarters",46188
"2015","Real estate objects total","Whole country","Number of transactions","1st quarter",10230
"2015","Real estate objects total","Whole country","Number of transactions","2nd quarter",12214
"2015","Real estate objects total","Whole country","Number of transactions","3rd quarter",11530
"2015","Real estate objects total","Whole country","Number of transactions","4th quarter",12214
"2015","Real estate objects total","Whole country","Value of transactions, euros","1st-4th quarters",2737318347
"2015","Real estate objects total","Whole country","Value of transactions, euros","1st quarter",592304111
"2015","Real estate objects total","Whole country","Value of transactions, euros","2nd quarter",696299365
"2015","Real estate objects total","Whole country","Value of transactions, euros","3rd quarter",657121475
"2015","Real estate objects total","Whole country","Value of transactions, euros","4th quarter",791593396
"2015","Real estate objects total","Harju county","Number of transactions","1st-4th quarters",20106
"2015","Real estate objects total","Harju county","Number of transactions","1st quarter",4442
"2015","Real estate objects total","Harju county","Number of transactions","2nd quarter",5260
"2015","Real estate objects total","Harju county","Number of transactions","3rd quarter",4872
"2015","Real estate objects total","Harju county","Number of transactions","4th quarter",5532
"2015","Real estate objects total","Harju county","Value of transactions, euros","1st-4th quarters",1948183449
"2015","Real estate objects total","Harju county","Value of transactions, euros","1st quarter",427629943
"2015","Real estate objects total","Harju county","Value of transactions, euros","2nd quarter",494344722
"2015","Real estate objects total","Harju county","Value of transactions, euros","3rd quarter",444680234
"2015","Real estate objects total","Harju county","Value of transactions, euros","4th quarter",581528550
"2015","Real estate objects total","..Tallinn","Number of transactions","1st-4th quarters",13272
"2015","Real estate objects total","..Tallinn","Number of transactions","1st quarter",2897
"2015","Real estate objects total","..Tallinn","Number of transactions","2nd quarter",3458
"2015","Real estate objects total","..Tallinn","Number of transactions","3rd quarter",3162
"2015","Real estate objects total","..Tallinn","Number of transactions","4th quarter",3755
"2015","Real estate objects total","..Tallinn","Value of transactions, euros","1st-4th quarters",1469160574
"2015","Real estate objects total","..Tallinn","Value of transactions, euros","1st quarter",324996870
"2015","Real estate objects total","..Tallinn","Value of transactions, euros","2nd quarter",366159260
"2015","Real estate objects total","..Tallinn","Value of transactions, euros","3rd quarter",332535327
"2015","Real estate objects total","..Tallinn","Value of transactions, euros","4th quarter",445469117
"2015","Real estate objects total","Hiiu county","Number of transactions","1st-4th quarters",359
"2015","Real estate objects total","Hiiu county","Number of transactions","1st quarter",86
"2015","Real estate objects total","Hiiu county","Number of transactions","2nd quarter",84
"2015","Real estate objects total","Hiiu county","Number of transactions","3rd quarter",82
"2015","Real estate objects total","Hiiu county","Number of transactions","4th quarter",107
"2015","Real estate objects total","Hiiu county","Value of transactions, euros","1st-4th quarters",7832728
"2015","Real estate objects total","Hiiu county","Value of transactions, euros","1st quarter",2032200
"2015","Real estate objects total","Hiiu county","Value of transactions, euros","2nd quarter",2235710
"2015","Real estate objects total","Hiiu county","Value of transactions, euros","3rd quarter",1494532
"2015","Real estate objects total","Hiiu county","Value of transactions, euros","4th quarter",2070286
"2015","Real estate objects total","Ida-Viru county","Number of transactions","1st-4th quarters",3494
"2015","Real estate objects total","Ida-Viru county","Number of transactions","1st quarter",843
"2015","Real estate objects total","Ida-Viru county","Number of transactions","2nd quarter",860
"2015","Real estate objects total","Ida-Viru county","Number of transactions","3rd quarter",938
"2015","Real estate objects total","Ida-Viru county","Number of transactions","4th quarter",853
"2015","Real estate objects total","Ida-Viru county","Value of transactions, euros","1st-4th quarters",75947267
"2015","Real estate objects total","Ida-Viru county","Value of transactions, euros","1st quarter",16848760
"2015","Real estate objects total","Ida-Viru county","Value of transactions, euros","2nd quarter",16352421
"2015","Real estate objects total","Ida-Viru county","Value of transactions, euros","3rd quarter",15952712
"2015","Real estate objects total","Ida-Viru county","Value of transactions, euros","4th quarter",26793374
"2015","Real estate objects total","Jõgeva county","Number of transactions","1st-4th quarters",1241
"2015","Real estate objects total","Jõgeva county","Number of transactions","1st quarter",274
"2015","Real estate objects total","Jõgeva county","Number of transactions","2nd quarter",359
"2015","Real estate objects total","Jõgeva county","Number of transactions","3rd quarter",282
"2015","Real estate objects total","Jõgeva county","Number of transactions","4th quarter",326
"2015","Real estate objects total","Jõgeva county","Value of transactions, euros","1st-4th quarters",21881634
"2015","Real estate objects total","Jõgeva county","Value of transactions, euros","1st quarter",4933203
"2015","Real estate objects total","Jõgeva county","Value of transactions, euros","2nd quarter",6479662
"2015","Real estate objects total","Jõgeva county","Value of transactions, euros","3rd quarter",4537862
"2015","Real estate objects total","Jõgeva county","Value of transactions, euros","4th quarter",5930907
"2015","Real estate objects total","Järva county","Number of transactions","1st-4th quarters",1365
"2015","Real estate objects total","Järva county","Number of transactions","1st quarter",275
"2015","Real estate objects total","Järva county","Number of transactions","2nd quarter",390
"2015","Real estate objects total","Järva county","Number of transactions","3rd quarter",344
"2015","Real estate objects total","Järva county","Number of transactions","4th quarter",356
"2015","Real estate objects total","Järva county","Value of transactions, euros","1st-4th quarters",24255643
"2015","Real estate objects total","Järva county","Value of transactions, euros","1st quarter",4887097
"2015","Real estate objects total","Järva county","Value of transactions, euros","2nd quarter",7271673
"2015","Real estate objects total","Järva county","Value of transactions, euros","3rd quarter",5619223
"2015","Real estate objects total","Järva county","Value of transactions, euros","4th quarter",6477650
"2015","Real estate objects total","Lääne county","Number of transactions","1st-4th quarters",1238
"2015","Real estate objects total","Lääne county","Number of transactions","1st quarter",251
"2015","Real estate objects total","Lääne county","Number of transactions","2nd quarter",351
"2015","Real estate objects total","Lääne county","Number of transactions","3rd quarter",328
"2015","Real estate objects total","Lääne county","Number of transactions","4th quarter",308
"2015","Real estate objects total","Lääne county","Value of transactions, euros","1st-4th quarters",27899421
"2015","Real estate objects total","Lääne county","Value of transactions, euros","1st quarter",6089836
"2015","Real estate objects total","Lääne county","Value of transactions, euros","2nd quarter",7903494
"2015","Real estate objects total","Lääne county","Value of transactions, euros","3rd quarter",7330683
"2015","Real estate objects total","Lääne county","Value of transactions, euros","4th quarter",6575408
"2015","Real estate objects total","Lääne-Viru county","Number of transactions","1st-4th quarters",2151
"2015","Real estate objects total","Lääne-Viru county","Number of transactions","1st quarter",483
"2015","Real estate objects total","Lääne-Viru county","Number of transactions","2nd quarter",525
"2015","Real estate objects total","Lääne-Viru county","Number of transactions","3rd quarter",533
"2015","Real estate objects total","Lääne-Viru county","Number of transactions","4th quarter",610
"2015","Real estate objects total","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",47043778
"2015","Real estate objects total","Lääne-Viru county","Value of transactions, euros","1st quarter",9456368
"2015","Real estate objects total","Lääne-Viru county","Value of transactions, euros","2nd quarter",10555874
"2015","Real estate objects total","Lääne-Viru county","Value of transactions, euros","3rd quarter",12072219
"2015","Real estate objects total","Lääne-Viru county","Value of transactions, euros","4th quarter",14959317
"2015","Real estate objects total","Põlva county","Number of transactions","1st-4th quarters",1134
"2015","Real estate objects total","Põlva county","Number of transactions","1st quarter",240
"2015","Real estate objects total","Põlva county","Number of transactions","2nd quarter",338
"2015","Real estate objects total","Põlva county","Number of transactions","3rd quarter",287
"2015","Real estate objects total","Põlva county","Number of transactions","4th quarter",269
"2015","Real estate objects total","Põlva county","Value of transactions, euros","1st-4th quarters",20629199
"2015","Real estate objects total","Põlva county","Value of transactions, euros","1st quarter",4088232
"2015","Real estate objects total","Põlva county","Value of transactions, euros","2nd quarter",6522099
"2015","Real estate objects total","Põlva county","Value of transactions, euros","3rd quarter",4931689
"2015","Real estate objects total","Põlva county","Value of transactions, euros","4th quarter",5087179
"2015","Real estate objects total","Pärnu county","Number of transactions","1st-4th quarters",3138
"2015","Real estate objects total","Pärnu county","Number of transactions","1st quarter",749
"2015","Real estate objects total","Pärnu county","Number of transactions","2nd quarter",855
"2015","Real estate objects total","Pärnu county","Number of transactions","3rd quarter",767
"2015","Real estate objects total","Pärnu county","Number of transactions","4th quarter",767
"2015","Real estate objects total","Pärnu county","Value of transactions, euros","1st-4th quarters",112120365
"2015","Real estate objects total","Pärnu county","Value of transactions, euros","1st quarter",25706974
"2015","Real estate objects total","Pärnu county","Value of transactions, euros","2nd quarter",29657532
"2015","Real estate objects total","Pärnu county","Value of transactions, euros","3rd quarter",24865361
"2015","Real estate objects total","Pärnu county","Value of transactions, euros","4th quarter",31890498
"2015","Real estate objects total","Pärnu","Number of transactions","1st-4th quarters",1053
"2015","Real estate objects total","Pärnu","Number of transactions","1st quarter",219
"2015","Real estate objects total","Pärnu","Number of transactions","2nd quarter",285
"2015","Real estate objects total","Pärnu","Number of transactions","3rd quarter",274
"2015","Real estate objects total","Pärnu","Number of transactions","4th quarter",275
"2015","Real estate objects total","Pärnu","Value of transactions, euros","1st-4th quarters",57135923
"2015","Real estate objects total","Pärnu","Value of transactions, euros","1st quarter",11493673
"2015","Real estate objects total","Pärnu","Value of transactions, euros","2nd quarter",17335385
"2015","Real estate objects total","Pärnu","Value of transactions, euros","3rd quarter",12479057
"2015","Real estate objects total","Pärnu","Value of transactions, euros","4th quarter",15827808
"2015","Real estate objects total","Rapla county","Number of transactions","1st-4th quarters",1536
"2015","Real estate objects total","Rapla county","Number of transactions","1st quarter",370
"2015","Real estate objects total","Rapla county","Number of transactions","2nd quarter",346
"2015","Real estate objects total","Rapla county","Number of transactions","3rd quarter",367
"2015","Real estate objects total","Rapla county","Number of transactions","4th quarter",453
"2015","Real estate objects total","Rapla county","Value of transactions, euros","1st-4th quarters",38522848
"2015","Real estate objects total","Rapla county","Value of transactions, euros","1st quarter",8060667
"2015","Real estate objects total","Rapla county","Value of transactions, euros","2nd quarter",9871059
"2015","Real estate objects total","Rapla county","Value of transactions, euros","3rd quarter",9315026
"2015","Real estate objects total","Rapla county","Value of transactions, euros","4th quarter",11276096
"2015","Real estate objects total","Saare county","Number of transactions","1st-4th quarters",1775
"2015","Real estate objects total","Saare county","Number of transactions","1st quarter",358
"2015","Real estate objects total","Saare county","Number of transactions","2nd quarter",552
"2015","Real estate objects total","Saare county","Number of transactions","3rd quarter",393
"2015","Real estate objects total","Saare county","Number of transactions","4th quarter",472
"2015","Real estate objects total","Saare county","Value of transactions, euros","1st-4th quarters",50969939
"2015","Real estate objects total","Saare county","Value of transactions, euros","1st quarter",7377866
"2015","Real estate objects total","Saare county","Value of transactions, euros","2nd quarter",11120244
"2015","Real estate objects total","Saare county","Value of transactions, euros","3rd quarter",21809556
"2015","Real estate objects total","Saare county","Value of transactions, euros","4th quarter",10662273
"2015","Real estate objects total","Tartu county","Number of transactions","1st-4th quarters",4665
"2015","Real estate objects total","Tartu county","Number of transactions","1st quarter",1056
"2015","Real estate objects total","Tartu county","Number of transactions","2nd quarter",1216
"2015","Real estate objects total","Tartu county","Number of transactions","3rd quarter",1267
"2015","Real estate objects total","Tartu county","Number of transactions","4th quarter",1126
"2015","Real estate objects total","Tartu county","Value of transactions, euros","1st-4th quarters",265189063
"2015","Real estate objects total","Tartu county","Value of transactions, euros","1st quarter",54531984
"2015","Real estate objects total","Tartu county","Value of transactions, euros","2nd quarter",65667305
"2015","Real estate objects total","Tartu county","Value of transactions, euros","3rd quarter",82546777
"2015","Real estate objects total","Tartu county","Value of transactions, euros","4th quarter",62442997
"2015","Real estate objects total","Tartu","Number of transactions","1st-4th quarters",2244
"2015","Real estate objects total","Tartu","Number of transactions","1st quarter",482
"2015","Real estate objects total","Tartu","Number of transactions","2nd quarter",554
"2015","Real estate objects total","Tartu","Number of transactions","3rd quarter",678
"2015","Real estate objects total","Tartu","Number of transactions","4th quarter",530
"2015","Real estate objects total","Tartu","Value of transactions, euros","1st-4th quarters",167211821
"2015","Real estate objects total","Tartu","Value of transactions, euros","1st quarter",32784668
"2015","Real estate objects total","Tartu","Value of transactions, euros","2nd quarter",41023004
"2015","Real estate objects total","Tartu","Value of transactions, euros","3rd quarter",55017038
"2015","Real estate objects total","Tartu","Value of transactions, euros","4th quarter",38387111
"2015","Real estate objects total","Valga county","Number of transactions","1st-4th quarters",1090
"2015","Real estate objects total","Valga county","Number of transactions","1st quarter",191
"2015","Real estate objects total","Valga county","Number of transactions","2nd quarter",295
"2015","Real estate objects total","Valga county","Number of transactions","3rd quarter",307
"2015","Real estate objects total","Valga county","Number of transactions","4th quarter",297
"2015","Real estate objects total","Valga county","Value of transactions, euros","1st-4th quarters",31718895
"2015","Real estate objects total","Valga county","Value of transactions, euros","1st quarter",5136525
"2015","Real estate objects total","Valga county","Value of transactions, euros","2nd quarter",11084614
"2015","Real estate objects total","Valga county","Value of transactions, euros","3rd quarter",6624748
"2015","Real estate objects total","Valga county","Value of transactions, euros","4th quarter",8873008
"2015","Real estate objects total","Viljandi county","Number of transactions","1st-4th quarters",1717
"2015","Real estate objects total","Viljandi county","Number of transactions","1st quarter",370
"2015","Real estate objects total","Viljandi county","Number of transactions","2nd quarter",440
"2015","Real estate objects total","Viljandi county","Number of transactions","3rd quarter",477
"2015","Real estate objects total","Viljandi county","Number of transactions","4th quarter",430
"2015","Real estate objects total","Viljandi county","Value of transactions, euros","1st-4th quarters",43906947
"2015","Real estate objects total","Viljandi county","Value of transactions, euros","1st quarter",10841290
"2015","Real estate objects total","Viljandi county","Value of transactions, euros","2nd quarter",10837443
"2015","Real estate objects total","Viljandi county","Value of transactions, euros","3rd quarter",10843828
"2015","Real estate objects total","Viljandi county","Value of transactions, euros","4th quarter",11384386
"2015","Real estate objects total","Võru county","Number of transactions","1st-4th quarters",1179
"2015","Real estate objects total","Võru county","Number of transactions","1st quarter",242
"2015","Real estate objects total","Võru county","Number of transactions","2nd quarter",343
"2015","Real estate objects total","Võru county","Number of transactions","3rd quarter",286
"2015","Real estate objects total","Võru county","Number of transactions","4th quarter",308
"2015","Real estate objects total","Võru county","Value of transactions, euros","1st-4th quarters",21217171
"2015","Real estate objects total","Võru county","Value of transactions, euros","1st quarter",4683166
"2015","Real estate objects total","Võru county","Value of transactions, euros","2nd quarter",6395513
"2015","Real estate objects total","Võru county","Value of transactions, euros","3rd quarter",4497025
"2015","Real estate objects total","Võru county","Value of transactions, euros","4th quarter",5641467
"2015","Unimproved registered immovables","Whole country","Number of transactions","1st-4th quarters",13536
"2015","Unimproved registered immovables","Whole country","Number of transactions","1st quarter",3180
"2015","Unimproved registered immovables","Whole country","Number of transactions","2nd quarter",3732
"2015","Unimproved registered immovables","Whole country","Number of transactions","3rd quarter",3026
"2015","Unimproved registered immovables","Whole country","Number of transactions","4th quarter",3598
"2015","Unimproved registered immovables","Whole country","Value of transactions, euros","1st-4th quarters",431406835
"2015","Unimproved registered immovables","Whole country","Value of transactions, euros","1st quarter",107871492
"2015","Unimproved registered immovables","Whole country","Value of transactions, euros","2nd quarter",98645662
"2015","Unimproved registered immovables","Whole country","Value of transactions, euros","3rd quarter",103791742
"2015","Unimproved registered immovables","Whole country","Value of transactions, euros","4th quarter",121097939
"2015","Unimproved registered immovables","Harju county","Number of transactions","1st-4th quarters",2885
"2015","Unimproved registered immovables","Harju county","Number of transactions","1st quarter",680
"2015","Unimproved registered immovables","Harju county","Number of transactions","2nd quarter",708
"2015","Unimproved registered immovables","Harju county","Number of transactions","3rd quarter",693
"2015","Unimproved registered immovables","Harju county","Number of transactions","4th quarter",804
"2015","Unimproved registered immovables","Harju county","Value of transactions, euros","1st-4th quarters",211091773
"2015","Unimproved registered immovables","Harju county","Value of transactions, euros","1st quarter",52508083
"2015","Unimproved registered immovables","Harju county","Value of transactions, euros","2nd quarter",41730446
"2015","Unimproved registered immovables","Harju county","Value of transactions, euros","3rd quarter",55585650
"2015","Unimproved registered immovables","Harju county","Value of transactions, euros","4th quarter",61267594
"2015","Unimproved registered immovables","..Tallinn","Number of transactions","1st-4th quarters",428
"2015","Unimproved registered immovables","..Tallinn","Number of transactions","1st quarter",88
"2015","Unimproved registered immovables","..Tallinn","Number of transactions","2nd quarter",95
"2015","Unimproved registered immovables","..Tallinn","Number of transactions","3rd quarter",87
"2015","Unimproved registered immovables","..Tallinn","Number of transactions","4th quarter",158
"2015","Unimproved registered immovables","..Tallinn","Value of transactions, euros","1st-4th quarters",110521556
"2015","Unimproved registered immovables","..Tallinn","Value of transactions, euros","1st quarter",26130321
"2015","Unimproved registered immovables","..Tallinn","Value of transactions, euros","2nd quarter",19470481
"2015","Unimproved registered immovables","..Tallinn","Value of transactions, euros","3rd quarter",30311207
"2015","Unimproved registered immovables","..Tallinn","Value of transactions, euros","4th quarter",34609547
"2015","Unimproved registered immovables","Hiiu county","Number of transactions","1st-4th quarters",222
"2015","Unimproved registered immovables","Hiiu county","Number of transactions","1st quarter",57
"2015","Unimproved registered immovables","Hiiu county","Number of transactions","2nd quarter",54
"2015","Unimproved registered immovables","Hiiu county","Number of transactions","3rd quarter",44
"2015","Unimproved registered immovables","Hiiu county","Number of transactions","4th quarter",67
"2015","Unimproved registered immovables","Hiiu county","Value of transactions, euros","1st-4th quarters",2641684
"2015","Unimproved registered immovables","Hiiu county","Value of transactions, euros","1st quarter",662761
"2015","Unimproved registered immovables","Hiiu county","Value of transactions, euros","2nd quarter",633770
"2015","Unimproved registered immovables","Hiiu county","Value of transactions, euros","3rd quarter",604847
"2015","Unimproved registered immovables","Hiiu county","Value of transactions, euros","4th quarter",740306
"2015","Unimproved registered immovables","Ida-Viru county","Number of transactions","1st-4th quarters",676
"2015","Unimproved registered immovables","Ida-Viru county","Number of transactions","1st quarter",197
"2015","Unimproved registered immovables","Ida-Viru county","Number of transactions","2nd quarter",173
"2015","Unimproved registered immovables","Ida-Viru county","Number of transactions","3rd quarter",146
"2015","Unimproved registered immovables","Ida-Viru county","Number of transactions","4th quarter",160
"2015","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","1st-4th quarters",15582937
"2015","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","1st quarter",4811769
"2015","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","2nd quarter",3793510
"2015","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","3rd quarter",3296596
"2015","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","4th quarter",3681062
"2015","Unimproved registered immovables","Jõgeva county","Number of transactions","1st-4th quarters",667
"2015","Unimproved registered immovables","Jõgeva county","Number of transactions","1st quarter",151
"2015","Unimproved registered immovables","Jõgeva county","Number of transactions","2nd quarter",216
"2015","Unimproved registered immovables","Jõgeva county","Number of transactions","3rd quarter",110
"2015","Unimproved registered immovables","Jõgeva county","Number of transactions","4th quarter",190
"2015","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","1st-4th quarters",13124274
"2015","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","1st quarter",3432053
"2015","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","2nd quarter",4218646
"2015","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","3rd quarter",2045886
"2015","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","4th quarter",3427689
"2015","Unimproved registered immovables","Järva county","Number of transactions","1st-4th quarters",584
"2015","Unimproved registered immovables","Järva county","Number of transactions","1st quarter",126
"2015","Unimproved registered immovables","Järva county","Number of transactions","2nd quarter",155
"2015","Unimproved registered immovables","Järva county","Number of transactions","3rd quarter",144
"2015","Unimproved registered immovables","Järva county","Number of transactions","4th quarter",159
"2015","Unimproved registered immovables","Järva county","Value of transactions, euros","1st-4th quarters",11789936
"2015","Unimproved registered immovables","Järva county","Value of transactions, euros","1st quarter",2988038
"2015","Unimproved registered immovables","Järva county","Value of transactions, euros","2nd quarter",2348512
"2015","Unimproved registered immovables","Järva county","Value of transactions, euros","3rd quarter",2941374
"2015","Unimproved registered immovables","Järva county","Value of transactions, euros","4th quarter",3512012
"2015","Unimproved registered immovables","Lääne county","Number of transactions","1st-4th quarters",637
"2015","Unimproved registered immovables","Lääne county","Number of transactions","1st quarter",149
"2015","Unimproved registered immovables","Lääne county","Number of transactions","2nd quarter",183
"2015","Unimproved registered immovables","Lääne county","Number of transactions","3rd quarter",143
"2015","Unimproved registered immovables","Lääne county","Number of transactions","4th quarter",162
"2015","Unimproved registered immovables","Lääne county","Value of transactions, euros","1st-4th quarters",10834020
"2015","Unimproved registered immovables","Lääne county","Value of transactions, euros","1st quarter",3416970
"2015","Unimproved registered immovables","Lääne county","Value of transactions, euros","2nd quarter",2907936
"2015","Unimproved registered immovables","Lääne county","Value of transactions, euros","3rd quarter",2336146
"2015","Unimproved registered immovables","Lääne county","Value of transactions, euros","4th quarter",2172968
"2015","Unimproved registered immovables","Lääne-Viru county","Number of transactions","1st-4th quarters",857
"2015","Unimproved registered immovables","Lääne-Viru county","Number of transactions","1st quarter",210
"2015","Unimproved registered immovables","Lääne-Viru county","Number of transactions","2nd quarter",200
"2015","Unimproved registered immovables","Lääne-Viru county","Number of transactions","3rd quarter",192
"2015","Unimproved registered immovables","Lääne-Viru county","Number of transactions","4th quarter",255
"2015","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",16120811
"2015","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","1st quarter",3965926
"2015","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","2nd quarter",3466168
