"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Järva county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",916.2
"2001","Ascending total","Järva county","..purchase-sale contracts of ownership of dwellings","Number of contracts",200
"2001","Ascending total","Järva county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",470.8
"2001","Ascending total","Järva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",30
"2001","Ascending total","Järva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",609.7
"2001","Ascending total","Järva county","Purchase-sale contracts of right of superficies","Number of contracts",1
"2001","Ascending total","Järva county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",12.8
"2001","Ascending total","Järva county","Purchase-sale contracts of movable assets**","Number of contracts",381
"2001","Ascending total","Järva county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",1189.1
"2001","Ascending total","Järva county","..purchase-sale contracts of residential buildings**","Number of contracts",97
"2001","Ascending total","Järva county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",346.8
"2001","Ascending total","Järva county","..purchase-sale contracts of dwellings**","Number of contracts",209
"2001","Ascending total","Järva county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",244.5
"2001","Ascending total","Järva county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",75
"2001","Ascending total","Järva county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",597.8
"2001","Ascending total","Lääne county","Purchase-sale contracts total","Number of contracts",974
"2001","Ascending total","Lääne county","Purchase-sale contracts total","Value of contracts, thousand euros",7283.6
"2001","Ascending total","Lääne county","Purchase-sale contracts of real estate","Number of contracts",542
"2001","Ascending total","Lääne county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",5599.2
"2001","Ascending total","Lääne county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",210
"2001","Ascending total","Lääne county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1463.2
"2001","Ascending total","Lääne county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",115
"2001","Ascending total","Lääne county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1669.4
"2001","Ascending total","Lääne county","..purchase-sale contracts of ownership of dwellings","Number of contracts",164
"2001","Ascending total","Lääne county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",1032.2
"2001","Ascending total","Lääne county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",53
"2001","Ascending total","Lääne county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",1434.4
"2001","Ascending total","Lääne county","Purchase-sale contracts of right of superficies","Number of contracts",2
"2001","Ascending total","Lääne county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",50.2
"2001","Ascending total","Lääne county","Purchase-sale contracts of movable assets**","Number of contracts",430
"2001","Ascending total","Lääne county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",1634.2
"2001","Ascending total","Lääne county","..purchase-sale contracts of residential buildings**","Number of contracts",82
"2001","Ascending total","Lääne county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",377.3
"2001","Ascending total","Lääne county","..purchase-sale contracts of dwellings**","Number of contracts",299
"2001","Ascending total","Lääne county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",868.2
"2001","Ascending total","Lääne county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",49
"2001","Ascending total","Lääne county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",388.7
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts total","Number of contracts",1989
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts total","Value of contracts, thousand euros",14428.8
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts of real estate","Number of contracts",1089
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",10944.9
