nuts,year,type,indicator,value,level
EE_0198,2011,house,ppm2,844,laucode
EE_0198,2012,all,ppm2,878,laucode
EE_0198,2012,flat,ppm2,888,laucode
EE_0198,2012,house,ppm2,848,laucode
EE_0198,2013,all,ppm2,963,laucode
EE_0198,2013,flat,ppm2,980,laucode
EE_0198,2013,house,ppm2,953,laucode
EE_0198,2014,all,ppm2,1048,laucode
EE_0198,2014,flat,ppm2,1083,laucode
EE_0198,2014,house,ppm2,1005,laucode
EE_0198,2015,all,ppm2,1149,laucode
EE_0198,2015,flat,ppm2,1203,laucode
EE_0198,2015,house,ppm2,1038,laucode
EE_0198,2016,all,ppm2,1197,laucode
EE_0198,2016,flat,ppm2,1275,laucode
EE_0198,2016,house,ppm2,1031,laucode
EE_0198,2017,all,ppm2,1310,laucode
EE_0198,2017,flat,ppm2,1360,laucode
EE_0198,2017,house,ppm2,1223,laucode
EE_0198,2018,all,ppm2,1385,laucode
EE_0198,2018,flat,ppm2,1435,laucode
EE_0198,2018,house,ppm2,1309,laucode
EE_0198,2019,all,ppm2,1430,laucode
EE_0198,2019,flat,ppm2,1473,laucode
EE_0198,2019,house,ppm2,1363,laucode
EE_0198,2020,all,ppm2,1594,laucode
EE_0198,2020,flat,ppm2,1676,laucode
EE_0198,2020,house,ppm2,1356,laucode
EE_0198,2021,all,ppm2,1865,laucode
EE_0198,2021,flat,ppm2,1969,laucode
EE_0198,2021,house,ppm2,1600,laucode
EE_0198,2022,all,ppm2,2200,laucode
EE_0198,2022,flat,ppm2,2284,laucode
EE_0198,2022,house,ppm2,2028,laucode
EE_0198,2023,all,ppm2,2550,laucode
EE_0198,2023,flat,ppm2,2658,laucode
EE_0198,2023,house,ppm2,2216,laucode
EE_0198,2024,all,ppm2,2620,laucode
EE_0198,2024,flat,ppm2,2825,laucode
EE_0198,2024,house,ppm2,2064,laucode
EE_0198,2025,all,ppm2,2734,laucode
EE_0198,2025,flat,ppm2,2876,laucode
EE_0198,2025,house,ppm2,2364,laucode
EE_0205,2005,all,ppm2,244,laucode
EE_0205,2005,flat,ppm2,213,laucode
EE_0205,2005,house,ppm2,330,laucode
EE_0205,2006,all,ppm2,333,laucode
EE_0205,2006,flat,ppm2,285,laucode
EE_0205,2006,house,ppm2,439,laucode
EE_0205,2007,all,ppm2,438,laucode
EE_0205,2007,flat,ppm2,393,laucode
EE_0205,2007,house,ppm2,569,laucode
EE_0205,2008,all,ppm2,525,laucode
EE_0205,2008,flat,ppm2,423,laucode
EE_0205,2008,house,ppm2,804,laucode
EE_0205,2009,all,ppm2,364,laucode
EE_0205,2009,flat,ppm2,309,laucode
EE_0205,2009,house,ppm2,467,laucode
EE_0205,2010,all,ppm2,330,laucode
EE_0205,2010,flat,ppm2,263,laucode
EE_0205,2010,house,ppm2,507,laucode
EE_0205,2011,all,ppm2,384,laucode
EE_0205,2011,flat,ppm2,308,laucode
EE_0205,2011,house,ppm2,528,laucode
EE_0205,2012,all,ppm2,358,laucode
EE_0205,2012,flat,ppm2,278,laucode
EE_0205,2012,house,ppm2,528,laucode
EE_0205,2013,all,ppm2,341,laucode
EE_0205,2013,flat,ppm2,280,laucode
EE_0205,2013,house,ppm2,464,laucode
EE_0205,2014,all,ppm2,386,laucode
EE_0205,2014,flat,ppm2,304,laucode
EE_0205,2014,house,ppm2,533,laucode
EE_0205,2015,all,ppm2,385,laucode
EE_0205,2015,flat,ppm2,350,laucode
EE_0205,2015,house,ppm2,454,laucode
EE_0205,2016,all,ppm2,389,laucode
EE_0205,2016,flat,ppm2,323,laucode
EE_0205,2016,house,ppm2,522,laucode
EE_0205,2017,all,ppm2,415,laucode
EE_0205,2017,flat,ppm2,388,laucode
EE_0205,2017,house,ppm2,490,laucode
EE_0205,2018,all,ppm2,419,laucode
EE_0205,2018,flat,ppm2,347,laucode
EE_0205,2018,house,ppm2,568,laucode
EE_0205,2019,all,ppm2,518,laucode
EE_0205,2019,flat,ppm2,438,laucode
EE_0205,2019,house,ppm2,703,laucode
EE_0205,2020,all,ppm2,515,laucode
EE_0205,2020,flat,ppm2,443,laucode
EE_0205,2020,house,ppm2,670,laucode
EE_0205,2021,all,ppm2,595,laucode
EE_0205,2021,flat,ppm2,513,laucode
EE_0205,2021,house,ppm2,773,laucode
EE_0205,2022,all,ppm2,784,laucode
EE_0205,2022,flat,ppm2,718,laucode
EE_0205,2022,house,ppm2,967,laucode
EE_0205,2023,all,ppm2,749,laucode
EE_0205,2023,flat,ppm2,712,laucode
EE_0205,2023,house,ppm2,837,laucode
EE_0205,2024,all,ppm2,932,laucode
EE_0205,2024,flat,ppm2,804,laucode
EE_0205,2024,house,ppm2,1511,laucode
EE_0205,2025,all,ppm2,949,laucode
EE_0205,2025,flat,ppm2,878,laucode
EE_0205,2025,house,ppm2,1148,laucode
EE_0214,2005,all,ppm2,280,laucode
EE_0214,2005,flat,ppm2,208,laucode
EE_0214,2005,house,ppm2,301,laucode
EE_0214,2006,all,ppm2,396,laucode
EE_0214,2006,flat,ppm2,320,laucode
EE_0214,2006,house,ppm2,402,laucode
EE_0214,2007,all,ppm2,406,laucode
EE_0214,2007,flat,ppm2,384,laucode
EE_0214,2007,house,ppm2,420,laucode
EE_0214,2008,all,ppm2,419,laucode
EE_0214,2008,flat,ppm2,389,laucode
