date_adscrape,date_adcreate,date_adadjust,idhref,type,postcode,city_name,ad_price,ad_price_fx,ad_fx,rooms,floor_m2,construct_year,price_m2,LAU_code,GEOnat_code,NUTS_code,isnew,plot_m2,ad_details,scraper
2018-11-27,,,15332956,flat,,Nynäshamn,1800000,180000,EUR,3,83,1988,21686.7469879518,SE_0192,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-nynashamn-centralt-nynashamns-kommun-akargrand-3-15332956,luca
2018-11-27,,,15333135,flat,,Huddinge,1595000,159500,EUR,"2,5",64,,24921.875,SE_0126,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2,5rum-varby-huddinge-kommun-lammholmsbacken-274-15333135",luca
2018-11-27,,,14822415,flat,,Solna,3695000,369500,EUR,3,83,2014,44518.0722891566,SE_0184,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-jarvastaden-solna-kommun-dammtorps-alle-1,-van-3-14822415",luca
2018-11-27,,,15331776,flat,,Stockholm,1695000,169500,EUR,3,68,1965,24926.4705882353,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-bromsten-stockholms-kommun-bygardesvagen-4,-1tr-15331776",luca
2018-11-27,,,15276135,flat,,Tyresö,1995000,199500,EUR,"2,5",75,1992,26600,SE_0138,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2,5rum-farmarstigen-tyreso-kommun-kryddgardsgrand-13,-1-tr-15276135",luca
2018-11-27,,,15333115,flat,,Stockholm,2495000,249500,EUR,1,28,1928,89107.1428571429,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-1rum-kungsholmen-stockholms-kommun-alstromergatan-32-d,-3tr-15333115",luca
2018-11-27,,,15333155,house,,Värmdö,4795000,479500,EUR,5,121,1990,39628.0991735537,SE_0120,,SE110,FALSE,,"https://www.hemnet.se/bostad/villa-5rum-langvik,-ingaro-varmdo-kommun-langviksvagen-27-15333155",luca
2018-11-27,,,15204017,flat,,Stockholm,2595000,259500,EUR,3,75,1958,34600,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-stockholms-kommun-grumsgatan-1-15204017,luca
2018-11-27,,,15099856,house,,Stockholm,4495000,449500,EUR,6,131,1968,34312.9770992366,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-6rum-spanga-flysta-stockholms-kommun-langvretsvagen-7-15099856,luca
2018-11-27,,,15331937,flat,,Stockholm,3795000,379500,EUR,3,58,1940,65431.0344827586,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-bromma-smedslatten-stockholms-kommun-havsfruvagen-4-15331937,luca
